"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"1",19,30,24,27,12,30,22,27,12,14,23,29,15,14,28,26,10,23,24,25,16,21,25,19,21,8,22,30,17,24,13,17,13,17,15,23,18,17,12,22,22,21,24,10,24,15,25,8,20,10
"2",18,18,25,25,17,9,19,27,27,29,12,22,20,12,15,9,11,18,25,29,19,24,19,19,31,22,8,8,29,18,14,13,14,18,18,26,16,24,12,28,16,26,27,26,24,23,28,17,22,26
"3",22,27,9,11,28,8,17,18,25,20,22,12,19,28,23,30,24,11,25,15,9,20,16,15,21,15,30,20,30,14,23,24,18,12,27,28,25,14,29,26,17,12,10,14,12,28,23,28,31,10
"4",25,14,28,31,11,11,30,27,8,10,11,31,18,16,16,15,7,9,24,25,23,29,16,30,30,8,19,9,30,24,20,17,27,10,27,8,11,10,11,23,29,27,21,27,15,8,23,12,17,11
"5",26,27,17,23,26,21,23,10,9,24,18,17,17,23,16,15,16,14,30,9,13,16,8,8,16,20,11,20,10,29,8,22,8,8,20,17,10,30,10,21,7,19,10,24,16,24,12,22,25,18
"6",14,30,7,13,24,28,13,14,9,15,21,18,19,8,10,22,9,11,17,11,8,23,30,21,23,23,29,30,19,22,15,9,19,14,30,13,11,16,12,13,13,26,23,15,19,30,20,19,27,29
"7",12,22,10,9,11,22,26,23,18,22,16,26,18,11,10,11,30,21,31,26,9,29,21,9,30,16,18,24,30,15,30,17,11,25,18,26,13,22,31,30,31,10,11,13,21,14,14,26,21,21
"8",24,15,8,29,31,13,21,8,29,30,7,17,9,27,13,28,16,10,17,10,14,20,28,18,25,13,19,27,27,17,23,27,12,29,24,14,12,9,7,20,30,23,16,29,13,18,23,15,14,11
"9",28,10,17,16,13,20,30,20,22,13,21,27,26,11,11,17,16,16,18,27,19,13,20,24,23,17,23,12,19,26,17,18,17,30,24,10,19,26,28,17,30,27,12,20,17,31,16,16,26,22
"10",23,28,21,26,31,24,22,31,13,30,16,23,26,12,25,22,11,15,12,29,19,30,28,17,29,31,22,21,27,14,24,28,16,12,8,30,31,10,16,12,20,14,18,29,19,9,22,17,29,26
"11",15,16,13,9,29,13,30,25,27,14,8,18,16,30,26,25,27,26,11,13,12,9,12,15,18,25,30,19,16,22,24,16,8,24,29,28,18,8,17,30,25,11,12,17,8,22,13,13,16,18
