"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
"1",22,44,31,30,21,38,45,15,35,34,18,41,32,19,17,26,29,37,41,32,23,38,45,35,26,42,42,34,45,37,22,44,24,45,39,19,23,42,39,27,34,24,29,35,16,28,29,42,35,24,34,18,31,23,28,31,42,34,45,35,41,28,37,26,18,29,39
"2",39,42,35,39,42,28,28,20,28,16,28,26,34,27,19,39,19,20,22,41,37,42,24,15,38,27,45,32,37,37,36,29,45,17,44,24,44,41,34,32,22,16,40,34,22,28,26,23,41,26,36,45,17,43,39,24,28,18,32,41,20,27,24,24,26,17,32
"3",15,28,32,38,42,25,24,31,27,40,22,21,45,27,24,32,41,30,24,20,21,45,38,25,29,31,31,19,32,18,20,40,31,21,44,36,24,42,30,17,35,41,17,40,15,25,30,17,21,33,22,19,42,30,20,16,36,45,17,42,41,28,18,43,21,18,24
"4",36,22,39,40,22,30,40,27,15,44,31,22,44,34,17,35,30,25,30,43,35,38,40,27,37,40,36,23,41,36,17,34,15,36,30,18,37,21,39,15,40,28,24,30,36,17,21,22,27,42,25,35,25,18,43,36,17,23,36,18,31,42,31,35,30,22,29
"5",41,16,41,16,30,28,34,29,24,44,42,43,38,32,31,32,45,39,15,18,34,42,32,35,19,15,31,34,27,30,41,17,28,16,16,30,41,38,32,35,45,37,44,31,40,22,42,31,25,40,36,42,32,15,20,44,22,45,17,34,45,23,43,29,15,19,34
"6",31,16,37,29,33,29,19,45,45,32,26,19,28,41,30,33,38,15,18,19,43,23,16,19,37,30,30,40,32,23,38,23,17,21,18,42,18,41,30,31,17,43,15,25,42,41,30,23,38,16,22,40,35,17,19,43,23,35,31,30,44,38,44,38,29,33,30
"7",23,37,30,18,41,35,39,29,34,21,31,18,31,31,37,45,26,43,35,24,43,37,25,23,26,26,42,43,42,20,35,43,39,28,30,16,17,26,42,43,25,16,38,30,34,29,37,27,42,20,38,18,17,31,36,27,18,18,19,26,27,35,36,35,28,35,25
"8",24,41,15,32,20,30,38,42,44,28,26,42,35,37,28,22,23,43,30,22,45,35,16,18,29,32,45,41,22,32,39,16,22,45,25,29,38,38,41,38,44,30,15,39,15,19,43,31,31,26,44,40,40,42,23,16,21,45,22,28,20,41,36,41,15,36,35
"9",32,30,42,42,30,30,39,33,33,22,34,29,39,26,17,16,40,22,36,29,43,16,28,31,45,39,18,21,40,24,37,43,15,32,45,26,27,23,24,37,38,38,39,23,43,41,44,15,15,28,19,33,31,36,32,44,27,30,27,24,16,17,26,28,27,38,17
"10",45,23,23,27,38,20,35,28,41,15,25,42,16,19,44,32,33,44,37,27,23,19,20,15,19,24,45,29,32,45,22,43,44,23,19,16,42,42,21,23,28,38,38,40,30,43,18,18,25,32,43,35,34,20,15,19,17,34,42,20,45,44,41,25,37,33,19
"11",19,28,16,25,39,45,29,38,35,17,17,43,21,41,42,41,45,27,28,21,25,31,16,26,20,37,27,16,21,36,16,22,38,27,41,32,39,38,34,17,39,43,42,15,24,19,37,39,30,22,26,38,19,40,37,22,24,26,28,22,18,33,36,19,25,38,42
"12",15,24,29,39,26,19,15,22,45,32,32,26,17,26,25,22,19,45,34,37,42,35,30,29,21,30,42,41,34,37,38,30,30,22,16,41,37,26,25,18,41,40,19,28,18,28,43,24,42,28,19,27,27,31,33,39,39,19,37,25,17,25,41,30,45,15,38
"13",17,44,19,33,38,21,28,32,25,39,20,36,27,31,23,26,25,45,35,32,32,30,45,17,38,42,29,17,38,29,33,16,42,19,31,16,20,30,24,34,29,35,38,21,22,39,41,16,41,22,31,15,33,45,44,21,24,21,18,32,43,34,21,32,44,30,33
"14",33,19,19,21,42,41,23,29,38,44,37,42,32,31,31,15,27,25,19,36,34,28,25,28,32,16,28,37,38,19,29,23,25,39,20,24,26,42,23,38,44,33,27,35,30,34,27,36,40,24,21,25,20,29,43,33,36,34,28,40,32,23,19,17,32,17,15
"15",27,36,35,44,44,30,17,45,30,27,21,39,27,24,32,44,16,42,23,26,32,25,23,43,36,26,28,42,16,33,40,34,35,36,36,16,42,35,45,21,42,42,30,42,31,16,18,40,18,37,43,22,45,38,25,28,38,43,28,26,32,36,26,18,21,29,16
"16",44,25,16,34,38,18,45,27,20,19,33,33,42,32,32,40,29,37,22,16,17,45,29,35,39,19,41,38,26,20,45,32,18,29,33,26,16,37,32,18,16,35,33,28,29,20,24,23,44,38,34,41,38,16,24,44,28,15,43,44,36,29,31,45,29,32,15
"17",21,44,35,23,15,41,24,24,35,15,30,32,32,20,33,40,20,27,28,26,44,19,23,18,36,40,40,29,45,29,31,23,37,36,35,22,18,39,35,29,20,15,20,25,45,33,35,31,18,27,40,21,15,44,19,18,29,35,17,28,26,33,36,30,21,33,34
"18",34,15,22,25,28,45,28,26,40,16,27,31,16,19,30,30,27,24,18,35,26,25,33,28,45,39,33,37,24,37,21,20,24,30,43,35,23,43,32,34,19,28,27,15,20,43,32,24,40,19,28,37,37,17,36,42,45,31,27,17,45,29,38,45,31,16,43
"19",38,16,33,26,43,25,41,35,41,43,31,38,39,34,45,32,32,18,20,28,35,38,35,30,45,44,31,36,18,43,33,24,40,16,33,42,23,41,35,31,19,17,23,18,41,22,20,35,19,18,18,43,39,33,31,20,36,20,39,27,44,44,39,28,37,39,44
"20",33,28,43,39,35,45,38,26,44,30,16,28,21,19,45,37,27,34,35,16,15,33,16,30,37,20,16,44,41,44,28,42,36,15,44,32,15,26,15,42,37,28,44,30,30,44,24,35,33,19,20,37,32,43,27,37,44,29,30,40,28,33,42,33,41,20,25
"21",26,38,31,15,45,34,42,29,22,41,37,21,20,29,18,36,32,39,26,33,34,34,19,39,29,43,18,44,43,30,30,45,19,33,16,19,38,36,34,43,36,36,30,25,32,42,44,36,23,28,31,17,43,22,27,45,32,36,41,16,20,29,22,38,15,44,39
"22",34,18,40,43,21,43,24,43,25,29,19,25,27,45,44,30,20,38,43,39,29,40,23,39,26,39,44,28,43,22,16,17,29,44,35,41,24,20,29,44,21,43,44,18,38,15,18,33,33,41,42,35,23,35,32,43,18,22,36,23,17,26,40,29,19,31,23
"23",15,18,16,25,42,44,28,32,32,25,40,15,31,44,36,28,18,19,31,36,28,40,33,32,32,24,45,17,39,39,30,44,22,31,30,15,41,19,35,28,27,43,42,41,41,32,26,30,33,17,22,28,31,18,28,27,41,45,15,37,38,15,16,31,18,23,37
