"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133"
"1",20,34,33,15,21,45,34,17,13,25,27,16,14,47,43,11,32,23,45,22,42,38,24,30,28,27,46,18,41,25,46,12,45,34,16,48,41,25,39,30,34,15,34,44,48,20,44,11,35,50,31,45,14,37,16,20,22,33,34,49,37,32,10,46,20,43,29,38,36,32,26,28,46,33,50,24,16,34,49,38,42,44,28,25,37,11,36,19,21,45,47,25,37,34,36,26,12,46,36,27,49,12,16,24,10,13,38,48,45,48,33,22,30,24,25,18,19,30,35,47,19,38,44,41,31,47,30,11,36,39,21,23,47
"2",10,29,15,37,35,20,38,24,10,30,17,39,49,28,16,20,47,37,15,37,44,22,30,10,44,39,46,16,37,30,17,11,44,10,15,14,33,21,45,39,40,12,39,48,26,43,17,26,18,43,29,18,33,29,23,26,25,19,44,47,19,25,26,29,12,19,48,29,44,20,26,40,39,13,21,39,27,34,34,27,46,26,42,34,26,14,41,44,18,49,24,48,29,50,47,10,25,41,30,35,30,18,39,36,15,48,21,46,24,23,25,21,26,43,36,15,14,43,22,34,32,24,39,19,16,21,37,14,29,24,46,35,10
"3",15,40,31,34,28,32,32,47,10,18,29,15,17,17,43,34,50,13,13,28,43,34,42,18,22,33,45,37,28,16,34,14,49,19,11,10,28,31,35,23,22,33,31,36,44,29,23,34,10,43,48,35,35,13,26,15,37,16,18,27,25,40,50,39,31,10,14,24,25,24,37,25,22,27,29,41,43,40,15,21,36,40,19,41,43,10,13,11,37,47,15,46,42,29,30,11,28,21,33,49,27,47,16,32,22,18,27,18,12,29,34,31,13,14,10,32,25,29,38,26,19,20,31,27,36,42,41,12,26,28,50,34,11
"4",11,29,13,18,41,39,38,48,31,49,17,17,44,44,42,49,17,23,40,45,36,14,31,35,31,31,48,28,33,46,32,34,40,23,15,42,23,26,10,33,33,48,47,34,36,10,18,35,34,18,22,44,21,31,23,44,11,11,19,48,26,46,29,41,13,23,29,37,10,48,44,18,40,14,36,21,27,10,31,43,24,30,18,14,47,17,10,31,33,41,31,38,26,18,36,34,42,41,43,48,44,21,46,34,15,36,34,21,28,22,11,33,50,24,16,37,24,13,33,31,15,48,11,31,13,40,43,35,11,48,20,25,23
"5",27,33,38,29,10,10,43,19,44,26,19,11,44,13,48,16,34,31,38,25,13,25,34,27,40,39,26,29,50,21,30,38,26,45,16,28,11,17,14,49,44,26,26,27,17,40,37,30,21,22,24,41,23,19,26,42,50,49,47,44,26,40,46,33,39,39,49,11,45,29,13,20,33,44,48,49,41,49,19,13,34,46,23,48,47,15,36,27,42,46,36,20,24,47,37,44,49,48,39,16,31,47,45,18,28,27,32,13,39,30,46,47,16,45,38,13,17,40,49,14,45,44,32,25,18,45,10,42,47,23,41,18,19
"6",25,10,37,41,16,27,13,37,28,41,25,38,31,14,38,19,24,15,33,40,50,27,33,30,36,43,17,23,31,40,47,42,48,13,36,14,17,39,45,22,41,35,41,41,41,36,45,44,45,31,30,41,36,27,39,13,37,43,12,18,20,44,37,30,40,35,45,23,15,16,29,39,22,43,17,35,25,29,17,13,25,30,31,41,13,35,18,31,31,19,45,32,34,41,50,22,40,44,31,35,10,18,17,18,19,14,33,31,19,29,19,40,47,43,31,29,16,18,36,38,48,11,17,37,26,29,22,14,10,36,39,12,19
"7",43,35,35,24,42,14,39,42,38,28,38,43,27,10,23,18,46,45,22,28,48,31,33,40,25,14,45,20,38,43,29,11,40,17,32,11,26,48,23,26,12,45,31,42,10,43,29,10,21,20,45,31,42,50,35,15,17,46,50,18,46,20,25,10,13,41,16,19,42,35,37,22,42,45,14,38,14,36,26,25,23,46,17,39,38,42,10,24,37,21,43,26,23,25,12,31,23,17,20,14,47,24,40,23,50,34,26,28,42,26,27,44,48,19,12,34,26,27,23,19,10,21,28,19,37,16,27,35,44,16,24,37,15
"8",22,44,33,15,18,44,40,15,46,44,19,41,33,16,45,26,44,32,40,18,35,26,21,32,21,40,19,40,16,15,33,17,37,17,17,22,44,46,22,48,27,38,35,47,33,22,20,37,20,24,24,30,13,13,42,25,35,25,38,40,29,44,41,30,43,39,48,50,30,46,45,34,36,34,44,38,47,46,42,21,23,26,40,38,20,11,40,43,40,36,11,16,31,49,45,30,48,23,14,50,25,25,31,17,44,26,27,48,32,47,40,42,38,44,24,26,12,36,34,39,24,13,12,24,44,23,14,18,27,39,43,19,37
"9",25,36,50,35,13,20,28,10,39,26,48,18,29,13,26,12,12,28,11,47,30,43,34,20,30,50,38,17,22,47,10,50,28,17,13,43,43,14,50,12,44,20,48,47,14,23,13,10,47,44,12,39,32,39,15,46,10,12,37,32,31,30,48,16,22,24,27,26,46,35,22,23,32,21,48,32,33,10,12,29,17,50,12,20,32,10,30,48,32,35,20,22,32,11,26,10,19,34,39,22,47,27,48,19,32,42,49,22,24,19,16,31,49,39,46,15,36,26,43,42,11,20,16,17,26,16,10,23,48,34,49,15,45
"10",49,43,42,45,24,18,22,35,45,46,19,27,38,39,39,19,26,13,31,12,10,29,20,30,42,20,20,38,19,13,49,13,11,12,49,18,34,42,20,33,36,11,38,50,16,41,16,43,19,14,21,21,37,18,22,17,41,38,16,20,37,39,11,28,40,12,35,17,44,32,41,30,20,34,41,35,33,13,33,47,26,44,41,24,50,43,40,21,36,34,46,14,18,12,32,42,23,30,32,17,19,16,18,35,32,18,13,11,20,37,17,10,27,18,47,29,20,21,13,46,23,14,17,19,26,34,10,36,40,31,49,36,24
