"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",1106,2067,2349,1653,1378,1185,1059,1926,1951,2839,2056,1950,2265,1615,2677,1696,2740,1255,1002,1067
"2",2039,2452,1396,2990,1075,2581,2118,1852,2674,2581,2822,2662,2403,1697,1489,1779,2331,2048,2793,2508
"3",1921,2608,2962,2108,2808,2125,1380,1235,1511,2618,1508,3000,1393,2491,1797,2834,2486,1420,1454,2131
"4",1994,2877,2295,2793,1772,1060,2731,2063,1803,2069,2372,1583,1110,2166,2332,2798,2471,1333,2896,2753
"5",2905,2394,1745,2317,1022,1031,2915,1907,1783,1723,2011,2717,2301,1961,1705,2004,2142,1280,2498,1951
"6",2762,1654,2788,1915,1538,2744,1467,1290,2731,1930,2066,2735,1975,1617,1029,2119,1269,1656,2349,1042
"7",1322,1237,2703,1046,1429,2802,2787,2075,1486,1798,1093,1186,2647,1697,1441,1539,1006,2451,1850,1413
"8",2361,2194,1105,1259,2642,2457,1715,2650,1621,1170,1018,1516,2687,1607,2474,1804,2344,2334,2887,2113
"9",2708,1279,2250,2711,2574,1784,1406,2487,2675,2755,2783,1538,1061,2404,1176,2966,2725,2642,2686,2497
"10",2959,1017,1554,1215,2750,2147,1158,2836,2849,1261,1752,2067,1521,1870,1659,2883,2652,1965,2688,2028
"11",1260,1067,1767,2020,1557,2069,2473,1974,2639,2673,1007,2843,2150,1002,2885,1598,1755,2344,2157,1905
"12",1957,1873,2298,2800,1912,2430,2107,2841,2652,2621,1571,2433,2879,2709,1486,1497,2395,2577,2625,1328
"13",2224,2928,2384,1370,2832,2395,2841,2348,1134,1163,1066,1141,1643,1975,2719,2194,2328,1256,2284,1496
"14",2082,2203,2133,1933,1852,1640,2951,2949,1350,2048,1753,2021,2806,2720,2230,2242,1497,2330,1029,2163
"15",1628,1607,1059,2050,2308,1821,2797,1718,1996,1643,2413,1165,1435,2842,2012,1051,2221,1132,2388,2100
"16",2692,2861,1259,2134,1442,1462,1514,2854,2826,1884,1419,1965,2503,1363,2818,1324,1113,2011,1623,1260
"17",2839,1782,1084,1646,1416,2400,1001,2657,2678,1379,1720,2713,2775,1236,2294,2895,1436,1418,1090,1538
"18",2279,1724,2897,1684,1733,1757,1942,1618,1137,1046,2617,2239,1687,2845,2001,2447,1552,2635,2289,1821
"19",1494,1075,1055,1434,1004,2368,1117,1933,2442,1008,2946,2884,1286,1455,1653,2011,1585,2400,2348,1683
"20",1674,2737,2034,1491,1661,2170,1895,2266,1097,2338,2746,1344,2648,1090,2012,2409,1283,1323,1492,2250
