"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",9,6,10,11,6,9,4,3,5,6,7,3,10,8,11,3,3,7,3,8,8,5,7,11,3,3,6,11,3,7
"2",4,10,6,5,10,7,6,9,6,7,8,3,11,5,4,5,9,11,10,8,3,8,10,5,12,8,7,11,4,9
"3",4,9,9,5,7,11,7,5,11,6,8,9,5,11,7,6,4,6,7,5,3,3,8,9,6,8,6,11,6,8
"4",8,7,7,7,8,3,10,4,6,11,7,6,4,11,11,6,9,3,8,6,11,11,8,6,3,8,7,5,6,4
"5",4,9,6,4,6,11,5,9,8,3,11,10,4,6,7,10,5,11,5,10,7,5,3,10,9,3,11,3,8,4
"6",9,11,11,11,7,8,6,7,8,10,6,8,8,4,7,10,8,9,8,7,5,10,6,3,7,11,8,3,7,6
"7",4,4,4,5,3,4,4,3,7,9,3,5,10,6,9,4,10,4,7,9,10,4,8,7,6,4,10,6,4,10
"8",11,11,7,12,7,6,5,9,12,7,3,10,10,8,11,9,5,11,8,3,10,10,8,4,7,11,5,11,8,10
"9",9,9,6,6,5,8,10,6,7,11,10,5,9,8,3,11,5,10,5,11,10,10,6,8,9,7,8,9,7,10
"10",6,8,8,4,7,6,3,5,11,7,8,11,11,6,5,7,10,9,9,6,7,11,3,6,8,7,7,3,10,3
"11",3,10,9,8,11,3,8,6,10,3,10,10,7,3,6,4,7,8,8,9,6,10,7,7,6,10,4,6,6,4
"12",10,8,9,9,9,9,3,8,4,4,4,7,4,10,8,6,7,4,5,5,4,9,10,7,9,8,8,6,3,7
"13",8,3,4,8,9,8,7,4,11,5,7,5,11,7,9,6,3,5,8,9,11,4,8,8,5,10,10,8,5,11
"14",7,4,5,8,9,5,5,7,10,4,9,9,5,7,8,10,11,11,4,8,5,5,11,8,10,9,7,7,7,7
"15",5,11,7,6,10,7,10,10,8,8,8,11,3,10,3,5,11,10,11,8,9,6,4,7,3,8,3,11,4,7
"16",7,5,6,7,5,11,4,3,6,8,9,8,4,9,10,4,11,3,10,6,8,6,9,6,5,5,11,11,6,10
"17",8,10,4,9,6,7,3,5,5,7,6,4,5,6,8,6,10,8,4,11,7,9,3,10,5,10,7,9,9,3
"18",5,3,5,5,11,6,7,5,10,5,3,7,6,7,6,11,5,9,5,3,9,8,9,7,11,11,4,8,4,5
"19",4,4,10,10,7,9,6,9,7,11,10,7,5,7,7,4,7,6,7,11,6,8,12,10,6,7,4,10,3,3
"20",7,3,11,10,4,9,11,9,8,5,11,8,6,9,4,7,7,10,12,9,11,3,10,3,7,11,3,6,8,3
"21",4,9,3,7,10,3,10,3,3,11,7,7,7,9,10,11,8,5,9,7,5,4,7,4,7,11,4,7,11,6
"22",8,9,10,11,4,6,10,6,10,3,10,3,4,6,8,9,10,5,8,3,8,4,10,10,11,10,5,4,5,7
"23",5,8,10,11,10,3,11,4,9,10,10,6,7,7,9,3,10,10,5,8,11,11,11,3,9,3,9,5,6,11
"24",3,8,5,3,3,10,8,6,7,7,4,5,7,11,4,3,4,8,8,8,7,7,4,7,11,9,10,4,6,7
"25",6,11,10,5,5,11,3,7,12,11,7,3,4,7,10,6,12,9,5,7,10,8,6,6,4,11,8,6,6,3
"26",8,6,3,9,6,8,10,5,10,4,6,7,10,7,8,6,3,3,9,12,6,10,6,6,5,6,9,3,9,9
"27",3,7,3,11,11,4,6,9,6,9,7,3,6,6,10,6,5,6,6,9,8,9,6,10,4,3,6,3,7,4
"28",6,5,11,9,7,10,5,8,3,5,8,11,8,9,10,8,5,7,10,11,8,9,10,9,4,7,10,7,10,7
"29",4,8,10,10,7,4,5,6,10,9,7,5,8,10,10,7,11,5,11,11,8,11,8,10,10,8,6,7,3,4
"30",10,9,10,7,3,12,6,6,6,9,10,10,10,3,7,8,10,3,8,3,4,8,10,9,7,3,7,11,8,6
