"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1",10000,10000,1635,10000,1336,10000,10000,10000,10000,1637,1373,622,1336,1659,10000,10000,1292,10000,10000,809,1796,1257,1215,1304,10000,10000,1539,10000,1133,768,10000,1060,1036,1380,10000,10000,10000,10000,1469,1332,10000,720,1626,10000,716,10000,10000,10000,10000,1732,10000,10000,857,10000,10000,1253,1799,10000,10000,10000
"2",10000,10000,1290,10000,10000,1419,1385,10000,1242,1793,1787,1073,657,1260,1798,946,10000,1756,1180,10000,1134,1080,1014,1045,1040,1704,1143,10000,10000,10000,10000,10000,702,10000,1253,10000,1629,1684,1432,10000,1338,854,1007,10000,10000,1397,1667,10000,967,10000,10000,10000,1256,1420,1544,1731,1293,10000,10000,10000
"3",1053,10000,10000,10000,1474,10000,10000,1028,1594,1244,10000,1246,10000,10000,10000,10000,746,1657,904,750,10000,10000,1143,705,1363,1786,639,10000,10000,819,10000,10000,10000,10000,10000,10000,1761,1483,10000,10000,1327,1032,1444,662,10000,10000,1133,898,873,10000,1687,1040,1579,10000,10000,853,1598,1184,1057,1566
"4",1047,10000,909,1123,758,1192,1172,636,1401,888,10000,10000,10000,10000,763,1555,931,10000,1789,10000,1041,10000,838,1753,907,10000,10000,10000,942,10000,10000,10000,1483,10000,10000,10000,1572,670,10000,863,1012,10000,10000,10000,10000,1620,785,1299,10000,1293,754,892,729,1505,10000,1135,628,1246,950,893
"5",1497,10000,646,10000,812,10000,10000,1604,1104,10000,10000,10000,1733,10000,10000,1407,1368,10000,1119,675,10000,10000,1668,758,981,10000,10000,736,1409,829,847,922,10000,795,666,1088,1753,934,10000,1468,10000,1424,1574,10000,848,10000,1714,993,10000,1569,993,10000,10000,1628,1525,10000,796,1445,1079,827
"6",10000,806,10000,1732,1351,757,1581,840,10000,10000,10000,1205,1596,1102,1250,1158,1118,1687,789,10000,10000,988,10000,10000,10000,644,1125,10000,968,895,10000,10000,1269,814,10000,1293,10000,1691,1410,10000,793,1755,10000,10000,10000,1772,10000,1364,10000,10000,10000,857,1479,1429,10000,1699,1467,10000,10000,790
"7",10000,785,10000,1588,1763,10000,10000,1477,10000,1149,1120,1065,686,822,1314,10000,1699,10000,841,1752,10000,10000,1352,1595,10000,751,1516,10000,1590,10000,1461,1691,604,10000,1168,826,10000,1658,1384,10000,1740,1586,1139,10000,1347,1752,922,10000,10000,1194,10000,10000,762,1732,10000,10000,10000,733,10000,10000
"8",10000,10000,10000,10000,1072,826,10000,673,10000,1398,1452,1693,10000,10000,1194,10000,1160,1734,968,10000,10000,1246,1297,645,10000,1283,1680,10000,10000,1585,1504,754,10000,10000,664,10000,1785,10000,10000,708,1594,1486,1201,10000,10000,10000,1479,684,867,703,1010,1729,1600,1519,10000,10000,675,1084,1160,10000
"9",10000,10000,603,1036,10000,10000,916,1730,10000,1151,10000,10000,10000,10000,694,712,10000,1406,709,1619,10000,1417,10000,1271,10000,10000,905,10000,872,1063,10000,10000,988,10000,1261,10000,10000,762,10000,10000,1045,1312,10000,1089,10000,10000,10000,1439,624,1628,1108,874,1105,10000,1133,10000,10000,620,946,693
"10",1146,10000,1590,10000,823,10000,1588,10000,1107,1181,10000,10000,10000,10000,1146,1756,10000,1401,1572,633,742,696,10000,1344,1083,10000,894,909,687,829,10000,10000,10000,10000,10000,1064,1279,10000,10000,10000,10000,10000,10000,959,10000,10000,1091,729,779,1551,10000,776,10000,1575,10000,10000,1381,10000,814,10000
