"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",8,10,8,8,5,9,12,7,6,5,4,7,8,5,4,6,7,5,12,6
"2",7,9,10,3,6,12,7,9,10,10,4,6,9,8,11,4,3,4,6,8
"3",9,10,10,10,11,12,12,12,5,9,6,6,12,5,7,7,5,11,4,4
"4",7,6,12,5,5,8,5,8,11,5,9,12,8,8,9,7,3,6,8,6
"5",3,9,6,5,5,8,3,12,7,5,9,7,3,9,5,5,13,6,5,12
"6",12,7,12,12,6,4,12,11,5,6,5,11,6,10,11,8,9,11,5,7
"7",3,5,12,6,10,8,12,3,11,3,11,6,8,5,7,5,10,5,8,4
"8",8,5,6,4,12,8,6,6,11,5,6,4,4,6,11,5,4,9,10,3
"9",6,12,9,8,10,4,3,7,9,10,6,11,8,5,7,5,11,9,9,10
"10",11,7,10,9,8,5,12,12,13,6,11,13,3,9,10,11,8,10,11,7
"11",9,11,9,11,7,7,13,11,7,10,11,11,6,4,6,6,10,6,10,10
"12",11,8,7,3,12,12,7,4,9,9,7,5,4,10,8,3,6,12,7,10
"13",8,12,8,5,6,9,8,6,8,8,7,8,7,7,7,8,4,8,8,6
"14",3,6,11,3,8,8,5,10,4,6,10,10,11,3,5,12,3,4,12,7
"15",9,3,12,8,12,4,6,11,6,12,9,4,12,10,11,8,9,3,7,12
"16",10,5,11,6,3,10,10,9,3,7,8,6,10,3,5,4,8,3,5,4
"17",7,11,5,12,8,12,9,4,4,8,4,3,4,13,12,8,12,6,11,6
"18",3,3,4,11,3,10,12,4,3,4,6,3,9,5,7,3,6,4,12,8
"19",9,10,3,6,6,8,3,6,5,5,3,8,9,5,10,12,12,4,7,9
"20",9,6,4,9,9,3,7,4,10,6,4,6,7,12,5,10,10,6,7,7
