"1",8
"2",1
"3",11
"4",10
"5",13
"6",12
"7",19
"8",1
"9",14
"10",6
"11",9
"12",9
"13",18
"14",5
"15",18
"16",4
"17",20
"18",16
"19",5
"20",16
"21",5
"22",12
"23",5
"24",19
"25",17
"26",1
"27",14
"28",1
"29",16
"30",14
"31",18
"32",13
"33",9
"34",11
"35",10
"36",9
"37",12
"38",13
"39",14
"40",21
"41",9
"42",5
"43",20
"44",10
"45",7
"46",13
"47",3
"48",3
"49",19
"50",2
"51",14
"52",19
"53",11
"54",9
"55",12
"56",9
"57",13
"58",19
"59",11
"60",9
"61",7
"62",16
"63",10
"64",3
"65",20
"66",1
"67",2
"68",1
"69",17
"70",20
"71",15
"72",21
"73",18
"74",2
"75",11
"76",15
"77",18
"78",7
"79",10
"80",15
"81",4
"82",19
"83",12
"84",4
"85",2
"86",3
"87",1
"88",10
"89",7
"90",4
"91",19
"92",7
"93",14
"94",15
"95",6
"96",15
"97",9
"98",17
"99",19
"100",17
"101",12
"102",4
"103",19
"104",10
"105",13
"106",3
"107",9
"108",21
"109",18
"110",12
"111",17
"112",9
"113",20
"114",15
"115",1
"116",16
"117",14
"118",5
"119",5
"120",16
"121",20
"122",6
"123",4
"124",16
"125",9
"126",17
"127",6
"128",12
"129",6
"130",15
"131",17
"132",17
"133",17
