"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133"
"1",16,29,27,19,25,27,20,21,37,31,19,23,36,19,40,40,20,18,28,22,30,26,43,32,33,15,21,28,19,38,34,36,30,21,19,21,19,43,40,20,19,25,29,19,25,31,22,27,35,22,37,30,41,41,45,25,29,15,43,24,30,15,43,15,39,26,37,39,31,19,23,36,32,34,45,38,39,44,27,19,29,34,34,39,43,34,43,22,34,24,41,15,24,21,21,42,36,27,24,44,36,36,26,23,19,27,42,31,22,16,37,43,38,43,40,18,37,16,19,35,33,17,15,33,43,31,20,36,19,24,40,36,27
"2",34,31,29,15,22,25,28,39,30,15,38,37,43,45,32,45,29,29,35,16,32,24,16,31,33,42,32,39,28,17,34,35,23,19,37,43,26,40,22,18,17,34,34,33,41,25,45,37,36,28,39,34,42,43,38,21,23,21,39,25,40,33,25,23,22,25,20,17,30,21,38,35,28,23,22,22,44,15,32,36,16,22,39,31,16,21,15,24,45,31,39,23,43,38,35,41,28,22,16,27,18,44,30,24,20,18,40,26,31,29,36,18,30,32,26,28,45,25,40,38,29,23,17,40,37,44,36,23,27,27,22,40,24
"3",16,41,16,22,40,17,32,42,25,31,20,35,45,33,35,30,43,24,30,30,22,21,42,44,21,15,39,42,39,38,36,36,15,16,23,16,17,35,21,26,35,22,36,36,28,41,40,37,29,26,17,17,39,15,34,24,21,15,18,27,24,43,22,28,27,30,34,41,31,29,21,29,44,17,26,39,21,37,28,20,18,17,18,18,16,39,41,35,24,33,37,19,30,17,39,35,33,25,38,33,29,15,36,24,21,19,17,31,36,36,38,34,40,36,20,42,40,21,30,15,22,15,31,22,16,24,18,27,41,17,39,20,17
"4",25,18,25,27,42,33,20,27,38,35,15,20,16,29,35,22,21,25,35,25,44,43,15,17,22,22,23,44,41,23,35,26,24,38,32,38,40,34,37,26,21,41,34,28,41,27,42,29,44,18,25,44,24,21,21,25,41,28,20,32,44,45,32,16,18,34,26,39,16,15,45,41,16,45,40,41,26,43,34,17,25,28,29,16,39,30,31,40,39,23,36,23,16,15,23,32,24,36,36,44,39,16,26,31,20,35,29,17,45,24,27,32,34,34,43,34,42,41,20,18,29,18,42,20,22,21,31,30,19,30,35,41,45
"5",35,31,23,42,37,35,35,44,39,24,45,40,22,43,26,38,43,19,39,41,40,36,16,42,35,22,27,38,25,28,40,36,24,26,36,27,16,43,25,22,24,43,25,41,25,39,16,34,24,26,28,29,34,22,22,15,22,18,28,19,22,37,17,21,44,30,34,29,43,38,39,45,15,37,31,19,29,36,21,41,25,36,33,44,32,44,40,33,24,35,17,21,28,36,43,26,17,41,23,35,29,38,40,29,18,29,39,20,42,41,45,38,20,40,15,25,27,45,33,37,39,26,32,33,25,35,35,16,18,42,23,18,20
"6",42,36,18,26,37,36,22,22,41,23,34,18,35,31,42,44,36,31,25,33,38,41,42,20,31,45,33,17,32,22,26,43,33,29,43,25,44,34,38,44,18,39,29,24,16,23,37,22,36,23,19,15,15,28,30,27,16,38,16,33,35,17,44,29,31,45,43,42,27,44,25,29,35,27,41,16,43,18,16,41,22,34,27,31,28,39,27,41,16,31,25,37,19,29,39,34,36,15,18,17,16,18,27,37,42,30,18,42,37,15,28,16,23,40,30,18,21,39,18,15,37,27,41,43,25,19,34,16,36,17,23,33,39
"7",39,27,26,44,29,21,15,39,17,24,45,19,22,24,44,26,36,17,25,43,25,32,17,40,40,23,40,39,40,38,36,34,35,27,19,27,38,42,19,37,22,28,16,33,20,19,34,36,35,31,39,27,23,41,26,41,33,33,37,37,15,16,44,43,38,22,41,42,38,32,20,34,23,16,17,28,32,37,33,35,20,44,40,41,42,17,30,34,26,39,43,40,22,41,36,18,31,23,21,44,27,15,27,28,33,24,41,37,17,17,18,42,23,39,40,24,32,32,41,29,43,38,42,25,29,33,45,34,30,20,17,17,31
"8",33,39,24,15,18,26,17,15,41,15,16,28,32,42,38,24,38,30,16,25,18,37,29,15,33,31,22,23,36,26,41,20,35,25,41,23,27,34,29,15,19,33,35,19,27,37,42,44,28,19,35,29,43,17,37,18,40,16,29,39,15,26,34,23,45,31,15,21,16,26,33,22,43,43,30,37,37,35,16,22,41,35,40,45,30,24,36,44,44,19,19,40,39,23,39,31,17,18,41,34,29,22,37,34,20,41,16,20,17,43,36,35,28,28,40,38,39,19,33,24,45,31,20,24,16,37,27,32,34,20,37,15,35
"9",39,41,33,18,36,45,36,23,16,39,16,42,41,20,37,41,32,34,36,25,40,38,27,41,30,45,43,26,18,26,41,20,45,25,32,30,17,30,41,17,32,43,28,20,28,35,29,40,35,23,40,39,33,31,42,43,23,42,18,27,32,31,18,20,32,45,32,44,39,27,21,39,28,22,22,37,16,41,45,15,18,31,22,38,26,25,22,45,18,28,16,19,24,39,34,28,45,45,40,16,36,17,20,26,45,40,19,20,29,31,37,42,25,28,43,16,33,29,41,32,21,42,35,22,38,38,35,18,45,31,20,35,22
"10",34,23,33,25,28,24,40,17,36,45,16,21,17,23,17,31,36,30,28,16,41,26,18,31,33,24,31,27,44,33,25,20,27,43,21,25,29,15,42,45,15,40,38,42,32,21,43,26,42,15,19,30,40,37,43,18,20,32,29,15,35,40,36,28,44,43,39,21,33,37,16,25,25,25,32,39,44,40,26,25,32,20,16,40,37,37,15,36,41,39,18,42,31,43,20,27,43,15,15,37,21,32,45,42,22,30,24,24,28,29,22,38,27,21,38,33,44,22,19,23,33,24,34,27,25,38,17,33,19,41,45,21,40
"11",19,24,15,27,17,21,24,38,36,28,18,19,34,44,15,23,28,24,29,34,24,16,35,25,25,32,16,20,22,42,44,38,23,38,17,37,25,44,30,32,38,40,27,20,19,26,44,20,21,42,32,24,20,17,35,35,42,45,42,33,41,34,39,35,41,29,19,37,16,45,35,33,42,23,37,28,26,37,40,24,22,28,16,33,17,21,15,30,20,28,42,21,26,32,38,17,41,39,18,25,37,42,21,40,23,38,28,31,20,38,45,21,37,15,31,42,16,37,40,27,36,23,44,23,44,35,26,39,33,28,37,19,33
"12",17,27,17,44,19,19,28,26,20,21,30,27,31,38,44,24,17,25,20,22,42,25,40,36,45,24,31,31,16,30,23,27,16,40,44,26,19,42,30,39,20,35,33,43,38,18,16,34,34,33,23,19,17,16,37,37,40,37,33,26,25,20,15,43,29,21,42,21,15,20,28,22,36,19,23,39,30,20,31,41,18,21,17,42,20,19,36,45,41,45,35,34,42,31,35,40,29,17,25,40,45,19,33,39,18,40,24,39,21,25,30,45,30,29,39,40,18,32,43,33,40,36,34,43,32,32,45,37,23,34,44,16,33
