"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133"
"1",5,10,33,9,46,5,34,30,36,30,53,53,41,47,29,38,17,12,25,49,10,51,45,34,47,42,50,40,21,20,52,13,6,49,38,28,11,42,30,21,35,13,18,29,47,45,9,26,9,46,15,38,39,54,44,53,32,33,9,51,48,40,8,20,46,6,11,36,13,7,11,54,36,42,13,45,30,7,55,31,41,35,55,49,14,47,45,18,55,50,18,51,27,8,29,48,10,18,42,40,9,20,53,7,39,19,46,18,28,19,48,17,6,11,46,52,42,10,27,33,40,45,28,18,12,21,44,9,18,6,44,24,33
"2",40,51,41,32,8,20,49,5,47,7,14,35,5,18,11,43,36,51,20,34,43,41,16,53,11,53,48,10,54,42,38,44,52,40,14,12,27,43,33,51,23,26,13,14,34,13,25,29,31,37,21,24,36,37,34,8,29,38,24,54,13,53,30,11,38,44,41,49,13,6,31,50,47,33,35,9,35,28,24,54,52,7,18,38,9,28,12,44,26,5,13,23,54,48,19,13,33,24,11,49,21,40,54,9,28,17,40,17,11,15,23,21,22,14,50,46,42,10,6,18,42,26,22,26,33,39,24,47,33,15,19,53,13
"3",54,10,35,23,14,40,43,41,18,27,53,8,29,23,31,34,22,30,22,19,44,20,35,28,9,12,33,29,38,47,6,5,46,12,6,49,33,16,12,20,29,17,53,53,26,55,25,40,46,38,19,48,28,35,24,55,8,27,40,32,15,40,15,5,50,13,18,23,52,18,21,5,20,38,51,46,14,7,27,36,27,50,24,33,43,55,29,25,27,20,14,16,16,38,11,36,42,10,26,38,12,25,50,42,26,44,17,21,7,41,51,19,7,36,33,27,47,33,13,51,45,24,14,42,40,25,28,53,33,26,39,20,52
"4",8,6,31,43,8,17,54,31,54,41,30,27,48,25,25,48,55,29,5,5,32,18,50,34,49,27,7,6,10,55,52,32,23,49,50,45,42,47,19,25,23,47,17,21,21,16,26,5,41,24,38,44,47,28,28,44,8,38,5,50,36,53,24,26,39,47,36,41,26,29,49,14,27,14,6,46,30,40,32,12,14,12,6,16,17,44,45,52,53,45,47,8,47,19,48,12,13,19,18,25,49,12,26,17,24,55,32,44,52,55,12,44,54,39,28,22,9,37,49,16,15,50,25,34,22,10,51,41,8,51,7,20,39
"5",5,48,27,34,54,30,45,10,13,38,55,24,54,36,23,23,27,53,14,33,20,32,54,45,17,36,15,52,6,22,48,27,9,47,49,9,34,40,50,22,23,7,19,6,13,53,50,19,24,36,27,45,21,53,53,41,26,17,23,20,10,41,34,11,53,21,36,21,53,55,54,42,13,8,33,54,28,27,27,28,23,30,16,40,34,35,15,13,14,6,37,16,8,10,42,55,10,29,41,33,53,19,19,38,8,21,20,35,37,14,52,44,49,15,33,8,18,51,52,10,8,14,55,5,55,52,44,22,13,42,49,53,29
"6",22,9,38,21,53,42,50,30,21,31,27,42,46,42,8,17,26,40,11,53,47,33,36,52,7,30,7,29,9,47,6,18,8,38,32,55,50,21,45,25,6,55,36,14,41,37,54,28,10,23,28,54,31,17,55,33,5,8,23,21,45,20,18,22,13,55,52,24,53,12,47,30,48,17,37,30,20,37,21,10,48,20,26,27,19,30,46,6,9,11,17,8,40,32,53,53,25,24,31,36,23,20,5,41,42,39,35,9,31,43,40,48,52,43,33,49,25,46,7,55,39,8,49,29,28,20,27,10,42,25,6,46,33
"7",9,38,28,11,13,46,23,25,55,48,43,11,38,44,29,54,41,19,14,27,33,36,46,15,16,23,31,51,19,6,21,27,49,55,26,34,51,35,44,39,30,45,33,15,45,19,17,12,9,7,49,42,10,12,54,16,36,55,31,10,11,51,35,39,10,32,35,24,8,43,45,49,15,11,18,50,25,19,32,49,24,5,30,20,10,29,24,40,18,34,36,52,42,8,28,31,32,9,43,39,26,49,31,52,20,30,11,9,39,8,45,42,30,15,43,41,48,6,53,35,21,22,14,25,39,30,5,12,19,24,30,10,8
"8",50,53,37,54,47,53,36,11,23,41,25,55,50,52,32,55,53,33,11,36,32,45,38,17,8,5,43,30,28,22,45,6,7,9,6,40,32,12,49,5,25,42,28,41,29,36,15,12,47,38,53,46,24,23,13,43,46,43,8,38,40,49,19,25,37,45,11,8,51,6,16,49,46,5,5,39,55,8,31,11,18,12,23,18,11,33,30,16,47,43,23,22,22,24,35,45,30,55,26,34,7,17,52,37,16,34,19,30,9,31,41,18,26,16,37,30,21,47,42,6,6,11,39,11,16,7,48,18,33,23,50,6,29
"9",40,44,34,18,30,50,40,34,28,20,50,41,48,53,34,55,33,22,29,50,43,10,16,38,10,33,26,30,19,12,53,32,7,16,52,6,10,26,16,38,29,9,33,30,34,40,35,51,32,48,32,12,8,34,35,18,51,40,19,9,32,32,38,22,32,47,22,11,7,20,24,28,28,13,26,25,52,25,29,6,32,53,40,23,28,7,20,23,12,53,16,43,39,28,7,30,28,45,17,23,47,24,17,14,28,9,21,36,6,49,17,8,45,8,15,8,5,32,51,47,53,7,8,9,54,45,40,46,16,39,53,26,29
"10",27,47,32,51,53,10,54,5,42,49,53,16,36,13,9,9,31,25,20,22,35,43,32,6,46,32,9,45,25,26,32,18,14,43,17,7,16,54,7,41,47,55,44,46,46,54,29,18,43,18,30,30,43,55,54,14,44,17,18,33,15,48,37,18,10,51,34,11,34,52,25,42,47,35,55,40,23,35,30,13,17,53,24,30,24,29,38,50,49,37,49,23,46,10,23,18,13,48,48,32,5,25,13,51,44,11,11,41,46,34,17,17,31,23,38,54,18,41,28,13,50,20,40,27,24,16,16,23,30,17,24,39,45
