"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
"1",37,50,25,38,38,17,47,27,45,17,14,12,35,33,25,29,39,46,10,12,12,11,39,16,21,17,19,48,11,10,45,25,34,35,38,17,18,50,25,30,46,43,16,24,30,36,27,23,34,49,43,29,27,18,27,50,16,43,48,46,32,17,33,16,37,17,39
"2",16,24,34,24,17,38,16,12,29,34,40,23,24,13,41,24,46,49,50,45,21,20,30,28,43,26,21,46,43,46,25,19,44,33,36,48,34,26,37,21,47,22,31,32,22,31,16,24,13,26,26,36,32,26,36,35,21,32,36,43,24,21,44,40,13,15,15
"3",24,32,34,43,29,20,42,36,48,20,43,21,10,13,34,21,36,31,30,33,49,10,49,49,40,49,34,18,38,26,14,38,21,35,26,22,40,36,42,33,41,12,32,14,32,16,34,25,38,28,40,40,16,40,29,25,35,28,32,43,19,45,39,11,39,30,48
"4",18,47,30,28,27,21,29,35,47,39,23,44,46,33,18,39,34,29,13,14,18,21,36,45,12,26,41,11,48,16,37,43,17,41,36,24,15,12,30,49,47,26,39,19,39,39,19,22,50,29,30,33,20,49,43,21,17,25,24,35,14,34,17,16,18,28,17
"5",22,42,39,11,19,17,44,22,34,22,14,45,30,24,37,47,35,31,31,10,49,26,21,42,13,43,23,49,45,24,46,45,36,30,33,27,15,23,33,11,16,14,35,17,31,20,22,22,37,44,22,26,25,49,35,26,16,43,49,16,35,19,10,35,42,14,48
"6",38,16,29,34,28,37,48,42,12,14,35,37,40,39,31,41,36,12,13,34,34,30,35,32,37,26,49,15,30,15,20,45,41,40,23,17,21,11,30,50,27,15,45,47,35,12,44,22,43,23,29,47,25,43,37,32,28,34,27,10,27,21,28,48,29,25,24
"7",21,26,14,18,21,14,13,37,23,40,37,29,16,23,35,36,48,15,34,29,20,38,50,29,35,12,38,34,37,32,50,14,39,31,25,46,50,32,37,47,43,39,14,34,13,14,50,25,16,26,37,11,35,32,45,28,48,10,29,42,15,29,30,13,36,26,42
"8",47,36,10,27,30,34,33,39,44,20,36,42,38,46,36,29,27,14,28,19,33,25,24,19,33,23,45,19,20,19,47,29,25,23,23,29,28,23,19,15,26,12,46,23,29,29,48,33,18,10,36,17,14,34,26,30,27,25,11,13,26,25,10,42,41,10,19
"9",49,33,37,23,30,45,28,50,10,33,10,18,20,11,13,11,24,50,45,44,37,15,42,25,20,43,18,32,43,35,18,49,18,31,31,40,40,12,29,38,20,24,22,35,24,42,13,30,42,33,33,46,25,24,44,39,20,31,10,30,47,11,44,38,17,16,32
"10",45,15,23,14,11,50,15,29,49,20,20,47,23,34,11,24,35,37,39,16,19,16,45,22,30,43,29,50,40,23,39,13,19,38,39,25,39,45,24,29,12,17,44,19,30,37,45,22,32,19,12,48,14,35,20,39,44,29,10,31,40,34,43,13,10,10,21
"11",50,44,44,11,45,48,50,10,18,18,44,46,19,42,46,44,47,27,18,50,18,50,46,20,39,48,17,22,36,35,22,39,21,27,48,10,19,47,14,28,21,15,40,31,42,33,10,31,48,23,15,23,46,34,12,15,11,27,29,23,12,34,44,32,16,27,49
"12",23,25,24,43,26,14,19,28,10,10,17,35,31,44,12,17,14,12,23,34,26,30,11,47,13,37,45,11,49,18,41,37,50,32,40,44,15,25,29,32,18,25,38,41,41,17,37,28,25,50,47,41,20,28,41,27,25,26,25,36,42,29,35,15,19,34,35
"13",27,25,40,21,26,34,43,50,21,47,16,37,23,16,24,25,24,21,33,36,42,47,38,32,11,43,14,19,46,26,16,22,49,23,28,28,27,18,16,44,14,12,42,11,24,42,46,20,24,39,42,15,31,20,15,14,43,27,27,43,20,28,41,24,48,11,39
"14",22,39,29,10,24,18,10,36,46,15,28,49,39,41,26,29,15,42,18,23,22,25,45,40,16,45,24,26,44,29,30,46,12,17,26,11,35,17,48,43,23,14,44,26,10,46,28,48,10,47,13,32,12,46,15,11,35,32,20,34,12,15,27,26,38,35,13
"15",44,22,37,12,32,35,11,24,31,50,12,45,10,23,10,40,42,14,49,29,26,23,43,36,21,43,33,33,35,40,26,10,34,31,31,20,42,30,13,12,46,26,45,17,28,11,10,13,28,22,12,45,50,37,43,39,41,37,45,43,35,22,36,28,29,32,38
"16",49,44,10,49,47,44,38,32,45,17,29,41,24,19,35,29,47,40,39,17,49,41,20,42,49,38,15,33,26,43,36,49,11,11,47,25,32,15,24,28,21,39,41,39,19,35,41,16,18,14,15,13,25,23,19,28,12,28,18,46,35,32,46,22,26,12,20
"17",42,45,38,27,31,45,41,24,15,50,21,39,49,40,49,35,41,20,27,21,17,17,15,46,46,48,50,28,18,32,23,13,48,38,26,38,45,25,38,28,18,14,37,38,43,26,15,34,27,34,50,27,13,22,24,12,48,22,16,12,44,26,25,22,19,35,32
"18",40,40,30,23,13,22,14,49,36,43,16,26,10,12,13,48,43,15,34,31,40,43,32,31,31,17,36,11,14,39,10,32,35,48,16,26,20,30,23,42,20,24,30,47,21,16,12,11,37,18,34,10,49,42,28,43,45,19,28,39,29,48,29,27,39,11,14
"19",29,12,32,16,24,28,34,45,18,50,38,35,15,47,25,24,26,32,46,39,12,28,37,28,38,37,38,32,20,28,33,42,48,40,37,26,30,26,28,31,49,38,36,23,16,48,46,32,45,13,36,37,37,12,16,40,50,23,47,33,15,21,29,34,19,16,33
"20",50,46,47,43,46,32,11,23,46,25,10,24,43,39,47,12,46,40,39,29,10,19,34,43,29,34,24,40,43,30,39,25,50,18,22,30,30,32,40,16,13,27,28,26,50,41,18,13,12,32,44,38,37,26,12,28,23,31,19,48,11,43,30,40,39,39,17
"21",48,43,21,16,26,37,21,35,13,38,16,47,46,48,29,38,47,18,31,29,28,16,44,48,16,48,27,26,45,35,15,41,22,13,50,29,47,47,24,32,21,29,14,26,33,10,25,14,42,36,17,36,35,41,19,43,13,35,21,27,39,34,38,11,16,50,12
"22",32,27,40,30,43,48,28,43,50,21,35,44,29,15,36,45,31,46,22,31,20,50,11,31,48,14,23,38,49,29,17,27,14,47,44,41,39,42,13,40,12,39,11,41,33,35,21,50,38,29,32,45,31,30,28,18,21,15,37,31,11,11,12,27,16,50,22
"23",45,25,15,22,45,33,48,40,28,12,32,25,50,45,37,37,37,22,50,15,40,24,48,22,30,35,11,35,21,48,15,42,10,17,11,39,43,14,19,23,28,14,26,27,35,28,14,26,31,28,39,24,18,34,14,14,35,17,26,25,46,26,46,21,22,47,33
"24",24,22,29,15,13,19,27,35,13,31,37,47,12,40,24,25,38,25,40,43,30,31,33,44,48,16,25,47,25,35,32,30,45,14,20,46,38,36,17,16,47,43,37,25,41,36,35,32,23,49,47,46,19,31,10,31,20,37,18,17,38,41,11,20,32,34,15
"25",20,25,23,14,21,29,48,37,36,28,21,28,44,19,19,19,31,14,34,11,13,32,35,40,31,43,29,38,10,23,29,23,36,20,28,14,31,13,39,50,45,27,30,40,45,19,27,27,35,45,24,10,47,17,44,35,30,25,33,13,30,20,31,35,11,35,32
"26",33,47,48,36,34,19,44,19,17,34,16,47,44,37,36,19,31,19,36,49,24,32,46,28,14,47,36,25,11,47,45,31,21,34,19,24,46,24,38,45,18,41,22,16,29,43,19,46,35,11,30,37,50,21,40,30,33,22,46,15,27,14,22,26,10,36,25
"27",22,16,22,28,27,39,50,24,25,20,29,47,24,18,11,31,49,16,50,14,25,47,43,26,46,15,25,19,28,18,22,23,39,29,47,24,34,31,26,25,12,16,49,32,45,20,47,27,11,46,33,29,19,23,42,30,46,37,14,19,32,20,24,44,36,43,40
"28",42,16,22,37,35,44,28,21,39,39,41,20,33,49,14,33,42,21,34,35,10,42,40,16,23,24,40,10,47,45,23,39,46,44,16,45,16,44,40,27,17,49,42,22,41,38,47,15,35,43,14,47,24,50,10,45,23,46,25,24,35,19,27,47,16,11,50
"29",27,48,37,40,31,37,32,19,48,15,23,48,39,50,27,32,31,41,47,10,41,49,40,24,40,12,48,40,41,24,50,33,28,31,34,39,23,23,11,38,49,13,14,49,26,45,19,28,13,49,14,16,25,40,41,17,39,20,36,46,34,41,33,31,50,35,40
"30",31,32,39,44,32,44,18,21,15,32,40,12,32,32,20,46,42,47,36,27,21,48,42,41,40,50,25,36,48,33,30,24,45,36,40,15,34,40,30,31,20,25,34,38,47,38,46,47,47,26,26,34,14,33,28,44,10,50,15,20,28,42,18,36,42,21,17
"31",31,50,24,11,30,26,42,10,38,44,32,46,14,47,17,45,28,11,34,11,21,40,27,50,27,45,43,48,43,50,12,40,25,48,48,49,16,24,12,25,16,15,25,39,48,25,21,19,50,32,17,30,27,30,10,28,15,36,17,26,11,13,13,27,42,15,44
"32",33,13,44,44,41,43,18,13,17,36,39,44,17,31,40,20,45,12,33,39,48,39,45,23,44,13,28,30,38,10,24,41,50,23,15,45,29,10,11,15,37,27,42,33,48,26,30,23,27,43,28,35,38,23,49,49,18,50,32,43,23,13,46,40,23,21,45
"33",36,22,27,16,15,16,22,44,27,37,34,15,45,31,37,43,46,50,48,49,41,41,35,26,19,34,34,32,42,14,39,24,44,21,35,20,29,42,37,20,37,14,25,33,50,24,50,23,23,26,35,22,33,34,29,49,50,36,28,17,34,11,22,45,49,43,11
"34",10,27,28,22,20,48,23,13,47,33,48,30,27,45,35,25,19,21,49,24,33,12,44,38,40,27,46,11,40,35,25,41,42,34,27,45,45,45,36,13,45,43,18,32,44,22,17,19,19,45,26,47,23,39,12,19,21,12,30,39,28,45,46,10,30,41,39
"35",20,37,23,14,40,26,34,12,17,21,38,37,31,34,40,15,30,22,43,39,48,48,30,38,41,33,10,47,34,22,32,18,32,40,49,43,47,30,34,17,24,37,46,41,41,31,13,45,32,13,23,15,10,19,23,33,33,29,46,21,21,20,32,20,47,46,37
"36",40,34,34,35,22,47,13,13,18,22,17,37,17,36,29,50,22,38,23,31,44,50,24,23,20,34,13,45,15,37,21,43,36,36,17,38,45,46,14,36,10,36,32,12,15,12,41,36,10,31,21,13,36,29,23,22,11,45,19,45,23,49,26,41,37,17,26
"37",23,36,26,48,29,48,50,50,41,29,44,28,38,40,43,24,31,20,27,33,25,31,45,28,29,38,39,38,29,36,10,24,35,39,28,13,10,46,31,39,34,28,47,28,21,30,39,28,16,12,43,20,28,36,33,40,34,40,25,33,46,36,49,14,32,33,34
"38",32,26,38,25,32,47,45,41,46,35,41,41,41,10,21,11,48,45,11,42,31,22,14,43,23,47,32,42,27,32,14,24,35,23,19,20,30,29,33,16,25,14,29,25,35,10,44,48,44,17,49,13,22,40,43,50,45,30,21,13,28,15,19,33,32,29,22
"39",26,40,32,13,16,36,46,43,44,30,40,29,28,28,43,15,12,25,24,32,17,25,15,50,14,33,43,33,48,22,49,10,21,21,43,22,24,31,11,30,39,28,21,38,27,40,46,45,24,41,28,44,48,19,43,12,33,38,22,25,44,30,47,22,31,14,14
"40",42,39,20,44,34,13,29,40,24,21,20,24,27,37,43,20,37,49,22,31,29,41,20,35,37,49,15,43,32,42,49,33,34,37,36,31,41,42,33,37,21,21,17,47,41,25,35,44,27,50,44,37,49,31,16,32,17,25,28,13,20,11,29,20,42,17,35
"41",26,47,19,39,45,30,37,15,35,21,48,13,46,42,46,15,15,37,17,15,44,11,41,13,27,14,37,19,37,14,25,45,18,34,11,37,48,38,28,40,37,41,13,48,43,17,14,50,35,40,43,46,17,40,28,49,18,50,11,25,44,41,43,32,11,36,19
"42",24,28,43,41,43,45,35,13,18,43,50,25,19,29,31,14,15,38,24,19,37,47,27,38,19,20,16,27,27,24,37,37,37,50,41,42,39,29,45,15,15,24,41,34,31,22,23,37,40,39,50,36,25,42,17,22,28,26,41,49,35,29,25,47,41,21,28
"43",38,18,48,12,31,46,47,31,50,39,13,45,17,22,36,45,11,39,29,32,34,10,40,15,30,10,26,15,36,32,48,24,14,41,45,19,30,37,38,34,46,26,10,42,44,17,12,20,18,19,13,35,12,28,20,43,25,47,34,36,48,34,38,45,13,15,29
"44",11,24,31,47,11,49,15,32,18,22,42,18,19,24,23,19,50,25,16,10,13,20,50,27,13,36,14,46,46,19,11,10,47,15,11,18,20,15,45,45,36,42,20,13,29,30,24,39,32,25,18,43,29,38,43,25,28,29,16,48,14,49,10,40,47,46,32
"45",30,19,31,31,11,20,14,17,26,23,14,11,24,28,32,15,26,10,49,27,14,37,39,14,29,22,46,40,41,25,47,30,23,50,24,42,22,30,17,24,25,50,13,46,14,36,16,17,47,32,24,16,28,23,25,26,25,21,42,50,37,45,37,21,24,30,36
"46",44,14,12,41,46,13,40,44,43,41,39,11,10,15,49,19,31,38,18,16,22,28,39,27,14,27,10,15,23,34,36,24,19,40,30,33,15,48,23,27,30,17,11,34,39,27,40,27,26,10,44,43,17,41,42,14,48,27,49,33,27,46,27,43,35,21,18
"47",33,21,21,48,19,48,19,24,47,34,26,28,40,19,49,30,25,20,22,16,23,27,49,33,46,30,25,21,13,41,46,46,35,47,38,10,11,23,15,38,14,24,34,25,36,39,26,37,34,48,37,36,43,24,32,16,36,47,15,45,44,48,43,38,15,32,33
"48",18,30,37,23,18,33,29,18,27,42,45,29,42,21,33,27,27,19,49,12,26,10,42,31,19,23,33,13,29,10,30,33,43,17,25,25,33,29,12,14,21,44,31,49,17,21,38,14,35,36,15,42,21,21,27,22,50,14,26,34,38,34,21,21,22,36,10
"49",41,17,48,38,17,47,11,34,13,11,35,48,11,14,47,49,21,28,49,17,35,32,45,26,32,33,49,27,16,19,21,37,18,11,44,24,15,46,38,18,44,50,39,10,30,33,37,18,18,20,17,32,28,39,50,46,29,22,14,15,45,23,33,45,48,49,19
"50",18,13,14,30,34,23,45,50,40,21,34,24,18,24,13,10,31,20,29,49,21,14,32,25,21,14,26,29,22,14,33,20,29,13,42,19,49,44,31,18,15,34,47,24,21,42,34,22,18,50,12,32,12,10,36,13,29,28,16,24,42,40,11,47,47,21,15
"51",40,32,30,17,26,25,14,29,39,14,29,37,39,19,13,32,39,43,44,48,27,14,28,35,10,29,12,17,16,31,38,18,44,50,29,37,45,13,46,30,33,17,36,32,24,26,19,41,37,21,33,10,50,33,23,11,10,34,23,46,49,11,32,45,11,30,18
"52",19,20,24,42,16,27,17,31,45,32,10,16,36,14,10,43,11,37,17,34,20,23,37,12,20,47,11,48,43,37,11,41,18,11,33,46,14,15,46,41,35,49,12,21,49,19,14,42,44,45,48,12,24,37,10,19,31,11,21,17,41,33,29,24,25,41,40
"53",19,35,42,25,41,45,29,48,50,18,33,23,16,46,44,18,25,49,11,43,38,25,17,26,14,17,27,28,36,48,20,13,28,27,49,15,26,13,20,38,13,28,37,24,40,30,42,15,18,41,44,26,14,29,28,30,47,30,28,41,20,46,11,38,43,33,40
"54",21,44,39,32,48,38,42,36,40,40,37,20,15,22,44,39,38,45,23,49,49,19,36,17,31,29,50,19,44,37,16,45,21,38,39,49,48,24,32,48,21,50,40,50,37,29,17,35,19,22,35,39,34,11,44,14,50,13,40,29,44,33,20,24,32,21,39
