"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95"
"1",22,17,15,17,35,23,49,23,26,44,20,49,46,40,24,20,31,38,33,47,31,30,17,24,49,31,27,41,39,45,29,28,27,25,17,16,29,37,13,43,41,33,30,15,33,29,30,37,47,40,41,29,24,40,30,22,42,29,27,43,42,28,33,14,12,25,48,14,28,15,40,29,30,22,18,20,32,33,28,42,17,36,18,23,46,28,48,22,22,37,31,43,29,40,14
"2",39,10,35,24,11,20,18,15,42,24,32,26,25,13,34,14,39,47,16,49,10,49,26,34,11,16,45,44,13,15,47,31,40,25,50,23,26,22,14,32,16,42,40,28,48,22,42,33,49,30,38,50,12,42,16,29,36,14,40,14,38,17,45,23,10,48,12,12,17,14,35,17,38,20,22,41,47,35,12,43,15,18,27,39,46,49,34,47,37,40,47,46,40,44,35
"3",40,20,24,25,11,27,28,46,49,19,29,28,35,12,19,18,32,39,29,10,27,46,31,12,38,19,30,28,10,20,44,18,34,23,35,30,39,43,47,29,48,48,44,38,39,48,32,46,14,44,49,31,46,40,22,35,24,15,15,11,29,29,28,35,36,46,39,40,14,41,28,35,20,48,46,29,29,36,12,37,33,24,32,12,21,20,45,14,42,38,35,14,14,20,14
"4",41,34,14,47,43,10,40,23,10,22,36,35,44,20,35,35,18,12,36,31,39,26,18,47,11,19,47,48,41,27,21,34,35,11,45,21,29,36,39,47,33,18,46,26,34,14,34,35,23,44,49,43,15,20,32,39,30,39,44,13,24,31,48,17,43,50,15,26,49,30,37,42,23,41,27,29,11,30,20,46,38,45,11,39,39,11,42,49,42,49,38,41,14,42,30
"5",20,23,40,21,38,44,45,10,30,38,30,12,15,34,31,39,12,19,18,43,20,48,42,24,10,35,31,31,46,27,14,50,34,16,48,28,31,12,28,25,28,13,30,34,43,20,11,32,49,12,37,42,37,39,29,43,42,27,14,29,34,18,25,35,20,33,24,14,23,33,21,46,30,24,21,16,11,47,42,32,47,12,26,11,34,11,20,25,12,42,22,38,43,23,44
"6",11,22,43,23,24,29,39,36,14,27,25,14,46,28,21,43,15,31,14,50,14,21,50,47,45,12,17,38,47,16,16,48,15,50,31,43,49,17,43,45,11,16,33,24,39,27,29,17,39,32,30,18,27,12,44,43,24,12,47,13,25,16,48,50,30,10,19,48,48,26,19,28,40,36,14,13,42,24,11,29,48,31,44,32,22,20,18,31,29,33,42,27,22,42,13
"7",13,16,47,45,38,15,39,21,19,50,15,18,33,34,19,47,19,28,43,10,35,19,45,12,19,15,39,27,10,30,14,32,27,46,38,14,47,19,18,25,10,42,10,38,17,23,27,44,10,33,13,23,48,43,42,19,23,37,45,30,23,18,50,50,22,36,44,47,40,35,47,36,40,14,48,32,24,39,15,48,26,18,36,50,38,20,21,34,21,37,40,14,21,46,25
"8",26,43,39,24,46,39,38,24,48,28,38,21,10,29,26,41,45,44,49,46,42,19,46,18,16,26,27,27,36,18,38,28,15,20,23,21,11,37,29,25,28,43,38,15,42,46,13,39,13,45,22,35,23,36,34,11,12,24,21,33,23,23,46,24,19,17,49,45,14,13,29,23,19,37,49,23,31,47,29,23,21,33,27,18,26,36,40,49,27,33,25,20,29,42,20
"9",37,45,40,18,50,40,41,14,20,24,27,42,13,24,16,11,12,45,39,10,43,34,38,30,13,22,17,27,22,30,49,35,30,21,50,41,24,31,24,43,40,39,30,44,20,35,25,19,31,43,50,19,32,46,34,25,14,11,38,11,42,50,42,45,10,50,47,40,22,13,18,30,10,28,12,11,45,42,38,44,28,38,29,46,41,30,23,14,44,20,45,25,47,21,47
"10",15,34,47,27,15,30,12,27,36,50,46,48,19,37,26,36,29,22,50,46,49,23,33,45,33,13,38,21,30,15,46,23,43,22,24,23,30,41,35,46,11,13,28,10,13,45,28,20,35,18,11,21,11,26,40,46,25,49,34,12,16,49,35,46,27,39,27,21,16,41,20,27,23,25,35,33,37,12,18,30,22,47,16,19,30,37,40,48,45,26,26,41,23,18,17
"11",19,45,43,35,19,31,33,18,31,16,24,39,50,26,41,40,23,44,32,33,48,12,20,30,36,27,33,15,17,31,17,44,40,19,36,38,10,23,15,43,13,41,31,46,46,46,40,31,14,44,26,20,45,19,18,16,32,30,29,11,40,39,45,15,32,21,40,41,38,25,42,34,41,39,36,29,17,25,17,35,42,13,11,33,43,39,44,41,32,30,31,45,37,45,28
"12",47,34,37,25,22,11,47,20,23,30,24,11,42,36,18,41,17,37,50,43,47,50,46,44,25,42,40,18,49,10,12,11,28,44,11,17,35,45,27,35,36,33,20,43,36,17,17,13,37,16,15,36,32,29,25,29,38,37,41,17,39,40,12,36,22,30,20,13,11,28,46,37,19,24,49,14,43,15,15,24,50,23,45,29,41,35,50,18,45,48,36,14,17,49,43
"13",18,24,15,40,28,50,32,40,23,12,11,43,50,41,11,26,10,15,49,32,39,36,38,47,46,50,28,26,14,27,26,35,42,21,25,24,20,29,38,50,31,29,45,49,26,23,19,42,49,10,41,13,25,33,18,37,43,36,46,36,32,46,19,34,12,43,40,27,46,23,17,42,10,27,27,12,29,29,24,31,20,20,28,18,36,25,10,24,14,33,41,21,35,19,24
"14",45,11,48,36,33,44,26,43,25,14,14,10,11,31,26,36,15,45,36,12,25,35,20,43,40,25,13,17,16,17,37,21,47,33,49,14,24,39,25,11,41,43,44,45,49,43,21,48,39,29,44,14,36,11,46,38,32,31,28,22,14,14,43,19,34,30,25,43,34,48,43,49,32,20,42,50,19,19,48,45,18,20,21,41,39,27,48,18,30,17,31,25,28,10,41
"15",26,13,17,13,19,24,49,10,27,13,44,27,28,29,26,32,35,24,23,33,18,33,37,16,25,14,10,38,39,34,26,36,28,32,49,11,12,23,31,42,35,10,23,33,36,15,10,29,10,50,42,27,13,24,15,31,32,18,16,12,26,50,42,23,45,39,44,13,39,41,20,28,35,44,19,21,27,21,48,18,24,34,24,14,39,17,21,18,48,30,44,10,42,26,27
"16",20,31,11,21,41,50,14,27,11,21,24,44,16,12,40,49,28,28,13,17,10,29,18,27,24,37,49,40,46,15,40,20,36,49,15,20,14,36,16,41,26,23,21,27,22,42,10,37,20,46,49,20,33,47,30,18,14,26,32,31,18,11,46,48,17,13,35,27,37,43,50,39,40,15,22,27,37,47,26,22,12,18,45,14,26,48,43,24,27,49,36,13,35,29,29
"17",21,49,15,10,26,44,38,12,48,35,36,38,10,26,32,27,13,19,34,19,34,24,30,40,33,23,39,50,12,25,20,19,23,40,19,27,38,37,23,19,36,40,39,45,33,28,20,31,28,28,14,49,30,18,31,27,25,50,11,49,41,19,21,24,31,10,42,21,10,47,43,33,25,28,43,27,32,47,40,16,19,19,30,39,10,32,24,31,33,29,19,47,16,12,49
"18",25,43,43,19,40,35,17,49,24,15,43,17,34,47,15,36,40,46,25,14,44,18,15,48,23,13,14,23,38,50,48,21,14,31,21,29,35,38,37,21,10,34,35,48,17,42,29,14,37,32,29,49,20,38,13,10,32,36,22,11,40,13,34,41,31,11,42,23,26,22,33,35,19,31,42,15,46,48,47,38,20,27,23,36,13,24,34,12,20,49,47,33,48,42,26
