"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77"
"1",31,30,30,25,36,20,21,22,36,25,36,20,39,25,31,34,40,39,37,34,31,33,33,40,25,26,23,29,40,32,33,24,31,40,33,21,37,25,25,40,26,27,36,23,24,38,25,23,31,26,37,29,29,39,28,29,20,34,31,34,37,37,25,24,24,24,31,37,25,22,21,34,33,33,39,39,33
"2",33,39,21,21,26,22,36,26,33,36,26,20,24,30,21,23,28,25,23,39,33,33,20,32,29,25,27,31,30,24,37,26,34,30,26,27,33,21,28,24,21,21,37,22,39,23,28,36,32,34,36,23,28,34,32,22,38,33,37,38,33,39,35,26,32,37,26,32,36,26,31,30,20,20,20,28,29
"3",28,33,38,23,34,23,38,34,24,38,27,22,40,22,34,28,20,24,23,30,36,24,28,33,34,27,26,27,20,26,21,37,23,27,36,28,34,26,27,35,25,29,36,29,38,24,26,26,38,30,24,28,22,33,21,26,21,24,38,22,37,24,27,38,31,28,33,37,20,30,30,20,24,32,21,40,25
"4",29,30,29,20,31,26,21,22,40,20,27,29,21,23,21,28,22,25,35,30,40,40,26,23,22,33,24,22,39,36,36,33,22,24,34,20,27,25,23,36,20,28,22,38,26,23,40,23,31,24,35,40,32,31,32,36,40,22,21,22,32,34,33,32,33,30,39,24,30,37,26,22,31,32,30,32,28
"5",27,30,39,34,30,33,21,23,24,25,32,28,34,38,38,32,28,23,36,24,33,24,35,36,30,24,27,32,37,38,33,40,39,32,28,29,21,36,24,30,34,30,21,32,27,20,35,27,35,24,24,20,25,27,28,20,32,29,29,28,33,33,40,28,38,25,25,22,25,29,32,32,34,35,40,21,29
"6",24,36,34,39,33,23,28,20,37,39,29,31,31,33,40,24,38,31,39,32,20,36,25,29,22,29,38,40,20,37,29,27,33,25,34,33,22,34,20,29,26,25,38,38,39,21,27,30,27,26,20,29,37,22,37,40,26,25,27,28,26,22,26,26,26,37,32,38,31,26,20,38,21,28,24,28,33
"7",23,34,30,25,26,34,21,33,26,28,39,24,39,36,32,23,37,29,22,35,27,36,34,24,38,21,31,26,23,22,39,24,23,36,30,27,21,29,31,38,23,37,23,20,33,24,26,40,21,35,23,36,26,25,29,37,35,26,31,25,40,34,20,38,39,34,34,35,20,22,23,32,27,31,21,35,22
"8",36,28,21,33,40,20,35,29,26,39,32,34,23,35,33,30,20,28,23,21,38,20,20,31,26,28,23,29,20,30,21,25,23,34,30,25,25,20,31,27,23,20,35,35,37,40,36,31,39,30,31,28,36,20,39,28,25,30,21,33,29,35,20,20,35,21,37,40,27,22,37,33,39,24,39,37,22
"9",30,26,34,20,34,24,40,34,38,40,36,31,30,23,20,40,20,29,34,31,20,27,31,34,31,33,35,26,36,28,33,24,24,26,30,25,25,23,31,40,30,24,36,23,24,31,34,36,26,26,25,34,38,32,24,25,38,39,30,20,31,23,24,39,24,25,39,38,22,24,37,37,23,37,36,27,34
"10",27,21,31,20,40,36,34,28,20,33,34,31,24,35,28,34,35,20,34,27,34,30,25,38,33,21,28,37,38,38,22,39,40,29,35,40,39,27,38,22,25,40,27,22,24,33,35,29,22,39,31,27,28,30,34,24,26,24,22,31,25,25,34,29,35,39,33,39,29,23,20,39,27,24,35,39,28
"11",27,35,31,35,36,31,29,24,38,29,33,20,36,36,34,20,23,28,36,32,37,22,35,21,20,35,23,30,25,23,33,37,26,25,38,21,36,32,38,36,20,20,21,33,20,22,28,38,27,35,36,27,32,21,22,24,36,38,40,36,40,21,34,22,25,22,31,21,39,35,22,21,32,39,29,24,37
"12",27,22,36,25,24,35,29,20,25,38,31,33,28,22,23,23,26,37,32,33,37,20,39,38,40,23,30,34,30,20,38,22,21,33,23,28,26,26,23,30,20,30,22,23,36,26,38,40,25,39,33,25,37,21,40,27,37,32,35,32,20,36,35,22,36,29,32,22,23,30,38,21,34,40,30,36,27
"13",23,35,20,21,33,21,24,29,40,22,30,29,33,40,22,38,37,29,37,29,32,36,34,28,33,40,35,39,39,33,27,29,34,28,33,35,21,22,34,22,31,31,21,35,37,32,37,40,29,31,38,29,25,34,24,33,38,33,20,30,31,39,23,40,20,29,34,33,27,22,25,39,36,27,35,25,40
"14",21,38,40,25,21,21,29,22,32,28,24,28,36,40,37,26,26,20,29,28,20,32,25,33,23,31,39,32,22,38,27,36,37,37,28,24,28,24,39,34,29,32,32,34,32,31,21,38,27,28,33,34,29,34,33,36,40,29,33,29,26,33,32,32,23,24,21,38,28,29,38,26,37,33,38,37,27
"15",20,27,27,32,26,40,35,22,31,38,26,24,38,29,28,40,30,33,29,24,37,24,36,34,27,22,26,28,25,31,36,33,26,40,35,21,31,36,39,36,34,38,28,39,22,27,23,29,30,28,40,24,35,24,31,20,34,32,36,27,29,35,25,37,24,27,26,32,25,38,33,25,35,20,37,25,25
"16",32,38,21,27,37,21,29,37,36,20,30,37,37,34,38,29,29,23,23,31,24,28,33,24,34,34,39,29,23,32,28,40,22,39,23,20,33,26,25,27,28,39,32,36,27,21,40,30,20,31,24,28,22,38,33,39,27,24,26,34,29,30,28,31,26,26,30,37,31,37,25,40,22,32,20,22,27
"17",38,26,32,39,38,33,40,26,28,40,36,20,23,35,22,36,21,38,36,25,24,28,23,29,34,37,27,34,27,25,27,23,40,32,38,36,25,35,28,22,37,20,25,23,34,22,21,40,24,33,28,26,38,26,29,28,29,22,40,26,33,20,28,38,23,27,34,22,29,39,34,21,34,25,32,21,36
"18",26,21,35,36,31,21,38,35,30,24,36,34,32,32,28,27,36,34,40,32,23,34,21,36,40,40,36,23,34,29,26,22,23,39,34,29,27,36,30,23,31,28,25,20,21,30,24,36,25,27,26,20,33,33,34,20,21,26,20,31,24,24,40,24,26,37,33,31,34,21,36,27,33,20,40,33,25
"19",22,38,20,30,22,34,25,23,26,23,39,35,20,25,37,33,25,33,28,25,38,40,32,25,22,26,36,37,27,36,21,28,37,31,35,28,36,33,32,24,34,38,33,22,22,23,22,33,32,26,32,40,28,21,37,25,25,27,24,33,26,39,23,23,28,36,26,23,35,28,34,23,20,22,39,40,27
"20",33,24,36,36,26,32,26,33,30,35,36,21,34,32,20,35,22,26,26,22,21,27,20,22,39,37,35,36,21,30,38,30,30,22,22,34,40,33,32,26,38,23,37,28,27,31,35,30,28,36,38,30,39,36,20,29,35,25,37,37,40,33,29,24,35,30,23,26,34,31,28,38,36,33,25,31,35
"21",20,29,32,37,26,37,27,22,33,30,29,23,23,26,22,37,21,30,27,30,22,21,40,28,34,38,22,34,33,26,26,24,39,31,38,22,34,21,23,36,30,35,37,27,38,32,39,26,30,23,32,38,21,26,28,38,38,26,26,27,34,31,26,26,32,38,20,40,37,36,25,35,29,38,23,31,36
"22",27,23,33,38,26,37,39,37,38,31,25,32,35,23,20,37,33,30,21,39,21,38,38,33,35,32,37,31,30,26,35,33,32,21,27,38,29,37,35,32,29,33,23,28,34,24,24,24,40,27,40,34,27,36,33,33,40,31,35,23,21,38,37,40,29,34,34,32,22,36,26,30,38,32,34,31,22
"23",29,25,22,36,20,28,24,35,33,24,22,30,21,37,35,32,36,31,35,35,39,25,40,37,23,39,35,33,30,29,39,30,37,28,26,29,36,33,25,33,36,35,33,20,24,31,39,35,38,20,35,31,24,32,31,20,24,21,25,37,28,26,32,36,22,35,20,31,31,39,36,24,36,38,22,20,27
"24",40,36,27,28,26,26,34,39,33,23,21,36,22,38,40,37,30,31,40,36,30,32,39,28,39,22,27,21,22,35,31,22,31,34,25,37,27,27,23,38,26,20,20,36,26,39,39,26,25,36,38,34,37,36,34,35,38,31,29,32,34,28,30,39,40,29,27,37,30,36,34,22,28,34,36,32,40
"25",23,36,31,37,37,35,21,27,33,24,27,40,35,31,21,38,27,30,32,33,36,22,21,30,29,37,22,26,30,29,36,36,34,30,38,28,37,38,38,35,21,33,21,40,40,23,30,35,22,37,31,21,29,33,27,31,30,20,37,28,37,36,29,32,37,31,34,20,28,34,30,20,24,25,31,38,39
"26",40,34,24,28,31,28,39,28,40,24,35,21,38,24,29,33,31,24,34,40,29,28,22,21,39,35,34,20,27,39,23,27,39,34,39,28,34,28,29,27,34,24,30,22,24,37,36,23,38,36,27,27,40,27,26,32,26,26,22,27,33,37,24,36,34,24,29,24,24,32,32,28,20,40,33,26,37
"27",30,34,40,40,25,34,26,23,22,26,29,30,35,36,38,34,23,32,32,24,23,40,39,29,22,37,27,33,30,38,37,38,21,32,36,28,23,27,24,36,27,35,37,29,24,37,24,28,24,30,38,36,27,28,33,30,39,28,36,33,37,31,29,38,27,26,20,38,38,20,39,39,22,22,34,22,25
"28",29,38,21,39,39,21,23,20,34,36,32,31,25,36,35,22,31,24,34,24,33,26,36,21,40,33,30,32,29,25,35,39,23,27,27,32,30,31,39,40,37,40,33,37,37,29,23,23,34,33,28,30,21,27,38,25,29,21,22,35,39,24,22,38,27,29,39,36,31,34,31,33,32,30,26,21,35
"29",31,34,25,38,40,28,36,20,35,34,27,24,39,28,29,33,29,23,33,37,28,38,29,21,30,33,24,23,28,29,34,38,34,40,27,38,36,26,34,33,20,38,32,33,40,25,37,39,21,29,25,34,25,36,22,34,32,25,27,25,21,33,38,36,36,33,26,20,39,29,23,27,22,29,38,40,35
"30",27,25,22,22,32,30,33,25,30,38,38,25,39,24,31,24,25,31,26,37,40,22,32,20,32,23,40,35,29,31,32,30,22,23,21,37,25,28,28,23,33,35,25,36,25,37,28,35,34,26,31,27,39,31,36,28,32,24,20,25,23,24,24,23,20,36,24,27,33,22,26,33,39,31,27,37,21
"31",31,27,24,32,32,32,23,22,37,32,21,20,32,32,34,29,23,25,32,23,31,33,29,32,29,39,22,21,38,34,38,29,26,36,25,26,35,39,23,35,35,20,31,25,34,29,23,30,30,35,30,24,27,26,39,27,26,36,31,20,29,24,33,37,20,40,30,36,20,37,22,37,26,31,28,33,30
"32",40,22,26,34,36,32,40,38,40,36,40,29,38,26,32,23,37,37,38,24,35,24,36,34,38,20,32,26,34,33,30,38,28,40,26,24,33,34,38,30,31,40,24,20,24,39,21,32,28,34,31,24,25,35,23,24,40,31,39,33,24,36,26,27,36,33,34,38,34,32,32,24,30,21,37,22,28
"33",28,31,35,34,31,38,39,32,23,33,32,27,30,24,39,39,21,40,36,24,24,22,29,26,28,20,26,25,36,23,30,39,40,35,25,33,37,25,33,38,25,27,35,32,29,39,38,28,27,35,40,35,36,33,22,28,38,22,32,37,29,27,31,37,22,20,28,24,33,31,31,30,26,25,29,23,30
"34",27,36,29,40,22,32,20,38,23,30,33,33,23,30,36,22,22,21,40,37,26,31,24,28,35,24,38,32,40,30,20,39,37,30,26,35,37,37,24,38,24,28,27,21,31,33,35,23,31,22,34,21,22,25,31,35,26,32,23,37,20,33,21,31,27,37,21,21,29,21,30,32,25,37,27,29,34
"35",29,26,36,22,25,37,27,32,36,26,31,24,32,39,21,25,29,33,32,32,20,23,26,29,38,38,35,28,36,36,20,29,25,39,40,21,25,38,37,21,21,21,37,27,30,32,22,30,25,38,33,35,21,27,20,29,32,38,28,25,35,37,32,34,24,30,28,37,22,27,39,20,36,27,37,31,28
"36",29,39,33,39,36,33,32,30,32,30,24,34,38,20,27,36,26,28,26,20,24,39,26,28,30,34,34,27,26,20,23,29,39,21,36,39,21,30,35,28,37,20,22,25,32,28,23,20,36,31,24,25,28,30,21,25,33,38,29,25,30,40,34,23,21,33,20,36,20,40,40,38,25,39,33,38,36
"37",39,27,31,29,32,35,34,28,34,29,28,27,36,21,38,23,21,36,29,28,23,39,28,31,35,34,28,35,22,34,38,21,39,28,37,34,26,32,34,37,38,20,40,24,23,23,30,20,37,36,34,20,32,29,26,26,31,34,20,25,39,35,20,24,26,31,21,31,38,40,21,29,23,35,34,37,39
"38",27,29,35,38,36,24,30,29,22,24,32,28,30,29,24,23,34,40,25,34,27,25,28,37,38,38,28,35,40,33,31,29,32,36,29,25,21,22,38,31,24,33,26,38,38,38,21,28,23,34,31,27,27,28,25,38,39,34,29,36,21,21,36,25,26,20,27,40,40,37,40,28,28,26,40,38,37
"39",24,35,37,33,22,40,40,40,31,24,22,29,37,33,38,30,38,27,23,29,30,20,36,29,25,21,20,40,28,29,31,20,24,27,20,30,23,29,23,32,27,31,26,38,34,20,40,21,34,40,28,31,35,37,23,36,32,36,40,29,33,32,23,38,33,22,25,38,26,39,26,23,24,23,21,24,39
"40",24,40,20,35,27,34,26,24,27,33,28,20,28,20,30,21,26,21,23,29,36,24,34,21,27,40,37,39,26,29,29,33,34,26,22,34,38,35,37,22,29,27,35,38,32,38,27,30,24,21,37,36,30,30,20,40,37,31,23,28,33,40,27,30,28,38,37,39,31,29,36,33,25,27,37,23,35
"41",36,36,24,26,20,40,24,27,26,35,29,36,39,33,40,29,34,35,32,36,30,20,34,26,20,38,27,32,27,37,27,39,25,30,40,24,20,35,22,37,22,28,36,39,22,25,34,31,26,25,35,39,30,28,30,21,36,39,27,40,28,28,34,30,34,34,21,30,31,39,23,27,33,28,37,36,24
"42",34,34,21,25,31,22,40,20,39,24,22,30,22,26,35,39,37,23,24,36,34,31,24,32,37,34,31,34,25,35,40,30,35,35,23,37,24,32,31,20,33,22,27,27,23,23,36,34,36,30,31,34,32,34,34,24,34,40,25,33,35,26,22,33,40,23,35,28,23,30,23,26,30,37,21,20,20
"43",31,35,35,20,26,24,31,36,27,21,38,30,39,20,29,30,35,27,36,25,23,26,28,32,33,23,30,35,25,27,31,31,31,29,36,21,38,40,27,33,21,33,24,28,31,30,37,21,33,38,22,23,32,25,39,26,20,38,33,27,27,28,24,27,39,39,27,35,20,28,38,24,32,38,40,22,33
