"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",1812,972,1181,2253,2122,1442,1439,953,1076,1863,1300,1413,1817,982,1418,2249,1126,2117,2200,1879
"2",2247,1133,2196,809,1613,1144,1242,957,1410,1393,1314,853,1759,980,1323,2038,1892,2234,1491,1747
"3",1933,1586,1570,1258,2395,1006,2291,1212,2170,1888,1789,1926,1776,1300,1199,2251,2320,1299,2358,1956
"4",1078,1262,2101,1704,1054,829,1379,2272,934,804,2042,2014,1299,2118,1136,1394,2313,2298,1216,2302
"5",1165,2038,842,1289,1739,1791,2179,1441,1280,1391,1493,1570,1193,1970,2120,1344,1983,1040,1485,1221
"6",1870,2373,1649,1419,860,1279,857,1201,1293,2155,1390,1094,1485,1945,1256,1051,2322,954,1648,2242
"7",1333,2244,953,2249,1217,1237,1438,1023,1338,1709,2211,1732,957,2089,1287,1057,2164,2361,1579,1005
"8",1815,1668,2208,1171,1673,1682,1504,2171,2008,964,1245,1481,1168,1574,2103,1865,2102,1294,2319,2399
"9",1962,1643,1966,1562,1100,1482,2399,1344,2377,1268,1980,2163,1210,2159,2160,2171,830,1142,2074,2253
"10",1287,1062,1515,1022,2311,1586,1222,1934,1310,2185,2046,1508,1592,1245,2098,914,2121,2026,2337,2054
"11",1058,1546,2240,1277,1971,2302,896,824,2315,1919,1338,2196,958,2026,1104,1833,1023,1727,1455,2263
"12",2026,1396,2008,1226,1796,1336,1658,935,810,1459,2168,1154,1874,1369,2036,2142,1706,1019,1789,2284
"13",1362,1069,1344,1618,1355,1258,1968,1787,2013,1277,907,1925,1438,1629,2237,806,1009,2378,2102,1712
"14",1680,2025,802,2186,2061,1927,1452,2283,1484,1812,1554,1789,1500,2397,903,1542,1516,1449,956,1647
"15",2301,862,1213,2021,2378,2166,1043,2323,1706,1553,2176,1498,2225,1076,1337,979,1054,952,1189,1538
"16",1763,2024,1754,1297,1665,2020,1827,974,2104,831,1669,1819,1749,1471,935,1815,1683,2358,2148,962
"17",1904,2169,2345,2399,2045,2353,1169,2200,899,2386,1019,1623,2266,1986,1745,1531,807,1498,1457,903
"18",1020,1913,834,868,1140,2349,1331,1876,1260,999,1846,1444,1567,1357,1278,1657,819,1134,2249,2192
"19",874,1339,1935,2043,2301,1040,831,1200,1277,2205,1438,1229,2032,1082,1382,1203,2252,1322,1384,1721
"20",2037,1167,2052,1367,2032,1880,1827,2310,1617,836,2338,2317,1990,1949,2131,2397,973,867,2334,840
