"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",31,33,19,9,14,13,30,27,11,31,29,20,26,12,16,14,29,15,23,21
"2",10,29,15,32,17,35,31,16,5,23,11,25,6,34,21,26,6,18,29,18
"3",9,8,27,17,10,35,27,15,35,28,8,23,8,12,34,6,13,30,31,12
"4",21,33,17,11,16,17,7,34,12,26,32,29,5,26,21,28,23,34,7,20
"5",20,22,13,26,14,5,29,23,18,14,13,28,27,5,25,17,30,29,28,30
"6",26,11,12,15,13,20,24,25,8,18,29,22,16,19,22,31,24,20,18,29
"7",22,17,30,24,12,32,18,6,12,32,12,25,16,15,25,33,9,10,26,6
"8",8,22,15,28,33,15,31,27,8,34,28,22,10,20,34,16,13,17,25,11
"9",28,21,12,25,12,30,7,6,20,10,16,17,20,10,23,5,11,18,21,14
"10",20,12,17,5,11,15,23,35,35,17,5,12,25,12,11,21,5,19,13,31
"11",35,24,11,25,20,28,24,20,34,31,7,22,34,35,24,14,24,11,5,32
"12",18,21,19,9,32,34,10,25,10,19,16,30,20,5,25,26,22,13,31,12
"13",11,32,25,18,27,17,21,29,24,27,20,20,34,31,35,8,18,29,5,21
"14",13,27,12,14,15,7,32,20,19,29,35,26,8,32,31,7,15,21,6,23
"15",14,29,31,29,27,29,21,8,20,14,35,7,32,7,5,12,17,23,20,14
"16",33,34,6,31,35,26,13,29,26,11,31,32,26,35,8,28,6,21,29,6
"17",22,21,8,17,6,14,20,31,32,30,24,6,15,27,25,20,23,15,35,35
"18",6,17,9,35,9,22,5,32,34,12,22,31,34,29,11,33,30,28,24,5
"19",29,10,7,8,12,24,10,7,18,19,17,9,32,13,11,5,15,9,8,14
"20",18,20,31,27,23,12,14,23,27,19,5,16,16,26,32,6,32,6,8,29
