"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95"
"1",17,33,45,34,31,28,31,27,22,44,40,16,31,36,15,34,35,43,31,40,42,45,25,19,32,35,32,23,42,42,27,19,30,16,41,28,29,22,45,20,36,32,45,24,32,45,24,37,31,21,31,43,34,42,18,27,44,34,38,40,32,23,36,36,43,35,15,29,31,40,19,37,35,38,32,21,44,40,26,23,28,37,28,16,19,15,44,23,27,15,39,40,17,30,36
"2",27,16,38,17,39,21,25,38,20,35,23,42,36,42,35,36,25,40,16,25,31,25,35,45,25,36,22,18,33,29,26,21,25,23,34,31,27,30,26,15,35,43,21,24,28,20,23,29,28,32,33,22,40,30,44,39,27,15,40,34,43,30,22,18,45,17,30,17,24,43,26,28,31,23,39,43,24,15,26,24,45,36,31,26,37,33,24,26,34,32,16,27,34,45,26
"3",37,31,40,18,44,26,41,16,35,27,41,19,20,21,28,29,16,41,28,44,39,15,25,37,18,33,20,32,30,32,40,16,27,26,34,42,42,21,28,15,18,32,45,45,30,24,28,15,37,23,15,15,23,22,45,43,30,33,15,31,40,27,34,26,39,40,42,21,24,20,20,24,35,26,25,27,24,21,27,36,21,38,42,45,37,34,38,32,22,17,30,40,28,43,26
"4",33,16,19,26,40,35,23,23,32,42,43,16,43,16,42,28,43,22,27,44,27,29,42,18,33,45,24,33,44,44,21,38,37,31,40,21,15,35,19,22,22,27,39,21,40,34,22,16,34,33,32,15,39,25,35,36,42,36,16,39,44,41,32,40,17,37,35,29,25,36,27,30,23,26,26,31,42,44,32,36,34,42,18,39,33,38,23,22,19,43,31,23,20,33,40
"5",40,23,40,16,25,38,31,16,45,26,35,27,42,33,26,25,31,36,19,44,25,26,35,40,30,41,43,27,35,20,43,38,42,21,27,18,25,19,39,38,32,18,27,36,16,16,29,21,19,34,32,15,45,29,15,31,45,39,15,33,15,21,34,43,27,38,34,31,35,36,26,34,35,15,18,43,21,19,36,18,23,39,28,25,18,45,39,33,39,45,15,29,39,39,43
"6",29,29,32,37,38,42,28,30,34,33,33,27,16,28,30,33,37,19,31,41,44,20,42,24,30,16,44,43,39,17,35,15,22,44,17,23,28,21,28,38,32,41,16,43,19,38,25,33,16,15,28,26,42,37,34,22,44,18,27,19,22,18,31,33,15,18,44,43,44,44,39,22,45,32,33,25,26,38,44,22,17,34,43,19,39,15,24,24,18,40,24,23,15,27,36
"7",44,22,34,45,19,23,17,37,41,21,32,44,30,18,39,18,38,18,39,24,19,16,38,40,30,44,36,25,35,30,43,20,34,43,28,45,45,26,22,29,23,45,31,37,20,26,41,33,45,39,43,29,30,32,24,44,35,19,35,45,43,30,22,21,34,19,36,28,24,30,33,41,26,37,28,22,42,15,28,26,37,29,28,22,20,22,32,42,24,21,16,25,16,17,34
"8",32,26,20,38,39,22,18,34,41,35,22,34,16,42,40,16,33,26,34,34,32,40,33,42,39,43,28,22,28,43,34,43,23,30,35,32,33,45,24,43,21,25,45,33,18,39,25,26,17,41,44,36,17,31,32,30,23,35,16,43,32,18,43,26,22,39,24,37,26,19,25,30,33,44,21,21,33,28,19,38,39,18,24,21,22,24,15,30,25,29,19,17,22,16,43
"9",35,24,38,31,15,17,26,37,38,34,24,33,29,21,24,23,38,17,37,35,38,31,26,31,38,32,28,30,29,28,38,39,43,25,45,30,27,38,16,37,29,37,23,42,27,19,41,45,29,15,19,23,36,41,28,19,42,35,20,21,34,38,19,42,45,18,19,33,44,31,16,45,18,23,15,43,40,18,19,17,30,21,21,24,38,34,16,26,28,45,32,16,23,36,19
"10",29,32,41,32,17,37,40,23,32,29,45,45,34,40,40,36,23,40,33,30,22,15,44,39,33,35,27,16,33,26,36,26,38,41,43,29,15,36,16,40,32,30,27,15,25,41,19,40,39,33,15,43,36,15,17,39,28,35,17,35,30,20,20,40,39,36,40,22,41,21,17,31,42,29,26,40,38,19,39,28,17,36,25,29,15,45,35,29,27,35,25,24,17,22,38
"11",36,32,25,33,41,30,33,41,21,22,16,36,27,44,24,26,23,29,41,21,23,43,15,29,25,38,15,41,34,33,44,32,18,24,18,22,31,33,45,41,40,25,18,45,30,24,22,24,33,30,22,17,32,18,24,45,38,23,44,23,26,24,30,19,36,39,31,41,15,41,34,42,16,19,26,15,20,15,45,19,39,30,20,22,37,31,41,35,22,33,43,33,23,35,27
"12",37,25,41,24,16,17,19,27,43,44,27,30,23,29,15,32,44,27,38,39,31,17,30,15,40,39,27,43,20,23,35,43,18,45,26,16,17,26,29,24,18,21,36,31,36,17,44,31,17,20,29,20,34,44,41,23,22,25,18,23,45,18,16,36,35,31,36,45,15,30,29,16,40,34,33,17,42,21,18,29,27,40,22,40,41,34,35,31,29,37,23,17,38,28,31
"13",33,29,19,19,36,32,17,40,30,18,38,28,29,27,24,18,21,32,17,24,36,22,27,34,21,16,36,35,43,27,32,36,35,26,39,38,42,25,23,42,30,34,35,36,37,40,40,26,45,22,28,21,17,33,15,24,18,29,41,35,36,36,24,38,28,39,32,16,24,45,43,41,32,37,44,19,21,45,29,18,24,26,20,29,35,29,30,45,24,35,39,44,42,25,27
"14",32,40,24,17,20,19,20,25,32,39,39,32,33,28,30,29,33,28,23,45,23,16,33,33,42,37,44,31,44,41,26,37,39,22,45,44,42,15,43,23,36,31,33,42,26,27,22,17,26,37,26,44,18,23,44,28,35,18,41,22,38,19,16,41,41,45,31,30,39,42,43,25,25,26,33,32,41,16,20,15,17,27,26,43,31,44,41,44,20,45,15,25,30,30,27
"15",29,45,31,20,29,25,44,19,17,42,31,36,27,33,24,19,18,23,27,27,26,31,24,41,21,15,32,39,24,41,24,16,19,32,29,39,15,37,34,20,26,17,43,38,38,40,17,27,34,38,32,35,22,23,17,36,17,45,17,29,39,20,23,26,36,24,45,17,37,35,19,38,16,27,36,35,44,17,44,28,18,26,15,41,44,42,17,28,41,28,23,30,20,32,23
"16",21,29,43,25,42,26,22,19,35,39,29,28,28,21,41,21,41,42,24,26,22,23,24,43,34,20,37,27,37,26,36,41,37,45,15,22,32,41,23,38,45,35,29,20,23,17,30,40,41,40,40,42,42,32,41,28,20,17,18,18,28,42,21,44,35,23,33,39,40,35,16,33,26,28,25,44,44,36,29,17,39,42,24,45,36,40,40,29,24,35,41,44,44,24,17
"17",26,29,40,16,21,29,28,40,41,33,28,17,42,26,33,22,43,38,15,32,43,38,30,45,17,35,32,22,35,32,34,40,31,44,24,22,42,39,36,44,45,30,26,43,43,40,32,25,21,33,20,38,32,21,29,29,41,30,17,18,36,25,29,17,33,24,35,42,43,28,28,16,17,15,41,44,36,42,29,34,27,33,22,17,23,37,38,32,45,41,39,37,19,33,33
"18",39,41,15,41,38,31,23,26,30,17,28,42,24,28,22,44,39,24,20,19,16,26,43,18,22,31,31,41,39,42,34,29,21,18,28,15,28,30,36,26,32,22,33,30,23,45,25,26,27,25,16,38,25,16,45,15,24,21,18,45,33,41,35,32,18,18,42,23,21,41,39,20,23,37,38,35,44,30,36,31,35,20,40,25,16,23,28,32,44,43,43,31,27,34,19
"19",20,32,23,42,34,29,18,35,19,45,17,37,19,31,33,19,34,43,42,27,27,32,21,24,36,26,34,30,43,44,30,24,34,43,31,42,29,20,38,19,26,21,30,16,27,38,18,29,19,16,40,39,30,40,41,26,25,30,29,26,43,38,40,31,24,39,45,29,42,16,38,17,26,24,38,15,16,38,35,33,39,17,25,28,25,41,34,15,15,15,31,37,26,42,29
"20",15,36,27,15,38,24,27,28,26,30,23,39,16,35,30,33,28,15,38,27,43,39,22,25,33,41,32,18,44,29,40,27,28,29,38,44,45,44,19,36,41,34,29,32,42,27,23,45,23,42,15,33,24,41,25,39,29,26,36,20,41,18,32,45,40,29,19,33,22,37,43,16,17,21,21,22,29,41,33,41,17,19,22,34,35,22,38,22,26,45,25,28,44,28,42
"21",35,44,17,42,27,37,24,15,40,15,36,40,43,18,36,26,26,24,42,45,24,32,25,35,21,39,36,31,45,29,28,26,28,19,21,19,36,42,36,41,20,22,18,27,30,35,16,25,41,32,40,19,40,25,30,32,19,36,24,44,32,22,44,20,41,19,33,43,33,39,20,24,25,45,39,20,21,25,40,27,22,34,26,19,40,20,31,20,29,22,37,22,34,41,33
