"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77"
"1",11,29,53,7,7,35,33,18,20,14,7,24,52,50,49,53,22,53,44,42,48,37,24,32,28,6,14,30,50,11,23,51,31,30,38,39,39,25,54,52,11,48,49,47,41,28,8,46,39,24,33,6,28,48,8,47,34,34,25,26,52,32,9,5,52,12,32,39,16,31,9,51,47,19,42,15,23
"2",54,49,44,13,12,10,55,10,51,45,31,38,18,23,8,35,51,26,11,28,6,6,44,51,31,48,55,9,35,16,54,10,36,22,5,43,24,9,32,37,26,11,38,20,5,30,26,51,17,24,28,10,31,34,5,23,23,23,22,8,14,36,46,5,17,11,6,15,38,23,32,19,39,21,32,18,48
"3",44,38,10,7,14,42,23,20,36,21,46,14,48,20,55,42,17,32,7,25,27,38,37,44,37,21,48,10,53,21,37,38,52,27,12,43,41,33,21,22,54,47,37,41,11,31,30,51,49,55,28,50,22,32,11,26,31,20,39,7,32,19,33,52,39,21,40,41,51,8,9,30,42,43,30,34,41
"4",55,51,28,9,48,15,29,27,40,34,45,33,10,29,55,18,38,33,15,53,45,22,22,22,38,39,34,43,24,49,38,10,44,44,9,7,6,22,5,19,14,28,10,42,18,40,53,33,12,35,25,35,36,18,25,39,55,50,8,41,33,54,13,17,53,23,13,41,30,5,54,14,37,16,25,21,44
"5",29,39,10,52,13,47,21,29,36,51,52,17,34,32,18,52,48,11,21,8,11,21,5,29,52,39,44,48,46,55,46,14,9,10,29,12,13,24,25,15,11,48,37,17,44,20,47,42,11,8,37,28,27,33,5,5,40,7,30,15,37,37,31,7,20,49,7,32,15,54,11,46,5,20,13,30,54
"6",27,48,9,35,31,40,7,53,54,9,5,24,15,52,26,14,48,43,10,27,21,16,50,29,7,53,42,6,44,23,28,13,25,36,12,10,53,19,31,37,31,17,26,28,44,54,11,38,24,52,21,27,5,10,31,53,41,35,40,37,50,8,28,51,36,24,42,26,43,43,19,48,39,21,9,53,17
"7",51,33,26,17,38,20,5,24,25,48,52,54,47,19,51,39,43,20,48,18,34,26,44,33,17,43,22,11,37,50,36,9,22,48,35,45,27,38,51,54,5,49,33,12,53,29,53,24,8,13,55,45,31,35,38,43,30,9,55,38,10,50,17,47,54,15,40,40,25,34,21,51,17,12,14,15,24
"8",6,38,40,17,39,19,38,23,44,24,23,21,24,27,8,32,16,41,44,37,14,28,38,41,32,16,50,52,49,45,17,19,25,36,54,35,46,21,38,38,46,25,44,22,48,11,35,17,19,55,50,13,13,53,41,45,38,10,9,50,36,13,6,27,41,43,53,46,39,53,52,21,42,53,29,19,12
"9",46,10,11,31,31,16,25,13,15,26,31,38,52,38,5,25,35,19,41,14,37,39,19,10,24,8,39,49,39,51,48,19,26,47,40,52,28,36,29,37,50,36,44,35,18,45,54,16,30,45,10,28,19,21,36,53,42,30,32,20,22,52,43,42,5,31,21,33,48,26,32,39,32,39,51,23,30
"10",40,41,45,5,10,32,36,55,13,50,14,48,21,51,16,43,36,24,5,45,55,9,31,37,17,36,41,55,37,31,14,51,55,44,13,10,50,9,41,26,54,44,45,22,29,32,21,42,19,21,17,23,37,46,46,11,43,13,35,30,37,9,31,37,16,46,55,36,52,52,8,45,50,13,47,31,7
"11",11,10,55,50,25,49,5,55,18,5,38,50,23,6,45,7,6,28,40,50,26,21,30,29,25,17,48,32,33,22,50,17,51,26,47,40,52,10,30,6,27,28,48,36,44,5,45,45,44,20,8,12,43,13,34,38,6,50,55,53,12,10,35,49,53,17,6,47,28,15,34,30,40,20,24,28,48
"12",16,43,55,11,53,31,47,40,53,11,28,54,31,5,27,31,21,16,55,11,16,25,35,51,28,41,10,31,19,21,51,22,21,49,38,37,26,47,53,54,53,46,34,13,6,28,50,8,45,44,47,21,37,42,21,36,43,50,47,22,47,40,40,30,15,9,26,28,47,6,33,45,35,33,46,18,39
"13",41,18,32,45,7,17,32,20,28,7,32,51,10,41,51,45,19,53,17,36,17,17,43,7,9,34,9,50,45,29,32,14,34,47,48,18,7,13,38,36,22,6,32,54,20,8,34,48,47,49,26,34,34,48,33,14,31,19,47,12,36,15,6,9,30,23,12,43,51,5,20,47,12,50,22,34,41
"14",34,11,47,33,22,22,50,45,31,39,17,33,50,27,8,5,18,52,17,47,17,47,16,18,20,32,38,37,10,49,43,50,20,40,55,44,32,45,46,48,49,45,17,40,47,35,46,53,52,47,40,52,52,21,51,17,32,11,8,31,46,41,46,18,30,52,17,7,49,51,17,36,18,47,40,40,45
"15",19,15,21,55,11,26,51,41,50,42,49,48,29,38,46,15,28,39,11,53,44,29,38,54,26,32,33,48,31,17,23,8,48,42,40,52,46,20,8,46,24,45,47,47,20,38,30,15,16,22,16,13,40,20,15,36,20,48,34,44,41,44,44,51,28,39,38,27,5,25,51,30,41,18,27,24,53
"16",55,8,21,49,11,42,18,51,37,6,9,39,43,31,36,29,8,49,41,48,40,25,31,52,50,16,5,35,39,54,53,41,49,35,11,54,39,20,23,19,15,34,14,9,40,44,5,44,16,50,47,7,16,14,10,35,5,40,16,39,5,52,39,29,46,19,35,54,19,10,28,40,7,13,27,39,52
"17",37,37,45,39,27,23,39,49,48,53,51,53,46,33,27,50,15,19,41,15,45,13,11,29,25,48,18,35,18,7,44,19,14,51,29,19,13,44,39,32,22,31,39,22,55,31,53,29,54,43,36,55,26,54,50,38,34,24,49,25,10,8,43,7,45,46,33,35,19,34,11,6,7,6,45,26,37
"18",36,11,18,55,19,6,39,55,7,36,38,5,16,10,7,14,17,16,26,26,17,26,48,54,53,21,5,20,25,32,47,33,38,6,40,18,53,32,53,36,36,6,40,11,51,6,50,24,35,40,16,15,42,41,6,26,24,29,39,23,23,36,16,46,41,52,53,29,6,34,31,33,44,7,40,55,6
"19",52,9,27,11,17,46,27,20,8,48,49,6,22,42,16,18,23,42,45,44,42,17,19,5,44,22,36,10,18,6,10,43,14,7,34,39,13,21,5,39,37,49,50,52,47,19,50,11,32,35,26,7,17,5,11,8,33,20,34,52,37,22,26,29,46,47,8,48,21,26,13,6,44,49,35,48,10
"20",23,5,10,22,14,47,29,17,6,12,51,44,27,54,12,28,16,22,34,13,36,13,47,55,14,24,45,24,48,15,25,12,8,15,19,49,7,17,22,42,26,11,5,11,14,53,13,7,55,17,43,25,24,25,17,13,31,19,23,16,47,17,29,8,9,46,28,37,36,51,11,54,7,12,38,33,24
"21",8,28,10,39,44,37,13,21,12,7,6,41,49,44,42,38,37,11,47,27,49,46,21,32,51,28,54,42,10,42,49,48,37,11,48,12,32,13,19,31,30,41,29,49,25,41,38,14,45,11,13,17,28,31,15,19,12,54,55,20,35,20,23,10,11,22,39,15,53,49,15,17,51,46,16,43,40
"22",19,30,42,30,40,19,28,36,26,32,30,9,44,49,18,10,11,51,10,21,53,36,49,11,11,16,44,32,19,29,50,13,50,44,29,45,30,6,41,42,42,11,9,46,41,22,38,11,30,21,53,52,49,5,53,40,32,22,27,29,48,33,45,31,41,34,44,35,8,39,32,9,9,34,35,45,23
"23",27,47,27,31,50,11,20,35,11,16,18,52,5,19,36,38,21,7,50,34,31,39,48,5,5,37,44,15,44,13,52,25,13,14,15,29,40,46,32,7,46,16,47,44,40,45,29,45,20,7,16,17,6,54,6,19,18,28,5,51,7,15,10,10,6,50,7,38,54,14,46,47,29,28,30,15,6
"24",48,9,51,23,26,26,51,28,32,31,16,27,44,54,33,19,30,29,39,52,39,11,18,40,44,15,34,51,33,50,40,27,48,40,54,38,33,47,25,38,16,34,39,25,29,5,30,55,11,41,47,45,53,42,8,12,48,7,27,52,17,38,29,26,25,18,53,48,16,11,52,52,51,5,23,50,35
"25",13,42,11,28,11,15,40,6,29,49,15,14,31,21,46,55,39,31,30,52,6,41,52,44,24,52,9,6,17,33,24,52,51,20,12,32,39,36,53,42,32,45,6,46,21,16,51,42,51,45,24,24,18,12,9,32,19,22,7,14,22,35,35,25,51,19,9,45,30,19,53,26,32,8,52,26,32
"26",8,24,40,54,21,36,10,24,37,25,10,39,36,46,47,52,55,53,7,23,7,13,23,39,21,22,19,29,53,47,55,54,25,45,32,19,27,36,11,21,16,28,25,13,30,19,45,41,33,5,13,32,41,15,39,52,38,10,18,34,36,47,54,10,11,7,27,30,24,35,9,52,25,42,42,44,48
"27",26,17,41,18,30,11,37,20,40,30,18,18,27,44,26,23,36,47,37,7,45,45,30,38,53,49,51,14,53,33,39,35,16,52,44,11,20,32,14,55,14,36,42,5,46,11,53,19,28,8,15,44,49,17,21,13,37,13,44,20,47,55,29,15,16,14,6,7,14,21,27,11,39,47,52,8,16
"28",15,18,26,29,36,29,18,7,12,52,30,31,14,27,54,15,48,18,55,28,23,20,12,41,25,47,22,46,18,47,22,18,41,20,9,19,51,46,53,32,21,6,40,43,51,17,18,14,33,21,38,55,24,47,36,18,28,27,28,18,40,13,54,7,22,24,30,16,5,31,48,19,10,14,13,49,13
"29",37,48,23,46,21,12,44,49,12,6,9,14,29,32,50,37,23,21,32,39,29,7,19,46,43,34,12,23,6,37,21,50,40,18,42,44,40,50,36,52,35,48,45,14,51,22,29,25,32,42,22,20,48,52,20,35,44,18,8,26,55,14,42,41,54,39,20,30,12,36,10,37,25,9,16,20,21
"30",26,26,9,15,53,35,26,12,43,53,49,55,15,31,23,54,22,47,34,44,16,25,41,7,16,26,28,15,47,40,15,40,31,50,28,41,6,52,55,49,53,25,21,14,26,21,20,37,31,36,45,7,6,40,40,36,6,35,51,53,55,52,40,12,33,16,45,52,28,5,53,21,40,41,22,39,6
"31",47,24,45,49,21,37,47,51,18,23,9,27,26,28,37,14,37,17,46,13,50,6,48,13,44,52,27,41,29,29,38,5,37,49,28,52,21,41,30,30,32,20,19,23,16,48,46,47,48,8,38,30,18,55,34,25,24,17,40,34,33,33,14,51,13,31,8,42,6,33,51,44,9,34,29,34,45
"32",6,48,54,45,10,40,39,10,20,17,47,23,55,48,45,17,48,15,22,14,10,29,6,44,30,54,9,23,33,41,5,32,17,17,51,23,34,26,34,19,51,33,46,33,25,38,21,29,16,29,47,20,50,35,49,30,47,15,41,44,42,52,44,8,14,49,15,17,19,45,25,53,52,9,19,35,19
"33",37,52,31,44,36,22,8,11,22,21,5,27,39,40,29,5,30,38,35,25,29,41,28,28,17,44,53,31,37,22,52,32,25,20,9,43,10,13,5,37,26,25,48,6,10,14,38,53,24,39,14,54,37,20,35,9,41,52,22,23,19,17,29,13,10,9,34,22,6,9,20,48,53,20,22,39,52
"34",51,14,48,5,8,31,21,51,38,8,44,18,40,12,12,55,15,23,17,48,9,34,26,44,17,26,49,53,42,36,14,12,50,41,13,17,17,19,16,28,35,32,49,6,23,36,18,38,36,10,18,38,10,17,42,10,54,11,16,54,18,28,29,7,11,55,6,32,32,21,55,44,26,15,30,37,23
"35",48,54,33,25,22,19,22,23,35,29,15,22,11,15,41,40,10,31,20,34,27,19,46,43,33,6,41,28,49,8,16,50,11,44,25,54,40,10,5,10,36,35,19,9,53,39,55,28,14,55,55,45,13,15,49,15,22,28,50,18,52,38,10,45,13,37,13,47,48,18,5,39,44,20,33,54,50
"36",25,16,27,7,44,40,14,28,46,35,32,28,41,27,30,44,32,52,45,15,28,24,30,39,6,17,17,39,54,43,23,15,52,39,6,20,22,26,20,46,16,17,55,23,9,27,11,8,5,23,17,44,18,9,34,45,16,12,41,23,28,9,47,39,41,51,6,13,20,22,16,22,5,29,25,24,50
