"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
"1",28,22,14,9,17,11,11,19,34,33,34,33,12,35,22,15,35,6,35,6,15,14,9,6,34,30,11,15,6,27,17,13,27,26,35,12,20,25,11,34,11,28,26,21,32,29,32,8,29,24,20,25,16,10,33,32,33,30,33,22,14,32,10,25,20,18,7,17,32,6,29,34,30,15,22,12,32,9,17,33
"2",13,11,18,19,32,6,7,23,14,20,25,9,19,10,33,6,21,28,21,7,21,6,7,26,23,27,16,31,19,26,23,25,7,20,7,5,15,25,8,10,27,14,21,20,10,28,9,35,11,29,9,11,29,23,16,25,7,24,10,19,6,31,17,24,8,12,15,18,18,5,9,7,29,24,7,12,20,10,27,21
"3",8,9,32,29,19,26,26,20,34,11,6,5,35,12,35,33,6,27,19,29,11,13,18,6,16,9,18,15,7,6,23,33,20,35,32,13,25,21,10,20,19,19,9,8,32,7,22,19,24,9,35,20,29,9,27,20,23,24,29,15,11,5,24,28,9,33,5,29,24,32,23,29,9,29,6,14,12,30,27,17
"4",19,24,9,32,28,29,23,29,31,11,30,26,33,22,10,34,33,12,27,25,22,30,35,30,19,30,11,9,18,8,18,10,24,8,26,33,33,6,10,20,10,35,35,32,25,5,28,14,24,16,12,34,34,32,6,31,28,32,26,11,31,21,34,35,16,17,22,17,8,14,23,26,5,9,11,14,12,22,13,14
"5",12,35,13,35,17,16,7,16,24,17,22,31,7,13,16,7,19,5,12,27,7,5,12,7,10,25,29,19,6,7,35,16,32,10,31,16,12,28,16,22,5,15,24,26,17,33,11,32,17,21,25,22,28,21,32,18,16,9,5,29,19,6,7,19,26,29,28,35,35,11,25,11,16,24,15,8,22,27,27,34
"6",5,28,29,33,15,18,33,7,11,21,35,26,19,31,33,18,12,18,9,9,7,23,25,19,18,18,32,12,28,32,27,33,19,35,7,34,28,26,16,6,13,23,5,14,29,32,15,5,24,6,24,18,11,23,5,34,24,26,12,5,35,13,12,8,8,24,32,30,33,35,9,21,23,22,7,12,34,26,30,28
"7",18,14,25,15,22,32,27,11,13,30,13,24,16,16,33,11,25,29,19,19,30,15,12,22,24,20,35,21,25,26,27,9,9,17,13,20,29,18,17,26,31,5,10,30,31,9,34,12,20,30,14,12,35,14,29,22,20,11,28,9,23,12,12,21,20,19,33,18,8,29,34,6,19,11,33,8,9,12,32,13
"8",13,7,7,17,17,24,21,18,27,28,35,20,21,13,15,9,30,21,20,18,23,12,10,34,30,23,12,28,5,27,32,16,26,14,16,14,11,13,31,35,12,11,22,16,27,5,29,15,32,26,34,11,33,9,7,11,13,8,32,35,30,33,5,12,15,17,17,5,12,17,24,33,5,9,17,6,31,24,15,28
"9",15,6,16,10,9,18,27,30,16,10,25,31,20,23,20,19,34,34,6,10,25,6,13,21,25,31,15,35,32,8,29,10,22,7,27,17,21,9,10,29,24,35,23,30,17,23,8,30,18,34,34,8,7,24,14,18,13,31,10,16,16,20,18,31,29,30,23,9,30,18,13,14,10,23,9,22,9,14,10,31
"10",17,11,9,5,29,22,21,19,20,13,6,11,21,16,10,32,21,28,6,20,7,12,29,16,7,9,15,23,7,12,14,7,16,17,19,32,27,13,30,13,33,21,29,20,33,27,16,12,33,19,8,35,33,25,21,32,22,20,27,12,20,20,26,31,17,14,16,20,15,6,7,20,20,30,16,29,33,33,30,19
"11",22,24,5,18,34,7,25,21,18,11,33,26,26,12,10,13,11,33,34,17,15,17,18,9,35,5,8,31,13,31,8,28,31,13,26,7,20,32,35,11,17,13,21,29,18,15,33,14,5,31,8,21,11,27,15,8,13,6,12,19,27,26,20,25,34,32,26,6,8,35,19,23,27,22,24,11,25,7,13,14
"12",24,16,23,15,22,6,10,9,15,27,30,28,28,11,32,20,25,29,6,17,17,17,35,11,31,10,21,11,31,14,8,25,7,33,10,24,19,34,20,35,29,24,16,31,12,34,35,22,22,35,11,11,11,20,17,15,20,16,21,33,15,12,18,28,8,24,28,18,14,6,19,14,7,29,14,15,12,23,30,8
"13",32,23,16,25,8,10,12,6,34,5,22,16,8,20,34,23,33,28,24,13,19,5,17,32,22,25,26,12,31,17,20,17,29,13,27,14,16,11,5,6,8,9,13,16,25,23,28,29,6,31,30,30,12,32,16,26,31,5,32,8,30,10,9,23,17,9,28,34,27,26,6,14,19,13,18,30,11,34,34,15
"14",34,26,21,18,33,22,6,35,21,29,12,13,10,7,15,28,25,8,27,29,15,22,9,18,16,12,16,11,23,32,27,6,25,30,25,28,16,30,19,22,32,28,10,15,20,16,34,29,17,12,26,7,18,5,32,16,17,9,30,12,20,9,12,11,19,25,31,13,5,27,24,31,25,9,23,23,31,12,16,26
"15",17,32,20,5,30,11,18,12,25,20,8,14,13,33,16,35,17,10,34,24,5,29,23,17,16,23,16,22,27,11,23,9,21,19,30,31,5,14,20,25,7,23,12,16,26,22,17,28,11,23,7,30,10,17,23,23,12,19,11,31,28,8,10,9,34,16,35,12,6,15,10,24,24,35,8,29,15,14,30,25
"16",32,22,26,16,21,9,32,21,8,13,24,8,13,12,5,31,29,9,17,9,28,18,29,7,10,24,31,33,12,11,23,31,17,28,34,26,8,18,21,17,35,6,23,22,30,11,29,22,11,13,29,31,23,15,35,21,20,26,32,34,5,31,22,31,11,5,10,15,18,30,18,5,19,29,5,6,35,34,10,30
"17",15,27,16,21,7,18,31,10,32,13,33,22,23,5,13,28,16,28,12,34,12,32,6,12,6,23,18,33,26,8,31,14,25,19,20,34,31,26,23,13,6,12,33,20,22,34,29,9,12,30,8,35,19,19,20,14,17,8,33,34,25,13,5,14,20,14,15,29,26,7,18,28,30,10,32,30,12,8,17,22
"18",29,9,23,8,12,11,16,27,11,15,23,5,7,35,10,23,35,20,26,25,31,27,7,33,21,7,6,30,34,6,34,31,5,34,34,31,32,5,21,20,11,19,21,32,18,35,11,6,27,29,10,19,13,26,34,6,14,33,30,34,20,17,17,22,10,27,27,26,20,20,6,33,24,11,34,11,19,25,15,6
"19",35,32,14,34,6,23,22,27,23,18,27,16,33,29,10,15,8,23,33,22,32,23,22,21,11,13,8,14,11,28,30,15,22,5,24,32,7,28,33,32,26,15,23,26,15,32,31,25,17,23,26,11,28,24,12,34,34,20,27,14,20,27,12,28,16,26,30,25,5,13,14,34,15,35,21,32,13,12,26,5
"20",19,31,12,35,27,30,10,10,28,33,5,35,5,30,8,21,6,32,15,34,17,29,13,26,34,9,24,5,17,8,26,22,20,26,15,31,16,21,10,30,29,9,10,30,17,5,16,25,26,6,30,23,26,29,12,11,8,26,6,29,34,27,25,25,20,22,35,25,29,31,20,22,26,34,23,15,25,15,14,31
"21",7,8,13,33,8,20,10,16,19,14,28,31,30,5,18,31,12,13,5,17,26,5,31,34,14,32,23,6,30,35,17,23,13,9,30,19,5,15,25,12,17,18,7,12,17,16,8,34,17,29,12,20,29,32,32,34,25,21,8,11,33,7,16,15,24,17,29,7,5,11,6,20,13,11,33,33,32,5,33,24
"22",28,35,30,24,15,5,11,31,24,35,13,34,8,24,16,35,10,33,15,12,20,27,34,29,7,30,5,9,23,19,33,10,14,30,20,20,6,25,5,25,27,13,17,12,27,11,27,12,5,27,19,25,9,23,26,21,6,31,21,31,7,21,17,28,8,19,35,10,14,22,27,8,29,11,10,33,25,12,24,21
"23",24,32,9,23,14,8,31,11,28,24,23,13,21,5,14,20,6,31,28,7,16,28,11,30,27,16,29,23,28,20,29,9,27,32,13,12,32,8,13,8,30,28,15,28,19,9,20,22,16,18,16,26,30,24,31,16,18,6,9,5,9,6,20,22,30,23,7,28,17,6,15,32,15,7,11,34,30,7,18,25
"24",30,24,18,18,15,16,6,9,20,16,23,19,10,24,35,17,32,35,35,9,5,25,32,14,13,32,25,7,31,20,34,13,7,18,27,29,18,17,6,28,23,16,25,18,27,9,18,12,27,16,25,32,28,19,24,11,17,24,28,33,28,8,19,15,5,11,6,28,16,16,23,35,30,27,17,16,25,35,6,22
"25",20,17,13,25,15,28,7,5,8,16,23,14,24,22,20,7,20,16,12,12,32,26,26,20,15,12,30,15,12,27,21,11,11,14,26,30,7,14,29,22,14,19,30,26,11,9,30,31,16,20,23,14,29,14,22,26,17,18,30,14,17,8,22,24,29,33,14,8,25,35,23,32,9,11,9,22,30,15,10,26
"26",16,18,17,23,23,6,30,16,10,5,9,27,10,8,13,10,9,5,12,15,19,11,13,30,5,28,23,24,33,23,28,33,30,27,23,13,9,21,8,6,29,34,33,12,7,14,9,20,25,7,18,15,7,15,29,22,15,25,21,14,20,19,27,35,25,11,31,11,14,31,26,26,27,17,23,17,24,24,25,31
"27",13,22,30,12,18,21,29,14,34,10,30,24,7,18,10,10,18,19,20,26,14,26,29,19,15,22,34,15,28,25,23,19,9,28,13,14,33,10,29,18,35,20,16,22,5,33,21,6,25,15,10,6,25,19,35,26,35,20,14,13,15,19,22,12,13,17,24,6,8,9,26,6,15,13,24,16,20,34,28,8
