"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
"1",25,29,53,36,49,18,59,34,26,24,26,67,66,45,20,37,42,26,58,53,30,26,37,25,21,49,25,40,37,27,29,38,38,62,38,17,22,24,36,56,34,33,44,57,33,48,33,63,49,37,29,19,66,32,24,24,53,17,60,30,35,56,44,57,24,67,59,17,25,25
"2",54,32,66,31,59,39,33,56,50,31,39,28,33,29,55,44,47,34,42,40,57,56,64,65,60,44,43,46,36,52,66,57,43,19,35,58,35,48,45,37,37,21,65,59,61,67,56,53,36,60,59,67,63,56,57,46,29,66,61,58,30,19,17,65,64,19,38,28,52,25
"3",68,32,41,32,54,34,39,22,68,67,26,53,25,30,63,31,52,33,63,57,25,62,40,32,33,39,52,34,30,67,27,28,41,17,28,60,24,19,37,28,58,60,30,63,25,67,31,39,23,27,39,51,17,23,26,39,26,39,41,62,46,46,68,20,27,41,21,51,21,57
"4",62,23,68,20,33,37,21,66,58,26,19,17,21,27,52,64,66,46,33,63,20,49,53,22,40,27,35,37,42,20,51,39,28,30,26,58,20,46,35,44,64,48,31,38,66,43,44,26,43,17,34,22,26,39,23,53,52,60,39,60,61,62,19,44,21,61,67,43,60,59
"5",45,26,66,44,18,61,31,22,23,68,63,58,29,52,21,51,41,24,49,62,60,54,25,60,48,24,37,32,59,64,34,64,60,39,65,37,38,52,30,67,21,37,38,28,65,46,21,45,44,28,39,63,37,28,36,27,33,63,59,51,44,52,35,23,47,37,25,68,37,17
"6",49,46,32,25,46,53,26,46,40,61,51,33,45,54,58,64,39,21,34,45,32,56,60,30,54,27,30,54,27,50,39,56,50,55,25,68,29,63,26,56,41,33,42,39,26,36,21,52,38,50,36,36,45,22,61,62,55,30,67,55,36,46,56,30,20,63,57,30,18,24
"7",66,20,45,17,25,48,32,21,33,51,32,64,40,31,18,35,23,26,56,67,43,54,34,43,18,49,49,31,36,62,29,18,17,56,66,20,43,67,49,30,57,67,22,64,45,28,68,17,43,19,23,35,31,23,63,44,35,58,52,50,34,61,44,31,50,66,20,18,17,29
"8",52,42,55,64,64,51,35,28,64,47,32,30,26,41,30,65,28,34,22,44,42,54,54,31,56,36,23,45,30,38,30,27,28,51,63,27,32,20,56,65,22,66,28,37,60,60,27,28,53,59,54,66,38,50,48,57,22,42,45,57,65,24,19,53,31,56,28,35,32,44
"9",53,17,20,22,57,34,68,58,63,50,43,26,35,67,29,44,60,21,41,66,67,29,42,52,55,28,25,19,52,51,18,60,58,30,48,31,17,60,44,59,33,65,19,53,25,61,61,40,33,20,47,63,32,58,35,61,37,54,63,65,47,60,47,59,32,44,33,37,53,42
"10",37,26,47,64,45,66,51,27,50,38,25,47,35,19,32,54,65,67,52,61,36,20,49,63,24,54,24,55,18,46,49,50,19,55,64,65,41,25,56,37,67,61,46,21,41,64,51,44,27,60,36,56,49,32,64,24,33,27,33,38,58,23,39,46,37,53,28,44,17,56
