"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",17692,12427,20468,24088,7686,14111,13528,15793,6731,22201,16667,18117,21048,19739,10278,22549,20659,17903,13871,14327,7473,10745,24041,24036,15664,7275,21710,11153,14141,20041,22505,17759,10547,15504,18522,7480,9255,6487,11247,13261,24327,11242,23579,16908,11040,9324,7046,7042,22772,16901,23488,16395,25379,16407,23155,12979,20278,17302,19059,7386,23492,23875,23481,14676,14793,12568,22088,20920,13021,16340,10787,9699,7813,6894,7128,14423,12877,15673,19776,8625,25125,14350,12922,8925,24234,21602,11360,7785,9859,10398,22870,14355,17260,9658,7326,25371,24241,15656,18900,23415
"2",23341,13547,14536,16652,24311,15348,16655,15348,21294,24079,23018,10243,12709,13826,7953,12417,20427,8451,18789,10245,10967,16150,16156,22977,8700,10734,14541,17785,11577,14589,9390,10551,24541,12337,24754,19633,15053,10996,17840,13501,9491,8033,24758,22458,13772,25470,9742,8419,20955,19826,25470,11257,17508,20736,24937,20903,18500,22763,20536,12139,23429,20308,11089,6530,18419,15221,12169,18317,22059,21688,20339,15249,18986,21145,16320,22814,21558,15664,18652,14014,11403,7817,25111,19753,11423,24873,11869,13092,11810,14037,7776,20181,20645,24677,7763,24919,7760,6630,20647,19082
"3",14082,10909,16196,25588,13847,21548,23553,16180,19727,15817,7232,17873,25488,10263,22175,7254,8755,17685,25455,24262,22152,7735,12069,14169,12466,21830,13229,15518,23986,9979,22742,23152,19654,23607,16272,6773,13502,13048,7830,9296,8785,9098,21359,11113,24168,14874,23981,23190,22927,6552,7841,7027,22756,14459,19872,11676,8501,17320,20331,17165,12127,11901,7029,9581,16437,24980,6555,7812,22415,23181,6913,22075,16095,8257,14914,23738,17219,8616,8648,23725,8164,12686,12591,14797,24202,21228,17646,16894,11882,11901,19792,21249,6650,24228,6857,8891,6692,10766,13629,15268
"4",22663,17916,13842,19564,10519,25582,17713,10903,19218,20720,21515,20706,9425,19676,11444,22627,19690,15395,7562,22174,16526,7245,17685,19929,25543,7207,12138,8010,12493,16284,16748,9010,21021,12361,10586,20764,6489,13771,16486,23580,7523,24366,14628,10592,9537,11615,12399,9526,18486,24729,25406,24348,24737,17802,15232,9301,23685,20533,10124,15974,8518,14860,24016,12156,17176,16420,11106,15203,19864,10093,16429,8515,22818,19876,12138,15936,16818,11429,14765,18345,13014,10430,10415,8921,21946,24870,8180,21957,22123,8916,16841,10063,16149,17248,18388,17100,22886,13112,12194,9615
"5",25217,19723,25589,25584,13178,8957,14301,14449,22645,10483,19582,24466,14310,10475,11287,24274,13890,10492,24032,14317,8694,17859,10294,19709,19701,18533,22268,11341,25494,17387,12484,21840,18122,19278,14151,10609,24388,19670,9308,8787,8791,11631,17830,16248,19232,14178,17741,12388,25487,25481,10649,14864,20509,10867,22027,9097,10583,16688,24493,15218,11699,7894,8546,8518,11054,16271,23722,9612,21111,21151,22449,20296,17072,14427,19330,21663,21557,21183,24607,17360,7790,12682,8613,18630,18339,16143,14035,12186,25121,18875,13613,8150,22094,10031,23092,18684,11385,7754,16128,8546
"6",17699,7157,20467,15426,12061,19599,15413,25198,10486,9800,8675,19963,13597,20709,19537,24048,23010,19687,8991,10489,18803,13849,20782,21447,21363,14318,22990,20660,15479,22952,19265,13471,9046,7231,11596,18524,10516,23269,16939,17401,17860,16453,13264,19631,23598,9067,9096,15320,14648,22485,10222,23911,9223,15598,8842,15242,15234,7881,20083,11093,12603,17329,18058,7386,8062,18973,13366,18975,18005,9127,12239,8190,18082,14405,9697,23078,23802,12905,16842,17579,16078,7131,22107,21599,22125,16353,11170,9875,10516,9649,25353,7325,20170,15649,11830,8140,14745,9642,16119,22339
"7",17016,22584,17464,21318,19715,12430,15117,16662,7175,21767,10486,21374,11220,18169,8461,14113,13213,18786,8694,6473,10723,7967,21032,25204,13864,18415,8477,16963,14098,16988,16739,13238,12493,14502,15702,8761,15452,12496,23635,10537,9711,6718,25241,15504,22238,25465,18194,21004,13518,12758,7983,17357,20969,10669,15622,15764,8315,21431,8844,22768,18712,16022,14850,9623,20877,22823,18957,19024,12575,25389,21640,20332,23179,12554,21667,14668,15558,21667,16065,17976,7827,22425,8504,13912,20137,17600,9698,13084,9666,24150,11815,6961,13303,24682,15637,12200,15128,7108,11375,13641
"8",23342,18451,22482,21537,24303,20724,13193,21772,14968,13150,12029,19732,7547,24492,21075,19902,24419,11569,12094,8697,16157,24060,21497,25556,21254,25528,17450,14322,13871,24251,6723,15032,24903,21266,10636,8733,25535,22530,18241,21008,11326,17764,6771,13786,14244,10662,10670,13495,13299,22932,20749,19227,25478,9505,9515,25411,23963,23686,18251,19859,23605,22949,8097,24560,20519,11469,21117,20077,13429,15241,15939,21780,13680,6955,21148,17335,20522,13916,16097,10443,17608,18647,24180,17953,9157,16317,11798,7767,19075,22879,12187,23847,18915,13103,11385,17997,18888,12204,22356,13664
"9",25593,11306,24469,25583,24829,16582,23540,13590,23294,11515,25543,24053,6822,10512,22615,10560,11956,18410,10950,10960,21813,15267,14998,8746,18806,12379,22489,17783,12341,23589,21834,16477,19500,20730,9545,6517,12730,12293,21388,8088,13042,16258,17756,12516,10595,11480,12549,10895,20872,9562,11187,10148,8802,17565,8337,14714,25402,12594,11685,19860,17337,21865,24628,19312,16829,21692,23195,16301,22303,21622,17601,15982,14442,16104,7821,8525,22894,21577,24206,10786,12205,12682,11385,14737,6882,18691,18930,10027,15161,9625,25339,22890,12851,9885,21219,9628,12203,11376,22368,11181
"10",18144,19666,17478,23287,18405,7711,15412,22279,16582,17447,15778,19965,23541,12414,7579,14332,23004,16608,17460,12708,14591,6841,20994,22607,16510,15250,12722,12480,14620,10164,14236,10661,23976,19603,10603,12742,8763,12581,16002,7287,11482,12607,23454,18707,11472,6976,7878,21557,19411,24110,6567,10344,7876,11052,10318,19049,19045,15207,13705,16406,13697,23816,22054,21905,18094,14352,23715,11839,9945,23917,9205,11848,11428,8648,7143,21931,19770,15167,20588,17055,19767,19312,14420,11420,20581,20263,21600,24875,20631,23092,14376,9881,23778,14896,22866,10008,24917,11821,21237,7505
"11",22213,19574,9409,21323,13847,18229,7357,19224,6418,16584,24812,18400,19963,12318,22611,25175,23001,18131,25104,23275,9383,15490,7214,17904,12339,18545,22975,25489,19509,16627,17844,9144,10615,24604,25282,19761,25410,18511,13273,22458,16934,22230,6535,22453,21430,7514,22930,22931,11256,16237,11021,7415,22701,12008,25410,13431,20063,7422,16401,23441,15198,12142,18023,10899,13698,9185,13939,19054,18986,12951,8802,25384,22064,12100,23463,16099,24595,13900,14665,23936,22301,7136,6924,14390,9914,20830,15169,22787,19773,25306,15856,23399,13347,14044,16365,22145,13661,16363,7357,9164
"12",15353,17471,23331,13166,22638,7698,12028,9428,14063,8691,23544,10702,19908,21283,16168,7555,12466,24801,16634,23003,15442,11322,23000,15820,10749,19702,20680,22562,9495,19168,19935,15055,7978,22494,17858,14548,20792,21394,11970,14237,9491,8010,7508,25513,18201,22994,6754,14608,8777,13281,19009,12386,19466,21429,13060,13515,16520,23890,20000,6978,22479,19382,13813,21110,21867,9361,24168,21425,19424,25413,18257,20531,8827,20566,24337,13844,16780,15903,11188,7366,23726,17972,20588,23726,17212,14794,23368,8193,19757,11770,17642,23313,24212,19791,23861,23414,23785,17636,13100,13506
"13",8467,13844,11506,19682,12030,19972,7701,24296,16595,13158,12849,10488,8449,7949,25532,22481,18800,14114,24052,8469,24788,24035,22534,21479,18797,16287,13578,15710,21452,21377,16743,24787,22737,20030,16269,14596,11226,16020,19283,13490,11992,14613,20080,24543,8854,15322,15245,22400,19026,23159,7050,23675,24571,23879,20524,6997,7443,20070,7069,24557,20545,23928,20122,23188,23694,8818,11449,8306,12565,14651,23690,23159,13005,19112,14397,15676,9173,9159,18650,11836,25107,16301,15158,8622,10417,19084,19078,14884,18017,16835,7761,24228,20530,22370,16128,14905,10386,19798,22889,20428
"14",24255,12278,15789,8958,17481,21304,21515,19745,7935,9794,24812,13899,17660,20686,17679,8997,12828,25278,21006,25375,24360,22601,19936,23246,24416,25280,23998,23616,12489,10548,15291,11225,15263,24545,15726,14146,11605,15757,21467,16260,24326,18935,10660,11249,9766,21644,25401,22904,20530,19466,22261,18276,11465,23912,18572,14497,17510,8870,12104,14698,12153,11432,20076,16821,8825,19025,18944,22438,15929,24965,7034,15902,24605,14442,14923,7357,12667,25081,21555,15139,13127,21568,23071,16363,6677,12192,21955,13603,15911,11350,21489,13082,21997,21970,15871,8140,13309,24248,11141,19754
"15",8430,23569,10237,10682,12422,14083,24098,21766,18159,11532,19974,17948,7184,8978,16991,9429,18813,12097,21445,6821,9391,20680,25537,22533,8370,11012,22488,13457,15028,19670,21329,13488,20016,12725,25514,18208,15514,21266,7512,7669,10446,13803,14255,16926,12547,13299,22750,19840,24360,22398,22756,8099,15247,7645,12118,11496,18930,15951,16035,9179,25009,7012,9551,22389,8291,24163,9933,10313,11460,22812,20530,9584,8830,20560,16319,21173,22436,6692,22432,13643,8929,17951,23761,13356,12651,10788,21599,11738,7780,24892,6498,7327,12628,7327,7128,9850,18006,8890,13101,8737
