"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",1062,707,468,572,807,1025,403,1199,773,633,654,853,574,846,897,904,721,881,624,556
"2",1135,868,1050,1066,1109,950,620,632,799,468,517,432,677,444,498,507,827,991,546,1096
"3",699,483,606,791,812,761,762,904,1006,1076,1169,480,923,580,1166,1153,909,538,761,660
"4",524,666,588,761,768,416,1129,851,1123,1125,1185,857,753,626,813,1028,1077,823,430,710
"5",1181,910,1014,1081,1001,559,1176,677,1159,728,702,882,518,948,531,1091,726,526,1183,819
"6",482,1026,1143,400,714,994,852,1144,731,1188,1082,827,807,446,589,663,1069,1052,917,934
"7",586,493,752,816,1194,939,773,786,559,1068,796,454,779,720,572,777,986,934,505,648
"8",1049,415,1009,609,946,460,446,1055,1101,402,861,909,1183,537,594,1014,1101,435,555,978
"9",773,789,999,730,899,1081,903,761,887,1189,673,672,953,1117,1055,796,1195,623,467,709
"10",953,608,1135,507,947,449,1159,568,678,1056,567,581,665,497,1031,1039,991,435,1079,548
"11",1031,1136,597,625,985,753,1023,1034,872,812,921,629,1076,984,522,736,952,575,453,535
"12",1125,834,483,966,693,659,698,674,573,1193,847,633,956,615,524,707,659,469,978,818
"13",890,882,857,922,675,662,1073,625,947,1078,892,474,767,757,797,402,670,904,700,1050
"14",1099,846,472,1174,407,601,758,635,967,568,776,592,414,908,414,778,643,903,810,809
"15",932,759,473,631,1158,1103,759,797,787,465,637,961,1108,556,593,508,1058,438,1066,408
"16",967,886,633,534,764,1056,993,990,548,772,1105,575,883,644,524,574,989,440,907,747
"17",860,694,469,603,743,563,537,715,574,985,783,1173,577,1171,907,730,989,1009,918,1163
"18",1086,983,688,813,1199,759,773,1167,429,1021,433,502,1011,546,1059,683,864,642,1148,1051
"19",1126,473,863,1072,876,481,583,637,856,601,973,616,1167,1123,816,744,772,1158,712,1053
"20",931,992,430,565,1040,466,536,921,1153,1174,597,889,1057,1026,1045,1151,878,880,1183,949
