"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
"1",51,22,50,48,31,47,32,53,70,42,39,43,63,26,65,20,26,67,44,21,29,59,32,21,40,73,66,68,64,38,28,67,45,71,37,38,52,39,65,50,54,68,50,24,61,30,25,42,64,58,69,18,71,63,53,24,24,19,24,27,48,49,39,23,26,57,22,48,46,43
"2",19,36,59,69,49,52,44,72,65,67,62,66,37,45,70,23,37,32,26,62,68,63,25,51,68,52,48,70,21,19,35,61,31,32,27,29,68,57,32,40,38,38,28,54,37,58,57,44,65,31,37,41,52,53,69,43,73,52,42,28,34,54,35,20,41,19,25,33,22,52
"3",46,43,25,57,59,35,68,68,63,43,29,51,61,67,63,63,34,33,36,73,55,36,30,72,30,25,56,46,20,21,66,54,19,41,30,39,19,67,63,58,30,32,18,24,28,49,43,59,45,34,59,69,68,58,46,70,36,48,55,68,45,43,68,23,50,23,56,31,58,72
"4",60,68,66,53,71,37,71,34,35,51,61,44,53,63,67,47,32,47,59,66,23,28,61,53,51,30,66,43,58,64,31,66,52,58,28,23,62,27,35,29,46,34,65,34,44,41,56,36,63,32,51,69,34,18,39,59,59,38,23,53,51,46,30,68,60,42,43,56,40,51
"5",22,67,71,50,65,45,36,27,73,52,67,23,71,52,24,66,47,34,41,38,37,40,54,39,70,59,59,63,47,55,55,48,35,31,42,38,37,40,63,36,60,58,46,26,65,44,48,46,52,57,48,50,57,26,64,62,43,41,20,25,24,69,23,52,32,28,20,42,69,44
"6",25,39,21,42,18,68,61,28,52,42,61,57,69,66,29,41,51,67,45,69,69,56,40,43,61,27,41,42,53,58,49,35,23,23,32,67,25,71,52,26,69,40,34,47,21,25,64,67,21,49,42,50,43,37,53,40,67,40,41,49,47,24,60,57,47,72,38,53,63,40
"7",62,61,56,44,30,31,41,57,19,41,64,72,72,23,52,42,63,22,53,58,54,27,60,72,66,21,69,66,51,22,72,62,26,57,56,40,59,61,57,48,25,41,55,50,68,25,26,33,23,69,64,61,27,51,31,60,61,66,32,36,70,20,60,61,70,57,62,62,62,19
"8",46,51,47,20,66,48,33,28,26,61,42,20,66,49,33,27,55,40,37,63,25,54,18,59,25,72,42,27,67,73,47,57,31,60,46,73,63,37,36,25,72,34,37,50,60,33,42,50,54,63,60,29,33,70,52,32,71,19,61,53,19,50,59,43,21,20,62,55,46,58
"9",73,35,70,32,56,70,72,40,63,68,49,19,63,47,38,51,64,25,40,51,29,32,32,40,73,35,49,38,51,52,71,53,42,68,21,48,39,54,58,55,63,52,24,71,53,38,34,57,69,55,68,36,32,67,60,51,73,28,52,60,22,45,62,38,72,43,60,25,60,63
"10",26,24,47,21,64,54,67,71,69,26,35,29,64,44,72,72,33,49,57,38,70,58,65,52,31,69,30,43,60,43,49,29,21,46,59,73,51,24,53,55,35,25,27,65,33,26,41,26,53,72,33,21,48,61,43,40,19,25,66,60,23,43,51,60,35,67,43,22,52,65
