"1",19
"2",39
"3",11
"4",6
"5",9
"6",31
"7",24
"8",48
"9",8
"10",3
"11",39
"12",9
"13",49
"14",39
"15",24
"16",40
"17",34
"18",1
"19",28
"20",32
"21",18
"22",34
"23",10
"24",11
"25",36
"26",1
"27",4
"28",48
"29",37
"30",27
"31",47
"32",7
"33",40
"34",1
"35",28
"36",16
"37",43
"38",8
"39",20
"40",1
"41",12
"42",47
"43",16
"44",15
"45",43
"46",48
"47",25
"48",9
"49",34
"50",12
"51",43
"52",39
"53",45
"54",10
"55",17
"56",29
"57",30
"58",38
"59",49
"60",17
"61",17
"62",34
"63",27
"64",7
"65",24
"66",47
"67",35
"68",26
"69",42
"70",27
"71",34
"72",19
"73",16
"74",6
"75",2
"76",39
"77",36
"78",1
"79",2
"80",4
"81",40
"82",45
"83",19
"84",37
"85",9
"86",7
"87",11
"88",7
"89",42
"90",21
"91",1
"92",34
"93",34
"94",42
"95",29
"96",32
"97",21
"98",29
"99",41
"100",46
