"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",14,17,18,23,28,23,23,12,18,33,20,29,15,34,14,33,7,12,7,13,33,32,8,11,26,28,18,16,15,22,18,22,25,12,26,16,9,7,32,30,12,15,28,7,18,22,22,28,21,12,31,15,25,12,33,21,22,24,15,25,5,20,29,22,21,35,35,23,11,5,28,25,9,25,22,14,19,25,16,35,21,29,25,20,15,21,19,9,14,22,26,7,31,10,24,5,30,12,16,18
"2",6,16,20,27,30,5,33,30,13,20,33,6,22,31,25,7,31,23,30,14,32,6,21,23,16,20,11,15,25,19,6,11,21,29,28,13,27,27,33,7,11,26,24,11,34,20,33,24,20,12,15,27,9,25,25,8,33,14,22,27,27,27,30,33,8,11,21,22,15,35,5,27,28,20,32,31,15,14,30,28,16,31,16,23,6,23,14,19,7,30,33,30,33,24,16,24,5,13,5,15
"3",19,35,7,8,17,17,21,19,35,17,31,35,9,7,27,11,35,7,33,24,22,35,27,34,25,26,20,33,32,25,18,20,28,9,12,17,8,6,6,29,9,17,9,12,35,20,11,15,30,24,24,29,6,12,21,8,17,5,28,24,5,30,35,30,29,11,27,33,6,30,9,31,15,29,29,27,34,20,6,17,26,29,24,10,16,13,31,30,18,8,26,12,6,26,32,25,23,34,35,27
"4",33,23,18,29,31,5,26,9,31,8,7,26,31,21,21,8,11,27,15,5,20,7,17,21,13,31,18,14,28,23,11,9,8,19,14,26,11,32,33,17,8,12,20,31,20,9,30,19,6,18,28,31,11,34,29,11,34,14,13,7,12,14,5,23,13,17,25,25,26,21,35,14,18,8,30,32,33,19,14,29,28,17,26,8,33,17,27,16,24,26,25,25,32,6,28,34,34,27,28,7
"5",5,10,21,17,29,32,15,20,16,13,35,31,25,6,20,5,30,30,24,19,20,12,9,26,33,20,17,28,14,26,10,17,11,13,26,22,24,26,30,22,28,30,9,20,10,27,15,10,19,18,22,8,27,29,33,20,14,5,9,20,8,12,19,23,9,20,25,26,30,31,17,9,28,21,17,14,6,27,16,21,5,27,17,14,28,18,29,31,22,5,24,18,23,5,35,8,19,20,33,13
"6",18,28,15,8,5,35,18,35,28,14,5,10,20,19,34,6,7,29,31,14,23,34,20,20,22,24,21,14,29,8,7,14,35,24,17,12,33,29,34,33,25,17,25,13,26,22,19,6,35,15,22,28,35,16,28,33,15,33,7,30,18,32,13,18,34,30,7,7,15,22,5,18,12,10,23,27,17,15,18,15,26,5,7,6,33,28,9,8,12,19,9,7,5,13,9,12,10,9,27,11
"7",32,10,13,5,6,31,22,33,22,27,29,8,15,14,15,33,28,21,15,13,10,17,25,7,24,17,35,19,24,25,26,19,14,12,23,35,21,23,18,7,20,10,5,28,17,17,6,20,11,22,5,30,11,7,7,14,29,16,8,27,13,14,8,32,20,19,17,25,11,15,8,25,24,21,33,29,23,19,34,33,35,26,9,21,6,8,7,30,13,23,20,17,8,30,28,14,21,30,32,20
"8",13,27,10,23,25,15,6,18,29,32,24,20,7,15,6,30,12,9,17,28,7,28,6,35,15,11,24,28,29,27,9,24,22,27,35,35,6,13,14,17,29,25,33,11,18,15,29,19,32,18,30,20,28,34,29,21,18,32,23,20,31,31,16,16,21,29,9,17,15,23,28,19,22,35,35,33,33,20,28,23,5,16,8,29,25,35,8,25,6,18,14,6,24,8,22,6,9,6,11,28
"9",14,15,27,34,32,26,29,21,24,27,31,9,22,18,6,10,17,5,28,22,14,12,32,17,9,10,28,33,29,27,20,17,34,22,20,5,14,32,25,21,17,25,6,5,29,6,22,27,11,17,15,9,30,33,7,32,27,27,24,24,14,26,14,7,14,5,29,15,17,15,31,6,28,20,7,19,24,20,16,23,32,6,12,28,26,16,28,21,14,24,16,7,23,9,30,15,33,28,23,34
"10",8,17,25,28,21,19,21,22,7,10,15,33,20,21,30,25,25,6,12,16,30,11,16,32,23,22,24,21,7,33,14,10,13,19,18,26,24,30,9,29,22,7,9,5,16,32,8,32,14,29,15,35,5,26,35,27,14,20,20,10,9,7,10,7,30,34,21,8,12,26,18,9,15,23,17,27,33,23,6,6,24,31,23,24,26,29,31,11,9,32,26,23,30,6,25,8,6,19,9,18
