"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
"1",15,25,29,30,32,30,32,16,20,29,7,28,32,13,18,6,19,6,12,19,12,23,5,34,16,30,9,35,30,28,22,9,33,29,27,19,29,10,31,27,26,15,32,34,14,19,24,32,17,12,16,30,32,28,17,6,9,20,25,24,7,27,9,13,23,29,11,33,35,12,35,15,28,17,7,33,13,20,5,29
"2",14,5,28,6,17,15,18,32,28,16,22,12,18,27,33,33,6,5,28,10,27,10,26,14,12,34,18,7,24,9,16,8,24,20,18,33,25,20,23,5,26,7,21,25,6,18,33,31,12,5,25,12,5,25,25,6,5,27,23,13,31,6,27,11,14,17,15,7,17,32,16,26,32,21,29,10,23,9,24,6
"3",7,11,6,33,28,33,9,15,29,15,34,23,11,19,33,5,33,27,11,21,26,20,34,15,24,22,34,8,26,22,7,31,10,34,29,13,12,10,10,27,5,32,8,31,23,21,14,19,23,23,35,32,25,23,23,19,19,29,27,20,16,6,19,30,31,35,35,11,26,23,27,18,21,29,25,25,34,10,7,14
"4",22,16,11,17,10,24,18,12,34,9,12,21,8,34,5,15,31,5,29,27,32,27,29,17,21,34,35,15,27,22,23,26,16,27,14,31,7,31,7,32,31,23,17,22,11,14,6,13,19,23,19,34,24,17,31,12,25,21,33,8,24,13,17,13,11,21,14,23,35,25,27,10,19,14,17,6,22,17,14,6
"5",10,7,23,14,29,32,20,15,23,9,19,19,7,30,14,31,9,28,24,30,14,25,34,30,30,12,12,5,11,29,11,27,29,9,12,14,34,30,25,22,28,21,15,24,15,12,6,31,23,33,31,23,34,10,20,27,24,20,21,30,23,31,17,19,5,23,30,6,17,17,8,30,9,25,16,11,22,33,8,8
"6",10,22,34,25,17,23,18,34,32,31,15,16,6,9,11,11,17,14,23,20,14,24,14,35,13,10,12,22,13,11,20,31,29,19,30,6,20,24,28,19,17,21,22,34,31,16,27,8,22,8,7,23,35,27,17,19,21,14,20,30,34,19,17,15,28,5,22,8,9,32,33,29,33,24,26,24,17,35,33,24
"7",18,30,22,11,31,32,33,28,30,5,21,26,30,27,15,27,31,27,12,13,21,16,34,10,17,24,14,22,35,22,23,5,35,24,13,11,34,8,21,35,24,35,35,34,35,12,23,25,5,9,26,29,32,14,25,28,9,17,26,19,33,15,21,11,15,34,20,6,8,6,13,21,13,26,14,31,22,18,28,18
"8",18,6,28,33,7,28,32,10,8,32,24,22,12,9,20,30,17,5,29,19,22,11,5,20,14,15,15,6,6,5,35,18,13,23,30,25,28,16,29,33,11,24,12,24,7,11,7,8,10,32,20,31,26,12,14,17,5,22,15,35,13,10,35,23,7,24,32,27,10,27,25,19,23,14,7,11,34,33,24,14
"9",13,20,26,32,11,30,29,32,17,9,30,9,14,33,32,30,9,7,28,10,34,27,9,27,16,21,19,20,13,7,33,23,34,29,33,13,6,24,16,15,18,31,23,31,30,9,33,16,16,30,31,6,29,18,5,8,20,15,14,13,31,12,13,32,30,34,24,23,10,31,35,28,29,6,21,17,10,30,5,16
"10",26,33,16,35,27,20,10,26,15,21,14,33,6,34,34,30,7,28,5,22,9,18,19,10,18,30,17,9,18,11,17,17,20,5,27,25,5,29,23,13,6,5,11,34,33,29,29,20,16,16,30,33,26,8,26,9,8,15,24,6,16,25,22,17,24,16,7,6,17,11,12,23,33,27,31,20,6,32,14,23
"11",18,25,16,29,7,21,25,6,19,22,14,22,10,25,23,10,18,25,29,26,20,29,12,31,9,13,28,9,28,29,7,10,31,13,29,28,35,7,17,16,22,32,33,19,14,26,30,12,15,21,17,21,21,9,6,35,30,29,6,5,5,19,26,35,35,11,24,14,23,18,32,7,17,33,25,11,25,8,5,5
"12",25,35,16,10,25,23,13,26,17,12,14,34,21,25,32,19,19,32,25,7,10,32,32,29,16,9,13,17,26,24,27,18,25,23,34,25,10,15,26,19,22,35,10,20,25,10,16,31,19,24,9,7,18,15,25,8,22,19,29,27,32,14,17,15,31,19,8,33,12,18,22,26,6,8,26,29,27,22,21,32
"13",11,24,17,12,7,13,31,33,22,25,13,16,15,12,26,17,31,10,25,23,23,32,9,14,16,6,30,26,8,18,25,27,11,17,21,27,27,27,27,30,34,29,6,14,5,24,18,32,24,7,8,35,20,5,16,12,16,5,13,13,29,27,7,27,27,20,30,17,30,16,22,11,13,34,24,22,9,17,29,13
"14",26,6,29,16,7,8,18,35,32,20,12,18,12,19,20,29,33,32,20,31,21,12,22,14,22,26,7,35,28,22,25,16,9,28,34,11,12,12,21,20,35,15,32,15,30,28,17,7,23,15,21,34,19,32,27,21,22,11,27,34,13,21,25,12,29,35,11,34,11,23,30,19,11,15,17,31,18,11,9,11
"15",7,18,30,5,11,8,5,28,31,26,22,28,15,11,22,32,6,31,16,33,21,14,29,19,18,24,35,29,34,7,24,30,18,26,15,27,24,18,31,7,13,6,32,35,23,13,30,15,28,8,9,12,33,30,14,12,6,5,34,18,5,16,23,24,11,34,11,35,5,19,25,22,25,33,16,7,11,5,34,24
"16",16,20,16,13,29,32,19,21,15,22,20,32,26,35,25,32,27,21,35,25,29,21,25,25,13,7,28,16,27,5,7,18,25,27,10,25,28,35,34,5,7,10,30,17,34,8,35,30,9,14,21,8,29,31,9,30,32,20,9,21,24,10,12,25,6,5,7,32,22,24,24,8,26,19,13,16,11,24,30,29
"17",14,19,30,32,15,5,27,20,31,5,12,26,9,13,7,7,25,25,26,16,26,24,28,29,18,16,10,29,26,29,21,20,28,18,19,28,24,5,34,10,18,9,34,25,8,23,21,25,13,23,14,26,8,27,32,32,23,5,18,6,30,23,25,26,16,9,7,30,9,28,25,31,31,29,25,9,11,25,33,33
"18",20,28,24,14,17,33,21,21,26,28,34,23,34,16,13,5,6,7,11,15,31,34,24,7,11,15,26,29,7,21,28,25,28,33,12,13,15,28,34,31,28,24,8,33,30,8,25,8,8,18,6,6,21,28,31,9,16,7,32,15,9,13,33,13,29,5,9,7,13,18,26,14,30,6,17,15,26,17,18,5
"19",29,9,19,7,25,34,15,31,32,13,20,19,25,20,29,25,32,34,34,23,30,25,15,26,5,25,26,7,8,14,23,13,23,32,14,16,9,23,18,33,31,18,23,16,5,31,11,25,7,35,13,16,30,30,22,26,23,11,17,29,18,35,12,12,10,19,8,10,10,25,5,35,15,21,13,16,8,32,14,8
"20",5,18,12,30,13,6,10,35,35,7,25,24,35,17,13,6,11,22,23,34,11,10,18,20,18,31,31,16,30,5,19,16,12,9,7,15,27,28,10,35,26,15,33,12,23,7,15,9,30,27,18,34,9,8,27,31,6,14,21,33,30,24,18,18,34,12,23,18,27,20,29,14,9,8,23,5,34,5,12,23
"21",6,12,31,12,9,15,23,13,30,30,28,9,33,16,28,15,35,19,19,33,12,16,9,10,16,30,14,12,15,5,6,29,35,6,26,14,16,20,29,6,22,17,24,6,22,17,30,17,32,5,13,32,25,20,18,7,18,14,21,7,7,5,20,7,7,33,9,17,6,5,35,29,11,20,35,24,26,10,13,11
"22",7,21,21,32,16,10,34,24,11,8,24,32,30,32,21,30,6,26,6,24,14,26,10,32,13,24,10,34,10,31,31,25,23,32,35,9,24,32,31,14,18,19,13,19,28,11,11,15,32,31,12,16,11,25,27,32,18,29,30,14,6,32,27,21,9,32,21,30,14,10,29,33,21,21,19,13,7,31,28,26
"23",27,6,8,9,23,24,27,30,6,13,10,7,25,15,20,19,19,31,17,16,13,30,15,15,24,17,32,10,34,18,12,21,32,16,7,8,28,32,15,11,17,5,5,6,21,19,11,24,26,32,24,34,8,27,12,21,6,34,17,19,30,24,35,22,18,22,26,16,18,23,26,29,22,18,11,10,15,9,14,10
"24",11,18,5,26,6,24,15,33,21,13,22,24,7,24,26,24,24,6,8,9,32,12,14,28,34,5,22,17,24,13,6,34,28,15,18,23,7,24,12,11,23,11,27,22,23,16,13,23,21,7,21,16,17,26,5,35,31,7,12,12,10,32,12,17,21,23,19,17,22,8,23,8,27,35,20,20,22,7,7,9
"25",19,12,5,6,9,11,26,12,22,33,20,30,6,12,12,17,32,11,22,11,6,22,16,22,8,14,32,8,21,8,19,28,21,26,25,16,28,28,25,18,29,6,21,16,6,35,17,25,25,6,24,13,23,31,34,30,23,9,32,34,11,10,21,12,11,31,31,15,19,15,9,10,6,7,23,13,5,10,16,29
"26",24,22,15,32,34,35,15,27,27,14,28,22,31,29,21,28,16,25,21,8,10,30,16,27,21,11,9,29,28,20,11,6,27,14,7,35,7,6,5,27,32,18,35,18,35,16,21,10,16,28,26,29,27,11,26,29,21,7,33,34,7,29,5,27,12,16,20,25,27,33,20,8,35,29,16,26,20,28,27,7
"27",15,12,35,26,18,11,26,27,10,23,28,32,14,6,22,28,11,28,9,29,30,28,10,34,25,26,12,17,30,11,27,31,14,22,20,30,13,17,15,32,33,12,13,18,24,6,22,13,10,13,35,25,34,6,34,14,30,21,25,28,32,16,14,10,24,10,12,12,23,32,16,7,32,8,31,5,20,10,31,35
"28",23,31,23,31,13,24,27,11,28,11,27,10,12,10,35,30,28,6,13,34,28,9,27,30,10,11,28,15,33,35,21,7,5,18,15,19,7,29,28,6,17,19,19,7,11,26,24,27,28,13,17,7,9,10,7,12,31,17,35,18,33,30,23,33,15,6,20,10,9,23,17,28,33,31,15,25,12,8,18,15
"29",23,33,22,23,15,20,30,7,20,32,21,14,14,10,23,24,14,11,16,15,19,35,27,20,7,19,25,24,27,10,13,27,29,28,21,21,25,11,33,32,27,19,14,8,17,25,25,10,24,6,9,17,19,17,23,13,19,7,34,6,27,16,27,16,13,26,16,14,31,13,33,35,9,12,7,9,31,13,16,5
"30",7,7,35,29,17,16,16,16,30,31,17,11,19,35,14,35,13,21,33,6,16,14,26,32,19,14,18,7,15,27,6,21,22,6,29,28,24,18,29,7,13,17,13,7,18,16,18,23,7,20,11,11,33,24,30,7,21,7,29,13,33,14,21,19,30,15,32,9,9,34,26,27,11,8,6,17,8,34,21,11
"31",10,34,15,24,30,27,14,21,8,11,17,33,17,31,21,18,26,16,34,33,5,10,23,7,29,10,14,17,19,6,25,7,32,24,6,24,14,28,23,11,24,13,13,22,28,18,29,28,8,16,6,6,15,13,21,25,22,15,15,34,35,8,19,20,22,16,16,23,34,20,24,7,23,24,12,33,28,24,15,15
"32",8,35,28,25,26,21,21,7,32,17,27,6,27,29,17,30,28,29,17,6,14,28,35,29,20,20,6,26,19,20,27,31,17,28,7,12,9,13,28,30,16,24,8,33,33,24,34,25,23,25,27,15,34,28,10,21,9,31,31,17,29,26,14,11,33,14,23,19,7,22,28,7,29,22,26,18,6,5,23,10
"33",5,5,13,9,33,15,10,23,29,25,10,28,31,27,31,34,27,31,29,13,27,22,30,23,6,7,5,11,34,30,27,8,25,25,34,10,9,24,21,25,34,35,11,13,8,34,31,6,11,24,16,17,26,6,22,9,26,30,16,29,20,14,11,23,27,21,14,14,10,15,7,26,31,26,21,18,13,13,27,16
"34",11,29,12,28,18,34,8,33,5,31,23,5,34,25,6,33,12,32,6,23,35,17,12,20,30,28,21,27,9,20,15,11,6,28,28,18,12,5,14,32,23,35,30,19,30,16,22,15,35,17,11,31,6,9,30,20,25,27,11,14,26,18,34,17,8,8,24,33,32,23,22,7,21,28,31,27,5,25,5,14
"35",11,13,23,28,16,13,32,12,18,35,22,16,20,19,9,13,11,35,6,31,23,6,28,12,25,16,28,8,24,17,32,10,27,28,20,27,5,33,25,29,8,27,6,14,29,27,27,29,9,5,33,30,29,13,22,7,33,24,29,18,8,25,11,14,29,26,7,7,30,18,6,23,23,10,30,11,29,26,17,10
"36",20,7,25,11,8,16,12,29,5,12,7,33,22,19,30,27,21,31,24,17,8,21,30,15,11,9,19,5,20,22,15,33,22,23,8,14,18,17,32,23,16,26,21,32,35,30,22,20,33,5,26,33,12,27,25,9,35,22,11,19,29,35,25,27,24,15,6,33,7,11,32,30,20,10,16,33,27,31,12,29
"37",29,16,21,27,22,21,25,29,13,24,35,25,5,31,22,12,30,11,6,20,11,20,34,18,14,7,10,25,35,8,16,34,12,5,12,18,18,24,25,26,26,23,7,25,6,13,30,7,21,7,24,23,11,21,34,15,16,19,15,6,24,9,19,18,24,22,31,16,34,9,11,19,19,24,5,30,12,17,16,18
"38",26,12,33,34,10,25,22,11,30,26,20,9,5,22,30,22,24,34,25,16,7,30,5,28,34,35,24,25,23,8,28,29,23,26,31,9,35,23,8,21,34,14,5,5,10,34,29,14,24,31,32,35,18,7,5,21,14,30,9,18,33,25,21,9,26,7,14,7,35,33,12,24,13,33,23,34,8,19,24,26
"39",11,10,9,31,34,13,8,9,12,33,33,8,9,19,21,11,16,18,35,31,7,15,26,7,20,22,5,28,35,22,35,7,32,8,23,35,33,8,32,26,20,20,31,26,8,10,10,33,10,9,6,23,21,33,21,26,29,17,15,26,19,33,33,17,18,33,18,12,23,27,9,20,26,14,27,26,21,14,7,15
"40",25,26,13,13,10,10,26,9,15,21,13,34,29,12,8,34,20,35,7,13,14,12,12,25,6,32,10,26,21,20,14,35,18,9,13,23,20,18,24,24,21,28,23,11,21,10,5,19,26,17,28,21,27,11,5,12,25,16,11,30,21,21,25,20,30,26,34,34,29,33,28,6,21,23,25,18,8,33,32,19
"41",14,22,21,33,19,30,11,15,33,23,32,31,22,16,31,9,28,19,27,14,8,26,9,30,33,7,19,14,9,32,12,6,16,15,19,14,6,31,9,16,9,17,11,27,26,16,28,23,25,21,21,8,5,25,17,33,30,28,34,14,29,11,25,28,30,15,25,19,20,33,5,35,29,29,33,6,7,32,20,11
"42",10,19,35,8,7,10,10,20,6,7,34,10,27,8,30,28,31,27,14,27,20,6,5,31,32,9,10,6,28,34,18,35,24,25,11,32,14,26,9,26,14,6,22,16,17,16,27,7,14,13,34,29,25,26,25,28,13,31,22,34,30,34,28,23,24,30,23,27,20,35,16,14,34,28,35,12,22,18,19,20
"43",16,28,23,28,21,24,6,10,5,17,22,21,20,31,29,12,17,9,5,28,12,9,25,29,31,23,29,30,6,13,8,8,17,30,11,26,9,27,9,12,20,10,10,27,5,31,11,15,16,19,24,29,19,23,31,30,12,26,14,6,27,23,8,26,23,30,9,19,8,16,20,23,19,28,20,11,8,18,21,11
"44",31,24,20,34,29,10,7,20,30,11,32,10,32,6,21,35,13,30,34,14,19,20,6,29,25,20,14,8,29,28,13,19,8,6,20,30,18,16,16,13,18,29,23,7,7,7,9,27,20,13,23,33,34,6,10,5,9,6,29,33,9,12,35,27,9,27,8,16,7,6,11,23,12,24,30,12,6,10,22,14
"45",21,29,16,14,12,31,5,35,15,11,35,26,11,9,11,12,22,34,33,21,21,28,28,9,15,24,32,14,25,22,14,22,25,27,25,15,32,5,11,12,28,17,31,25,24,11,34,11,12,19,35,29,23,17,35,28,13,6,29,8,19,31,14,5,6,8,9,25,32,13,18,9,16,16,34,33,5,9,5,7
"46",26,15,29,24,21,31,22,24,22,31,22,28,6,14,17,5,21,8,5,17,8,35,9,5,31,35,23,28,18,22,17,35,8,17,28,31,28,7,9,11,34,21,26,20,23,14,19,34,17,31,30,18,18,8,28,20,14,31,24,11,30,29,6,11,6,10,23,34,10,20,32,15,9,32,26,34,19,27,17,24
"47",17,26,5,32,29,31,17,35,23,12,12,14,23,7,33,29,34,20,24,6,10,23,10,15,7,13,26,14,10,22,12,12,30,23,8,31,13,16,28,11,8,20,34,9,16,34,22,21,28,15,9,24,15,6,7,10,33,33,11,6,10,32,9,27,31,9,22,24,26,13,25,23,21,21,30,30,33,34,21,23
"48",19,24,29,20,16,22,19,22,34,15,9,22,5,8,30,19,16,26,23,7,17,29,35,31,18,14,19,25,27,20,29,25,23,21,33,9,26,7,15,8,35,27,23,7,26,17,7,31,9,32,15,6,7,33,21,7,23,10,32,35,29,11,32,25,19,28,21,30,25,19,13,34,21,9,17,31,11,19,20,33
"49",35,35,12,34,21,33,7,13,28,18,28,16,22,20,15,31,20,19,19,8,18,11,6,33,12,31,22,13,22,35,30,34,31,11,9,31,14,25,15,32,19,35,6,27,10,6,22,11,12,20,29,29,18,7,11,7,25,23,20,18,21,19,25,17,25,33,9,10,16,19,7,17,31,16,18,10,22,8,12,32
"50",23,34,29,5,16,13,10,6,20,15,30,14,22,32,25,29,11,32,30,15,19,17,24,26,19,21,6,11,8,21,14,9,6,20,9,11,33,27,12,9,15,16,15,29,28,8,5,15,21,26,11,35,10,17,24,19,33,32,27,12,21,17,7,31,18,14,15,32,24,29,31,5,19,17,24,32,18,9,24,30
"51",35,15,30,34,11,31,13,5,16,6,11,16,23,27,26,18,25,22,17,29,30,26,23,5,5,24,16,6,35,26,22,21,15,29,22,21,7,22,32,6,33,30,24,8,15,17,10,22,28,5,5,25,8,25,25,6,34,7,32,12,27,20,5,14,22,21,34,29,8,8,14,9,27,9,7,25,24,24,22,19
"52",29,22,24,30,27,13,25,11,35,5,7,35,16,10,31,28,33,24,19,14,29,32,13,12,15,33,23,20,21,5,23,23,29,22,5,11,8,29,20,8,33,27,19,11,16,17,33,16,20,28,28,24,28,28,29,12,10,7,29,13,30,26,30,9,8,19,27,7,21,30,23,22,26,30,5,20,12,34,28,5
"53",26,5,20,14,28,20,6,29,23,30,32,28,9,29,10,22,20,26,11,34,35,34,31,30,6,9,35,10,19,12,14,23,8,15,17,30,20,34,13,8,33,12,16,29,8,26,34,8,22,24,13,32,33,19,6,28,28,14,15,13,28,15,13,11,28,11,31,5,34,29,35,24,10,14,33,29,24,5,12,20
"54",25,14,6,35,13,24,14,19,33,34,32,12,12,23,6,20,31,23,19,11,27,21,18,25,34,21,11,18,8,9,6,35,30,14,21,18,12,22,19,14,14,15,17,15,32,12,7,33,34,17,35,29,16,5,11,13,21,5,5,20,34,22,16,23,14,34,9,33,5,28,24,12,19,6,30,6,20,27,31,8
"55",30,34,27,6,25,16,15,18,15,16,16,33,28,28,22,6,29,28,21,32,17,26,22,15,25,21,7,30,19,16,19,31,25,11,18,17,22,31,34,11,33,11,29,6,33,31,20,31,11,10,11,5,25,8,10,14,6,18,10,14,10,14,14,14,31,27,31,27,7,21,15,8,31,13,8,17,10,32,11,31
"56",35,13,35,31,33,35,24,17,17,31,23,6,22,15,18,11,33,16,32,23,23,28,9,28,21,11,11,14,6,23,5,25,15,31,7,7,32,22,35,7,27,7,31,20,6,11,20,25,27,9,8,5,32,5,10,16,10,11,33,18,31,30,10,8,11,29,27,30,8,30,34,23,21,9,11,11,11,20,33,25
