"1",24
"2",38
"3",38
"4",16
"5",39
"6",49
"7",37
"8",34
"9",24
"10",24
"11",21
"12",50
"13",13
"14",10
"15",9
"16",45
"17",23
"18",1
"19",9
"20",38
"21",1
"22",50
"23",8
"24",20
"25",31
"26",43
"27",28
"28",18
"29",11
"30",50
"31",10
"32",2
"33",19
"34",29
"35",6
"36",31
"37",20
"38",29
"39",18
"40",16
"41",10
"42",22
"43",36
"44",52
"45",45
"46",11
"47",7
"48",45
"49",21
"50",37
"51",7
"52",18
"53",6
"54",44
"55",2
"56",24
"57",49
"58",11
"59",33
"60",38
