"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95"
"1",41,11,27,49,51,39,34,15,31,52,14,26,31,12,7,8,30,15,25,29,37,11,28,27,26,23,44,27,30,29,13,37,50,43,16,7,32,44,8,26,8,25,46,22,23,20,36,19,49,8,16,18,14,46,17,23,48,43,9,9,23,20,49,12,42,26,28,44,49,40,52,34,30,22,54,41,51,5,38,42,37,32,37,55,23,10,19,50,15,50,32,5,52,10,15
"2",20,27,10,46,24,45,19,23,27,20,15,36,12,40,54,43,8,55,42,20,7,8,42,17,38,16,17,45,33,55,14,43,16,52,7,7,24,32,5,12,41,23,24,8,18,53,16,38,9,45,44,16,36,40,14,31,51,29,52,24,26,53,52,31,32,43,16,36,12,20,21,24,24,32,17,42,17,23,11,24,26,47,31,38,47,17,45,27,21,54,5,31,16,13,14
"3",35,41,48,55,34,48,53,19,10,28,47,54,50,18,19,6,28,43,42,23,13,14,32,33,18,34,19,53,54,32,55,21,12,53,5,50,28,10,11,40,16,28,54,20,10,53,16,45,13,45,15,21,18,31,10,42,50,16,54,54,39,12,18,26,18,15,46,16,42,29,18,47,25,21,48,14,23,16,18,29,36,24,24,53,45,10,27,53,34,38,38,23,37,11,46
"4",21,10,53,8,55,44,17,49,30,13,53,40,52,9,17,49,24,31,24,27,10,55,18,32,15,34,44,28,30,20,9,24,41,8,20,12,24,38,44,38,7,45,49,19,13,54,7,52,29,15,5,8,36,32,34,35,44,49,6,24,32,14,38,20,48,49,24,10,8,28,29,31,12,30,38,29,14,14,41,20,43,25,26,50,35,34,13,5,5,31,10,26,20,45,19
"5",45,44,9,23,42,31,6,23,16,29,18,35,21,18,11,49,41,6,32,13,9,29,29,9,31,8,17,37,11,28,42,55,28,50,55,44,42,12,29,14,36,26,16,9,40,49,5,13,25,51,22,18,47,10,29,31,11,31,20,22,28,27,44,8,46,49,23,14,12,48,33,44,21,48,7,17,21,43,12,42,20,33,25,36,5,17,29,38,35,45,42,12,5,8,29
"6",21,13,10,43,5,54,48,29,40,48,47,42,55,11,35,36,20,50,53,15,32,33,31,30,18,46,40,46,6,34,6,7,25,24,38,22,44,23,51,49,44,53,13,23,14,26,34,26,46,40,43,41,8,11,8,36,26,8,40,26,17,47,13,36,25,30,21,44,50,13,39,49,44,16,25,22,10,16,53,7,53,53,46,45,43,24,13,33,20,54,33,20,54,42,53
"7",24,51,53,28,19,44,39,45,6,48,13,40,48,54,55,43,28,23,32,33,43,38,48,43,51,41,16,55,35,19,22,15,12,22,7,5,49,25,42,43,12,11,41,24,53,7,11,52,55,13,24,26,46,32,18,51,37,32,8,27,13,34,53,37,35,33,34,20,32,5,14,36,27,30,29,32,38,9,44,5,46,55,54,21,27,48,47,24,32,48,14,51,33,16,41
"8",31,42,8,7,22,24,25,54,52,53,5,28,7,11,6,50,26,18,32,32,34,37,24,43,15,9,13,16,53,19,33,46,13,29,17,28,54,51,34,31,12,35,15,41,32,22,37,21,37,26,52,21,20,6,42,9,44,31,9,47,50,39,22,30,43,9,45,15,48,17,19,14,9,30,12,50,44,39,46,14,31,11,14,54,36,20,54,30,30,41,17,39,42,45,32
"9",35,42,54,24,42,38,21,41,50,34,42,39,32,22,31,22,37,32,50,13,38,20,47,21,52,29,10,21,45,30,36,55,31,35,24,45,9,42,15,47,49,5,47,41,19,37,53,53,20,20,36,11,9,11,38,35,24,49,24,38,55,47,54,47,55,13,27,35,48,8,11,54,47,18,23,54,39,55,14,36,33,19,14,30,17,8,16,5,42,19,33,28,39,13,11
"10",14,38,52,12,33,36,53,45,14,40,41,31,48,39,12,29,5,8,46,34,51,20,38,54,50,33,9,14,48,15,55,28,19,27,40,42,31,34,23,36,26,23,35,8,38,22,24,10,9,24,45,27,35,8,20,33,35,40,38,40,19,53,5,31,37,42,39,14,28,44,12,17,18,51,24,51,51,39,33,49,23,21,6,17,5,6,46,12,29,24,17,27,39,5,10
