"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",517,686,221,614,413,660,375,692,619,709,407,265,760,548,675,772,469,762,702,541,756,327,392,315,262,785,334,467,527,686
"2",239,209,319,249,702,311,767,572,754,277,353,494,767,517,676,517,267,284,536,668,247,496,372,763,583,413,752,777,464,576
"3",619,479,345,552,288,312,415,623,290,419,698,267,736,233,400,513,623,507,545,507,623,200,224,676,666,415,790,654,605,287
"4",593,546,471,791,314,384,749,648,726,312,389,643,539,644,742,690,678,693,262,769,561,427,590,580,639,288,242,322,365,330
"5",239,481,603,790,334,224,777,537,415,347,258,207,732,789,453,583,767,717,283,562,203,684,751,661,751,226,297,293,747,365
"6",331,329,343,609,377,531,290,453,746,493,678,472,373,227,477,759,220,282,540,279,636,231,287,589,790,440,203,759,377,430
"7",337,470,376,789,312,753,420,401,511,767,275,439,720,201,344,559,646,215,639,418,664,745,414,623,388,240,224,312,668,399
"8",334,732,237,317,345,754,387,565,637,493,318,239,488,676,569,685,642,426,289,663,285,205,731,653,435,292,788,693,553,642
"9",797,255,482,268,273,521,238,578,456,473,670,485,664,336,574,464,528,302,250,572,295,335,295,538,270,257,340,748,682,587
"10",430,444,374,462,558,489,335,566,521,753,601,245,418,688,419,219,764,633,466,319,576,779,469,539,755,329,570,616,655,446
"11",501,466,492,618,319,704,326,450,428,265,301,703,287,711,436,449,718,295,558,375,551,374,598,208,390,510,420,377,738,557
"12",417,229,483,286,588,710,311,289,722,332,594,677,672,250,379,238,358,298,298,674,211,506,230,623,547,716,617,729,603,728
"13",726,622,491,340,667,365,779,688,506,530,330,321,418,531,475,238,207,345,761,770,759,362,447,407,740,532,625,505,595,547
"14",655,361,397,355,221,349,525,461,362,631,765,223,710,556,410,660,512,474,788,375,703,493,733,786,342,565,507,343,799,736
"15",748,531,737,456,770,702,781,431,278,664,281,438,508,769,468,241,622,793,537,217,432,760,755,250,456,727,328,321,606,499
"16",665,799,702,721,509,524,712,666,367,401,781,247,459,747,663,738,588,702,539,679,459,721,334,331,601,457,543,209,393,667
"17",244,729,214,581,461,600,443,501,482,394,461,679,290,303,373,788,545,758,272,758,655,395,369,603,762,207,233,283,494,506
"18",706,613,389,703,268,608,404,266,223,430,300,518,456,437,468,480,542,554,319,689,239,465,663,718,799,445,372,537,272,417
"19",477,528,389,509,687,526,526,438,687,206,630,779,634,646,371,627,324,757,494,435,367,619,603,430,608,612,349,626,212,411
"20",421,273,487,462,495,471,484,241,658,212,382,633,483,662,340,610,506,379,787,296,745,330,748,237,618,613,335,629,775,744
"21",609,353,695,785,270,508,456,206,208,669,645,335,425,606,585,790,666,707,618,263,733,680,531,587,510,605,707,378,384,761
"22",385,248,673,797,245,410,261,340,486,417,559,455,782,305,614,741,354,208,650,571,717,567,355,531,418,460,749,612,433,242
"23",468,446,645,470,309,238,286,300,385,247,328,686,341,218,787,458,290,784,615,476,490,297,555,304,511,346,239,229,408,523
"24",244,702,676,340,515,503,585,688,592,386,344,303,480,786,409,468,663,250,607,551,521,567,291,498,793,608,347,349,295,309
"25",765,515,326,405,300,597,281,409,383,441,624,550,529,599,734,574,347,423,438,262,771,793,608,798,432,469,604,450,613,497
"26",416,308,311,652,549,694,498,784,387,439,322,710,728,679,220,669,408,325,588,394,765,769,627,499,337,388,598,622,332,581
"27",608,531,613,572,479,574,493,486,716,202,543,327,667,505,700,586,590,432,494,743,270,603,755,221,709,219,268,497,719,655
"28",403,217,346,520,765,669,542,460,680,455,515,650,614,515,415,499,624,406,759,425,332,573,292,245,482,338,467,234,488,592
"29",633,440,268,669,509,267,305,302,623,376,400,365,381,315,359,695,584,391,605,508,563,341,335,761,572,231,308,390,302,606
"30",375,275,764,391,662,795,664,244,309,771,462,251,484,505,657,484,242,379,351,682,435,358,217,491,783,273,674,761,304,539
