"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",22,26,20,20,12,22,30,18,15,13,11,17,21,14,12,16,19,14,32,15
"2",18,24,26,8,15,31,19,24,26,26,11,15,23,21,28,10,9,10,17,21
"3",23,25,27,25,29,30,30,32,12,22,16,16,31,13,17,18,14,27,12,12
"4",18,15,32,14,13,20,14,20,27,12,24,30,20,20,24,18,9,16,21,16
"5",9,23,16,14,14,20,9,31,17,14,24,17,8,23,14,14,32,16,13,30
"6",31,18,30,30,16,10,31,28,13,17,14,29,15,26,29,22,23,27,12,18
"7",8,14,30,15,26,20,30,9,28,9,27,15,22,14,17,14,26,13,21,12
"8",20,14,16,11,31,20,17,16,29,14,16,12,11,15,29,14,12,24,26,8
"9",16,30,23,21,26,10,8,19,22,26,16,29,20,13,17,13,28,24,23,26
"10",28,19,26,23,20,12,30,30,32,15,28,32,8,23,26,28,21,26,27,17
"11",22,28,23,27,17,18,32,28,18,26,29,29,17,10,16,15,25,17,26,25
"12",29,21,19,8,31,31,18,11,22,22,19,13,11,26,22,9,17,31,19,25
"13",21,30,22,12,15,24,20,17,21,21,17,21,19,19,19,22,12,20,20,16
"14",8,16,27,9,20,22,12,25,10,17,25,26,28,9,14,31,9,11,32,19
"15",23,9,30,20,31,11,16,29,15,31,22,10,31,26,28,22,22,9,18,32
"16",26,13,28,16,9,26,26,24,8,19,21,16,26,8,12,10,22,9,12,10
"17",17,29,14,30,20,31,22,10,11,21,11,9,10,32,31,20,30,16,27,15
"18",9,9,10,29,9,25,32,10,9,11,16,9,24,12,18,9,16,10,30,21
"19",24,26,8,16,16,22,8,15,13,14,8,22,24,14,25,31,31,10,19,23
"20",23,15,11,23,23,8,19,12,26,15,11,16,18,31,12,25,27,17,19,18
