"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
"1",13,16,29,22,27,26,23,16,32,31,11,26,22,32,10,16,30,15,14,9,26,18,17,28,18,22,29,23,31,20,27,23,10,29,8,5,13,32,18,13,5,24,18,27,35,24,33,6,10,23,9,20,35,20,20,20,12,5,30,10,24,30,10,15,20,29,20,6,6,24,7,19,28,5,29,7,22,25,11,13
"2",29,5,20,22,19,15,27,7,30,9,19,30,26,34,29,5,8,21,5,32,16,17,24,9,15,28,27,31,14,19,5,7,35,10,25,12,32,33,25,5,27,5,21,9,23,9,8,32,6,35,26,5,13,12,14,32,22,11,17,24,28,32,17,31,33,22,10,35,23,22,21,9,15,32,32,25,12,24,20,25
"3",13,29,21,17,25,19,14,35,17,11,30,5,26,20,28,20,25,34,21,25,6,17,9,21,23,8,31,35,15,35,29,25,16,28,5,8,29,29,5,7,18,9,18,17,21,11,20,17,7,7,34,24,13,5,12,12,28,14,28,13,7,14,18,22,20,23,30,22,32,28,30,24,14,32,19,13,13,32,24,25
"4",11,8,34,8,13,20,7,28,11,26,28,17,29,17,11,34,22,34,30,29,15,12,12,5,14,5,10,32,6,12,21,17,18,26,13,31,11,16,14,19,12,30,16,16,30,31,19,33,9,31,14,23,10,9,9,23,33,22,10,10,9,8,8,18,11,33,8,7,27,12,33,20,15,6,14,6,18,16,9,8
"5",22,5,33,12,23,20,25,23,11,17,27,8,28,22,6,16,22,10,27,12,20,31,7,24,10,9,28,11,25,13,28,19,33,28,31,22,5,20,35,6,24,12,24,7,18,30,30,18,35,19,30,11,25,35,12,12,35,23,5,26,28,30,24,18,31,21,6,5,30,5,21,7,21,8,29,20,22,29,5,13
"6",11,12,5,17,23,7,11,7,23,28,21,28,25,21,14,8,30,24,9,22,18,35,34,6,22,32,17,30,8,33,20,31,10,16,7,35,33,31,26,27,34,9,13,8,21,19,25,32,21,22,31,24,8,16,10,31,10,15,11,7,16,10,20,18,23,27,8,25,26,10,16,13,25,5,32,13,30,22,11,29
"7",10,30,26,8,11,24,31,28,17,20,15,19,19,34,17,15,30,21,34,17,20,26,20,26,23,8,8,29,34,16,30,21,26,22,9,8,26,27,27,20,18,32,20,32,17,21,19,5,28,18,22,15,17,19,16,21,23,8,14,16,34,22,28,33,11,14,26,10,31,20,23,20,24,33,17,35,35,23,27,19
"8",31,22,35,30,17,7,34,15,17,35,34,30,35,35,11,30,10,25,9,23,30,24,8,21,22,11,6,11,19,16,8,34,14,17,30,10,26,5,15,15,10,27,24,17,6,8,22,17,23,25,35,34,33,22,17,20,20,22,13,23,5,30,15,7,12,20,30,27,13,29,23,6,22,31,26,26,30,27,8,12
"9",10,26,32,15,26,25,12,7,32,5,8,19,22,13,16,28,21,12,28,22,25,12,6,34,33,18,8,22,17,16,10,21,6,19,28,35,27,21,7,32,19,23,17,5,30,23,5,21,7,15,14,13,8,14,18,19,7,32,33,34,18,28,23,18,35,10,20,32,24,32,25,8,6,11,28,34,18,8,22,6
"10",11,15,22,19,20,17,11,33,5,6,27,24,8,31,7,34,35,8,26,7,34,25,19,22,11,33,12,31,29,25,17,31,23,22,30,27,23,34,9,23,32,11,12,5,17,19,26,26,7,24,7,23,33,35,7,26,29,26,23,6,15,5,33,23,7,15,35,8,21,23,14,8,14,20,28,19,21,7,32,13
"11",28,9,5,31,5,27,32,21,6,28,6,20,22,21,29,20,16,16,8,18,9,34,25,27,16,35,13,26,30,32,21,23,20,32,19,9,21,17,11,20,31,30,24,19,26,13,7,33,31,9,16,16,13,27,12,10,13,27,23,23,9,21,14,26,28,15,25,19,21,25,12,18,11,32,32,22,5,29,22,22
"12",18,10,28,11,34,9,5,9,15,33,26,16,19,30,19,12,29,28,33,23,8,13,23,12,17,21,30,20,6,34,23,15,35,31,6,17,33,35,27,31,27,32,32,27,24,12,23,14,17,18,25,22,5,15,19,26,20,29,17,11,24,6,35,10,21,25,34,20,26,18,8,32,20,18,26,18,26,7,8,9
"13",30,19,12,12,21,24,16,5,35,19,24,25,23,5,11,30,31,27,16,33,14,20,26,9,19,27,23,6,10,19,10,20,15,26,35,24,34,31,11,20,8,34,22,22,25,32,19,26,33,30,34,29,29,8,18,27,14,25,12,22,34,12,7,35,33,20,19,5,25,25,17,18,17,25,35,25,31,11,11,16
"14",10,22,35,10,20,26,35,23,18,17,25,30,32,11,34,20,22,28,30,27,22,34,20,16,10,24,27,19,12,7,21,14,27,20,7,26,12,27,17,20,34,19,21,23,18,16,8,19,28,13,22,24,19,15,17,19,17,22,15,26,13,34,6,26,12,32,27,30,11,28,29,26,14,5,32,15,20,14,26,14
"15",10,9,9,23,8,16,9,22,14,27,18,21,25,18,28,16,34,26,8,15,29,7,8,28,14,6,12,29,9,11,8,22,24,15,22,13,9,21,20,27,14,32,31,26,33,19,22,20,22,16,34,9,15,27,22,6,7,8,13,35,6,24,7,28,23,11,12,23,19,9,24,16,19,10,23,17,22,26,27,7
"16",24,24,28,7,16,21,34,30,31,5,16,26,24,15,21,27,8,31,28,29,15,5,30,10,28,10,6,18,15,23,17,32,16,28,35,35,14,34,12,32,34,27,13,9,26,32,13,9,13,19,21,30,19,20,26,10,33,9,19,22,31,20,26,35,32,22,14,19,7,33,24,29,31,34,16,32,8,22,6,13
"17",35,25,17,28,31,34,18,23,29,13,33,23,26,8,12,31,16,21,28,28,34,34,16,16,34,29,23,21,13,11,21,35,32,33,17,34,23,35,6,19,27,32,26,5,20,32,32,7,10,28,28,31,13,33,28,30,24,16,29,35,17,10,10,11,12,21,14,23,24,5,14,9,24,6,35,32,21,13,33,7
"18",29,21,7,34,22,16,16,23,12,18,18,29,17,8,23,5,20,24,34,29,31,15,15,34,23,26,13,15,10,25,27,9,17,22,28,5,5,33,14,9,32,6,19,33,7,22,30,12,7,35,17,25,17,28,30,29,24,13,24,26,18,13,33,19,21,10,22,19,28,34,34,28,6,8,17,31,28,28,13,33
