"1",41
"2",26
"3",37
"4",15
"5",18
"6",43
"7",30
"8",5
"9",36
"10",20
"11",31
"12",17
"13",30
"14",37
"15",10
"16",32
"17",40
"18",43
"19",31
"20",43
"21",34
"22",14
"23",29
"24",26
"25",4
"26",4
"27",11
"28",9
"29",17
"30",25
"31",37
"32",20
"33",22
"34",17
"35",25
"36",16
"37",2
"38",40
"39",12
"40",31
"41",14
"42",13
"43",34
"44",27
"45",38
"46",3
"47",41
"48",35
"49",23
"50",32
"51",26
"52",22
"53",8
"54",6
"55",16
"56",5
"57",43
"58",40
"59",29
"60",38
"61",34
"62",34
"63",15
"64",7
"65",33
"66",25
"67",35
"68",25
"69",28
"70",35
"71",34
"72",18
"73",26
"74",34
"75",35
"76",26
"77",30
"78",3
"79",12
"80",38
