"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"1",254,369,415,784,686,556,535,533,385,286,453,680,765,576,736,541,690,486,331,241,374,730,595,272,389,674,269,537,274,744,669,221,512,658,508,455,534,491,604,670,323,650,237,337,265,450,744,473,509,584
"2",479,784,548,603,526,286,298,640,632,297,580,303,212,739,370,266,585,252,737,214,551,502,667,249,325,761,284,470,653,717,656,685,636,329,499,350,723,494,601,370,360,787,642,376,685,775,292,241,772,437
"3",263,797,518,236,467,799,210,537,379,560,435,451,372,465,351,656,753,620,506,597,456,308,331,439,797,310,793,620,389,687,618,649,548,375,491,271,219,270,297,605,775,691,273,790,609,716,350,490,702,617
"4",551,718,499,498,475,613,294,384,337,385,389,653,273,505,452,423,350,455,356,467,702,681,296,564,764,242,787,571,519,630,713,764,202,202,668,271,780,271,223,374,450,291,555,615,512,491,675,339,704,204
"5",354,361,651,775,231,577,596,769,523,337,403,647,357,380,474,307,238,672,627,756,272,333,356,724,797,653,305,469,232,798,567,554,796,643,596,223,788,517,391,521,593,464,202,667,781,577,730,336,241,205
"6",310,336,251,727,609,345,328,417,422,569,603,713,545,535,423,662,676,766,432,559,662,504,506,719,371,537,795,448,781,274,418,293,437,312,601,520,743,357,753,386,772,270,354,530,565,229,600,620,450,524
"7",411,605,250,629,303,466,242,311,239,333,302,271,754,781,698,397,369,553,420,584,265,588,634,575,573,769,679,427,222,269,680,569,258,602,581,631,246,446,295,369,504,586,666,271,253,777,234,335,205,509
"8",712,671,594,415,538,608,265,475,495,225,546,787,635,438,225,568,204,352,244,426,460,436,668,460,344,353,598,789,274,397,509,399,704,371,426,295,700,386,670,254,720,373,305,238,213,276,601,224,280,687
"9",738,346,351,222,500,427,392,392,657,638,241,234,283,596,263,202,470,283,735,507,400,729,382,239,650,463,508,466,587,591,585,521,614,664,494,586,461,372,559,741,465,322,500,387,420,311,613,766,768,321
"10",593,635,248,504,471,477,782,239,498,454,654,303,472,680,781,521,554,278,471,596,695,605,558,351,498,750,388,633,728,679,378,552,513,381,494,631,352,700,489,610,728,608,469,442,654,322,566,746,768,719
"11",572,499,257,266,235,235,308,596,347,260,341,502,751,719,468,283,595,377,749,632,378,441,799,335,682,331,509,489,770,596,506,303,549,727,635,404,528,573,315,377,230,342,278,326,496,766,719,485,696,279
"12",426,706,706,261,650,792,514,279,744,585,586,703,631,694,596,511,682,317,601,649,587,213,352,294,581,326,304,210,321,538,749,634,416,602,431,226,221,457,793,613,762,408,680,671,538,218,393,585,608,643
"13",437,576,618,485,538,464,558,240,506,286,788,574,453,240,445,398,563,379,361,733,608,786,404,208,426,674,795,470,313,553,204,324,267,327,528,356,367,356,613,201,743,624,309,389,510,681,629,306,553,363
"14",431,340,652,326,297,315,645,689,221,649,763,377,303,530,255,390,431,769,420,406,653,477,586,745,366,331,200,297,718,362,390,597,390,328,480,317,280,309,286,378,610,793,205,323,694,763,499,252,732,215
"15",455,520,503,559,769,681,689,442,407,733,248,422,281,209,535,550,366,375,400,793,325,434,776,631,716,755,429,319,427,203,682,768,318,334,693,646,731,328,405,427,273,704,483,740,364,361,536,209,331,444
"16",234,388,494,293,473,446,625,538,521,749,603,704,418,279,547,416,759,761,470,721,441,259,550,482,407,243,742,245,398,292,200,252,739,229,743,450,313,214,699,726,648,706,637,644,391,493,541,231,365,460
"17",205,355,236,516,534,357,678,343,216,507,728,274,777,749,599,673,358,713,649,750,595,297,328,470,644,288,762,365,705,747,558,325,689,641,739,788,268,402,592,759,243,455,327,445,262,235,482,409,672,206
"18",339,784,371,680,465,742,727,701,201,684,330,575,712,445,519,501,209,383,717,710,515,773,720,509,452,238,215,661,323,351,522,628,646,202,466,630,315,558,555,458,381,676,574,514,383,443,314,520,221,677
"19",246,240,708,376,253,693,500,215,217,730,498,609,219,274,452,330,779,800,461,551,383,715,308,750,282,462,795,339,624,596,257,596,656,660,330,268,694,287,551,629,491,391,339,253,582,645,730,408,436,635
