"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",25,20,33,31,19,30,5,11,8,26,22,12,18,35,30,19,14,9,23,10
"2",13,5,7,20,34,31,25,8,16,13,26,9,11,33,22,6,26,31,14,15
"3",20,23,25,11,11,27,7,10,27,33,17,30,29,33,29,21,33,15,28,22
"4",15,17,25,5,30,8,10,31,14,12,10,31,7,34,17,25,12,28,24,25
"5",14,25,20,28,14,10,24,14,14,9,21,25,9,16,18,11,19,20,20,20
"6",16,16,30,17,27,23,13,21,27,10,12,7,8,30,27,24,28,35,21,14
"7",32,18,24,19,29,33,14,32,7,24,14,21,26,26,12,32,6,23,13,14
"8",27,10,20,30,8,19,20,33,31,13,19,16,11,26,25,7,9,8,32,23
"9",18,24,12,14,12,9,7,8,30,11,14,12,14,7,12,18,25,33,23,25
"10",15,7,21,12,17,23,11,6,12,5,13,33,34,29,25,26,35,26,5,28
"11",28,19,18,35,20,30,6,15,14,23,30,23,14,20,21,11,19,28,28,7
"12",31,27,31,22,8,15,19,21,35,6,34,16,19,26,19,11,28,10,21,27
"13",31,8,34,7,13,19,15,34,23,27,17,15,32,29,6,19,18,14,15,29
"14",9,11,11,7,34,9,32,27,7,30,26,13,31,25,11,31,13,35,18,19
"15",27,29,28,27,12,32,34,17,11,21,7,23,35,6,24,14,13,30,26,35
"16",17,35,21,13,28,25,29,14,16,31,20,22,24,29,11,18,5,9,25,7
"17",13,15,28,5,28,11,25,25,31,25,10,7,17,19,5,28,27,10,18,25
"18",22,14,22,25,15,10,21,21,9,7,27,22,15,30,22,20,15,15,23,20
"19",19,21,27,24,16,30,19,33,23,12,25,22,10,30,27,32,30,33,21,13
"20",30,34,24,29,26,34,20,21,23,14,18,25,19,12,11,29,35,30,25,27
