"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1",5,20,8,18,9,27,29,22,22,27,26,7,31,29,29,16,7,13,22,15,22,14,19,9,35,19,16,5,10,35,7,8,10,22,18,34,29,35,24,12,22,11,11,8,26,14,23,23,5,20,13,12,31,19,9,27,7,7,14,25
"2",31,28,11,33,24,18,20,28,16,35,28,21,23,26,35,8,10,27,27,8,5,30,11,18,26,7,6,14,19,31,22,28,35,22,18,6,23,10,6,35,19,15,28,7,5,22,16,6,26,18,24,28,30,15,24,26,13,27,12,30
"3",5,11,9,6,15,19,21,14,10,18,33,6,19,27,6,16,15,29,31,22,32,33,28,29,6,20,33,8,18,14,34,19,23,25,25,21,35,13,10,26,16,23,32,24,27,25,28,17,30,31,17,30,25,21,34,13,16,34,24,25
"4",23,11,11,10,19,33,21,25,6,23,20,22,15,18,7,17,26,10,33,15,12,14,24,29,28,13,16,6,17,13,15,10,26,30,5,32,9,16,28,7,26,33,29,26,10,14,31,7,21,22,9,24,11,30,11,7,16,5,26,17
"5",35,26,9,18,34,19,9,32,10,27,5,15,6,27,31,34,30,30,29,23,28,27,19,8,31,19,23,32,9,27,20,29,31,20,20,23,6,15,24,12,33,23,15,20,13,30,9,19,25,13,23,21,25,21,5,10,10,30,33,23
"6",33,23,11,18,12,22,11,28,26,22,18,12,11,35,26,9,26,25,25,35,34,17,19,6,16,21,13,27,17,25,24,17,21,22,27,21,16,34,33,11,21,14,5,13,14,32,29,32,16,6,29,15,17,26,6,19,11,10,12,19
"7",23,17,35,13,21,32,32,10,35,8,24,11,33,33,18,14,13,24,6,13,7,20,22,25,13,35,24,8,27,35,32,33,11,16,11,24,31,6,22,31,30,8,23,8,16,20,29,29,22,26,26,22,30,30,7,26,31,16,27,35
"8",17,35,9,35,30,31,30,17,19,10,6,15,20,18,26,25,23,5,24,12,22,6,25,22,28,19,13,27,9,13,30,12,25,12,17,34,19,15,28,28,27,22,13,30,15,23,22,15,35,16,30,8,12,30,10,24,27,13,35,29
"9",21,13,20,10,28,20,19,21,26,34,13,28,10,21,33,23,15,16,8,17,16,20,16,32,11,34,29,21,23,32,30,30,29,27,32,21,33,10,28,24,34,13,17,22,11,15,23,14,25,18,14,29,9,30,7,29,14,11,8,20
"10",11,30,31,33,5,32,35,33,9,29,11,30,9,27,22,29,13,9,22,9,19,13,31,11,32,7,27,29,9,29,33,29,23,29,21,16,27,7,32,15,30,33,27,24,7,13,30,32,23,35,18,24,28,27,10,20,32,12,34,24
"11",20,34,23,25,28,35,34,14,28,34,27,35,24,23,16,35,33,6,29,8,8,11,21,22,20,7,23,32,6,5,30,9,14,33,25,30,31,28,28,10,8,19,11,30,6,32,20,23,16,11,14,22,12,30,29,25,12,28,17,26
"12",9,10,15,6,11,19,15,22,16,8,24,21,18,31,9,25,28,30,19,35,25,13,26,30,7,21,35,33,35,27,10,35,15,16,13,14,7,12,35,30,21,15,25,21,5,35,27,12,19,32,8,32,9,18,14,22,8,8,35,13
"13",22,10,7,11,7,30,11,35,21,20,18,8,5,32,8,12,31,33,25,11,35,5,25,8,10,19,21,28,26,31,30,22,26,19,19,18,29,19,28,11,11,34,30,14,13,18,19,32,31,30,9,26,9,24,33,7,15,8,30,8
"14",17,34,16,30,32,29,24,33,23,18,25,8,17,27,13,32,20,29,11,34,24,8,24,25,8,20,27,5,23,15,20,22,35,19,18,8,12,6,32,10,35,14,23,15,30,25,28,8,32,28,34,18,5,5,5,13,5,24,8,22
"15",12,12,5,11,29,7,31,14,19,29,33,20,15,28,28,29,22,29,14,18,9,27,13,25,30,10,5,12,18,6,7,31,27,20,16,26,18,33,29,12,28,26,24,17,18,27,30,15,11,29,14,8,27,35,21,24,6,35,10,23
"16",32,22,30,21,33,21,33,13,33,17,8,20,21,30,7,16,13,34,34,9,16,29,32,11,5,20,27,6,8,18,5,6,21,22,22,34,15,20,26,23,28,27,12,27,21,17,11,19,12,10,27,7,20,34,15,34,10,24,23,25
"17",31,11,17,6,9,27,6,19,12,35,25,32,32,23,22,27,35,23,27,6,24,13,30,16,12,25,27,13,22,23,34,24,25,25,26,8,27,6,27,34,13,24,30,13,13,16,5,31,10,14,28,30,7,28,34,21,12,21,16,17
"18",10,26,7,14,11,7,32,19,22,12,14,6,11,17,10,6,16,20,5,31,34,8,5,12,23,17,8,32,8,24,29,9,14,22,34,16,11,14,25,27,10,6,20,12,35,19,20,6,17,21,11,5,19,24,10,12,7,25,22,9
"19",28,16,17,8,23,34,30,11,20,5,13,11,33,22,29,20,17,27,11,18,12,8,5,20,11,9,16,14,8,26,22,23,21,10,24,25,33,21,11,6,21,17,11,13,6,33,5,26,7,29,15,30,27,32,7,8,21,33,12,22
"20",33,9,26,31,35,8,19,35,31,8,25,22,10,30,32,8,28,14,13,10,18,27,25,12,32,18,34,22,9,26,32,27,20,5,35,32,5,13,11,30,25,15,32,31,6,16,15,8,6,22,17,14,34,5,31,9,22,25,20,29
"21",22,6,33,13,21,9,18,15,35,23,5,13,8,30,32,15,14,30,19,10,35,10,11,34,28,11,34,34,12,27,35,30,12,12,19,27,16,23,23,8,29,10,22,9,24,5,27,33,33,11,22,13,32,7,34,29,32,34,21,17
"22",15,31,9,31,34,35,22,34,22,33,20,26,34,17,20,6,21,25,9,7,28,10,24,19,21,11,11,9,32,12,14,25,24,24,9,28,15,22,26,16,23,18,7,8,29,25,11,32,9,5,22,32,10,6,15,27,15,9,29,17
"23",31,26,35,7,27,17,26,24,13,31,28,19,29,27,22,20,25,29,29,9,10,31,23,5,23,9,23,33,14,15,8,17,6,35,6,17,14,25,7,16,26,29,10,32,35,23,23,22,25,16,28,21,35,5,6,21,13,24,20,19
"24",31,18,15,25,33,20,22,25,7,28,29,33,8,30,27,5,20,15,35,9,14,25,9,6,30,24,25,31,34,13,31,33,33,6,6,24,28,16,14,32,35,15,26,17,14,22,13,31,19,32,17,15,7,6,27,23,26,34,24,32
"25",16,6,19,13,7,16,25,12,7,17,17,22,10,9,15,31,12,27,15,19,20,18,5,20,8,20,30,19,20,30,31,16,32,13,13,5,6,24,5,8,26,15,29,23,11,8,35,7,24,23,20,12,15,11,19,26,27,19,7,15
"26",32,7,16,9,7,18,33,25,35,13,7,5,30,25,32,6,17,27,8,10,16,14,8,10,26,17,9,26,21,7,32,5,33,25,13,5,32,23,12,27,22,32,24,13,11,25,23,21,31,7,26,11,21,9,24,14,27,12,35,34
"27",23,14,25,14,27,12,17,27,13,27,16,7,19,20,7,28,8,17,30,24,28,30,26,17,32,29,6,9,25,23,30,31,18,8,30,6,35,30,12,9,17,30,32,35,22,6,32,10,14,13,12,28,32,22,12,6,29,28,13,26
"28",5,12,28,22,6,28,17,13,9,25,20,19,35,5,34,8,24,29,35,23,8,32,5,31,5,23,31,31,25,31,26,27,16,33,8,12,33,23,20,29,30,32,23,30,10,20,19,11,19,16,10,35,19,10,28,18,17,13,7,18
"29",14,22,19,15,32,9,13,11,26,33,20,12,32,6,35,24,5,16,20,28,30,9,31,29,33,34,8,33,15,8,28,14,8,24,17,8,34,18,13,20,33,20,9,11,26,31,6,29,28,35,19,6,22,34,10,17,18,12,11,28
"30",8,32,17,26,23,28,20,7,24,20,20,11,16,30,16,13,7,12,20,21,16,8,28,12,31,6,23,5,27,16,28,30,13,35,23,10,31,6,6,18,19,16,32,22,5,10,29,10,21,16,32,13,20,19,18,25,22,18,25,32
