,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,441,473,515,469,506,485,515,410,510,441,593,587,599,568,482,561,598,451,435,539
2,403,468,539,422,422,458,480,512,462,459,562,462,475,480,569,482,545,532,481,591
3,529,503,444,517,550,491,581,456,534,578,456,473,402,459,597,553,516,521,453,502
4,559,572,418,508,483,414,490,540,500,481,589,597,518,506,523,417,437,456,403,430
5,484,510,512,556,408,481,411,462,521,504,519,466,582,554,515,486,547,432,411,448
6,552,591,469,537,559,407,559,497,441,521,582,590,531,402,533,593,401,591,414,458
7,517,562,408,410,513,463,482,502,547,490,464,414,482,515,553,516,531,562,483,560
8,544,539,546,438,555,414,449,591,564,444,437,447,586,451,451,543,533,555,552,462
9,565,544,580,444,471,511,471,441,516,526,428,412,527,568,528,485,437,499,595,554
10,476,497,509,535,407,530,580,468,423,485,555,471,482,550,487,544,501,434,455,417
11,596,457,524,461,571,464,559,435,460,414,499,491,520,406,463,427,465,552,526,593
12,566,511,521,438,581,464,520,520,554,543,538,552,451,510,502,513,456,483,470,595
13,504,517,493,406,475,427,531,430,439,475,419,523,541,488,484,467,540,442,408,578
14,408,492,548,551,565,442,494,574,566,482,492,470,450,562,509,508,525,417,542,451
15,411,455,593,465,530,473,474,465,443,442,485,524,448,537,518,521,415,408,430,449
16,480,517,457,568,580,505,477,400,450,432,529,597,462,448,576,426,514,521,522,539
17,570,419,479,565,453,536,479,567,486,568,443,546,580,443,597,594,575,505,530,491
18,431,529,523,571,473,410,501,410,475,490,459,594,402,530,523,507,405,544,463,597
19,458,473,464,471,447,519,541,453,515,515,599,587,450,562,554,481,526,499,500,426
20,594,435,518,536,422,530,548,556,486,416,500,515,411,482,423,429,463,599,521,455
