"1",17
"2",10
"3",17
"4",34
"5",43
"6",43
"7",25
"8",25
"9",40
"10",22
"11",43
"12",35
"13",26
"14",15
"15",14
"16",9
"17",28
"18",34
"19",48
"20",27
"21",17
"22",13
"23",16
"24",17
"25",26
"26",25
"27",22
"28",18
"29",21
"30",4
"31",8
"32",23
"33",27
"34",36
"35",35
"36",4
"37",33
"38",15
"39",40
"40",15
"41",46
"42",3
"43",5
"44",35
"45",28
"46",5
"47",36
"48",43
"49",35
"50",43
"51",22
"52",1
"53",7
"54",28
"55",24
"56",48
"57",13
"58",39
"59",32
"60",3
"61",31
"62",44
"63",43
"64",9
"65",15
"66",29
"67",48
"68",15
"69",40
"70",37
"71",4
"72",22
"73",31
"74",11
"75",13
"76",5
"77",24
"78",38
"79",24
"80",16
"81",41
"82",3
"83",33
"84",43
"85",4
"86",43
"87",1
"88",28
"89",37
"90",36
"91",31
"92",34
"93",14
"94",28
"95",11
"96",27
"97",22
"98",29
"99",22
"100",48
