"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1",34,29,31,22,9,26,27,33,8,35,17,8,33,32,20,7,5,14,12,23,33,16,35,34,6,5,20,35,35,24,7,21,6,34,8,19,13,12,17,14,35,24,35,32,8,21,14,16,6,31,30,6,18,20,10,9,5,24,14,34
"2",11,30,23,23,5,28,22,32,33,25,13,11,14,17,31,13,25,29,29,19,17,17,22,26,32,21,6,5,31,5,20,35,21,23,5,7,22,32,27,6,12,8,34,31,27,28,14,32,10,9,9,35,11,22,21,29,7,21,8,21
"3",34,31,7,9,18,14,23,15,32,25,26,10,30,27,9,16,29,20,21,14,6,23,35,30,17,15,18,29,7,12,28,6,27,14,26,27,24,20,6,10,14,18,13,32,30,7,15,10,9,28,18,15,27,28,11,5,14,32,17,24
"4",31,20,27,15,34,31,27,25,11,6,31,19,6,12,11,31,29,31,30,22,17,20,14,7,5,11,8,32,15,7,29,8,11,28,14,33,14,35,29,28,19,19,5,29,13,20,29,30,12,11,22,26,17,6,27,33,31,6,24,14
"5",11,21,18,34,14,10,6,9,9,34,12,13,18,33,14,33,25,8,28,25,27,25,19,27,35,28,19,7,31,34,8,14,21,21,21,24,6,30,7,18,27,22,19,6,13,9,12,22,27,17,34,21,20,9,27,10,27,10,28,31
"6",9,31,21,32,21,30,18,23,28,11,15,10,34,35,14,27,12,31,23,6,13,25,23,28,12,30,18,16,10,25,27,21,35,14,16,34,34,22,20,12,7,35,33,34,17,16,35,35,21,22,10,33,30,11,10,13,25,28,9,31
"7",31,16,25,14,30,35,33,27,6,33,19,16,5,17,16,8,6,14,7,6,21,33,21,9,21,22,18,26,10,29,27,7,27,34,9,24,34,21,7,27,8,10,17,13,26,26,8,19,18,18,9,20,22,15,29,26,13,25,20,18
"8",32,13,7,34,15,7,32,22,25,22,20,22,27,17,16,19,34,20,22,20,18,27,15,31,18,15,16,29,27,27,8,5,15,24,30,11,33,10,8,11,30,7,32,8,25,10,13,15,5,11,14,25,25,30,34,18,27,18,8,35
"9",32,9,24,30,31,12,26,18,17,27,20,17,14,12,34,22,7,22,18,14,22,11,5,25,17,32,34,19,17,28,15,11,34,35,22,27,35,15,11,28,24,10,14,35,25,15,24,32,18,30,25,14,16,20,19,15,31,34,17,10
"10",28,19,15,34,14,34,10,10,22,18,20,29,9,11,16,18,9,35,24,35,30,5,17,31,25,15,22,25,24,31,26,15,23,35,26,35,27,8,32,16,14,18,8,26,22,26,8,24,9,33,14,20,14,27,14,32,22,12,13,22
"11",17,28,20,14,31,18,27,10,18,20,15,11,34,33,15,22,32,10,35,11,18,35,33,10,20,29,25,18,15,24,19,33,5,29,17,12,16,34,26,28,31,23,34,18,21,25,25,26,28,11,7,21,11,27,6,23,32,32,30,17
"12",5,19,31,28,26,35,13,26,27,28,19,29,34,6,34,24,19,10,7,19,28,6,9,19,9,18,31,34,10,5,9,25,13,14,7,33,30,11,29,10,23,30,31,7,18,14,8,6,8,18,34,15,27,17,10,7,21,12,6,6
"13",6,31,6,23,33,7,32,8,34,22,10,33,18,5,8,7,28,7,15,12,30,5,22,35,13,31,30,17,26,19,11,16,16,14,19,19,10,10,8,28,34,5,28,26,23,31,32,8,35,13,31,31,18,13,17,28,28,18,7,14
"14",26,20,16,6,18,6,18,17,8,14,17,20,31,16,28,33,21,35,34,30,27,35,23,30,29,25,24,32,22,17,9,31,32,9,6,35,33,23,11,17,6,15,18,14,25,17,25,14,33,33,22,7,20,10,15,13,8,5,29,13
"15",16,8,11,33,15,14,27,22,24,17,32,13,20,5,25,8,11,34,13,10,10,27,14,13,34,13,27,5,12,5,29,17,14,33,33,5,7,10,6,33,31,9,11,16,21,22,33,15,5,21,33,16,23,33,21,12,16,33,25,25
"16",6,8,5,17,30,8,6,6,35,25,31,24,21,12,10,12,18,20,35,23,5,26,8,12,22,14,25,26,10,26,35,10,22,28,33,5,23,23,31,13,11,22,9,32,16,26,19,35,24,26,26,16,21,29,33,22,6,12,12,5
"17",26,12,8,12,29,21,28,13,25,6,17,13,19,14,15,11,26,15,30,24,10,28,12,16,12,31,10,18,11,29,16,31,16,17,23,30,11,16,6,34,10,8,32,12,33,14,26,31,17,23,10,14,22,8,30,18,13,17,20,31
"18",12,25,20,12,28,6,8,5,5,17,10,8,30,21,13,19,21,34,10,21,26,33,16,28,32,26,22,29,5,13,7,14,10,28,20,30,27,15,10,21,11,23,10,10,20,31,14,29,29,9,28,10,6,27,9,21,18,21,10,27
"19",31,33,20,35,16,29,17,34,5,24,33,30,34,13,22,23,25,30,22,8,21,9,15,10,20,14,19,8,9,22,25,15,31,12,32,15,6,5,18,18,23,35,17,19,34,21,19,10,27,12,32,30,23,33,19,5,26,17,22,28
"20",17,30,27,11,16,6,34,23,7,10,9,23,33,15,33,10,18,20,12,34,25,35,26,24,17,21,15,7,25,13,35,23,34,16,32,30,10,28,20,6,14,25,6,27,14,24,30,24,13,30,7,27,25,9,28,16,14,35,16,10
"21",9,10,19,35,32,35,29,19,30,33,5,31,21,26,23,19,7,35,32,23,7,31,20,7,9,12,19,23,16,21,15,23,16,26,19,14,15,9,16,30,20,11,17,21,10,23,32,8,10,10,6,8,26,17,20,22,25,5,33,30
"22",22,26,26,32,26,34,17,10,33,11,15,25,13,33,20,33,22,13,15,29,20,6,7,25,17,20,23,14,21,32,6,22,34,16,12,21,16,23,35,13,19,35,18,11,27,22,31,29,22,16,16,25,5,22,22,35,23,17,35,9
"23",12,13,17,6,12,30,31,6,12,28,17,27,12,18,17,10,14,6,34,18,5,32,29,21,15,32,23,24,10,32,27,24,33,14,27,32,22,6,23,11,33,17,35,25,21,29,34,33,10,8,31,19,16,34,33,24,19,13,9,13
"24",15,29,18,15,24,15,26,7,35,25,28,8,31,25,7,10,30,17,8,19,13,6,29,28,23,25,24,12,26,21,27,30,9,24,23,14,15,33,10,9,26,32,17,17,27,33,23,23,31,35,33,32,11,22,9,33,25,14,28,24
"25",17,19,33,31,9,31,32,5,13,25,29,5,16,16,27,6,27,31,5,17,8,34,20,30,13,27,20,20,8,26,6,14,20,31,34,34,18,21,26,26,7,20,25,30,32,7,19,9,5,24,14,5,25,19,14,8,17,8,20,9
"26",10,16,7,25,14,21,20,22,30,32,25,25,13,21,35,5,7,30,35,6,21,30,16,21,25,14,15,12,33,6,8,35,10,30,19,33,16,33,29,30,22,33,33,29,21,35,5,34,19,15,13,35,12,25,18,26,26,28,33,14
"27",21,28,28,24,22,21,26,5,23,15,10,17,25,8,17,15,32,25,35,12,20,16,16,22,5,32,10,29,31,28,24,10,29,34,30,7,8,16,25,33,13,20,8,12,21,25,32,23,31,7,25,13,28,34,10,34,16,8,26,11
"28",7,28,9,28,5,6,20,24,26,12,16,20,20,27,10,32,13,32,18,5,5,31,24,11,10,18,15,18,32,30,31,14,23,17,12,9,22,15,5,16,25,34,33,18,26,17,12,32,21,27,30,34,5,17,10,12,31,27,22,11
