,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,25,14,34,46,45,48,11,26,45,16,20,12,11,17,19,11,21,24,32,24
2,10,47,14,20,41,37,42,39,13,15,40,35,17,26,32,38,32,17,49,37
3,22,42,38,21,46,12,38,28,31,20,22,42,42,37,40,48,35,39,49,25
4,36,20,41,38,44,10,37,47,12,31,46,48,34,32,49,29,20,43,30,44
5,34,33,30,14,34,32,41,19,39,33,32,42,49,14,14,38,45,18,11,17
6,37,43,29,29,33,24,43,22,50,41,39,17,42,47,19,25,14,46,44,33
7,21,42,18,28,26,47,14,17,27,16,13,11,39,25,36,11,45,11,22,17
8,44,32,19,39,37,41,17,39,48,34,24,34,49,10,30,28,44,46,48,11
9,26,40,14,38,43,18,36,38,43,26,34,24,38,48,27,16,17,41,48,21
10,15,46,50,43,28,18,29,26,24,42,26,35,41,34,12,30,40,27,12,12
