"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
"1",11,15,17,33,20,15,13,27,35,32,33,11,9,31,24,27,28,33,5,23,33,30,6,12,5,18,9,30,7,12,21,30,12,25,11,30,13,9,27,33,6,12,22,15,6,6,14,32,22,35,8,18,15,21,9,24,13,32,34,24,8,17,22,13,20,14,33,31,26,30,27,22,9,21,26,10,26,19,15,14
"2",14,35,22,29,30,35,28,11,9,27,20,28,35,7,6,23,33,26,21,16,12,32,24,27,6,11,24,13,23,28,5,19,17,9,23,32,11,16,31,7,28,20,22,28,23,6,22,21,9,33,31,13,21,8,9,34,24,18,20,18,29,30,15,35,19,10,5,11,13,15,35,26,21,12,28,15,28,13,18,28
"3",27,14,35,5,12,29,17,16,20,15,35,35,35,16,26,14,35,12,5,32,12,10,34,27,20,10,11,24,28,30,18,14,9,9,6,34,34,13,13,19,26,13,29,14,23,12,25,23,31,16,16,27,26,13,12,30,21,34,10,24,34,31,9,33,5,15,9,8,33,6,11,17,24,31,24,24,12,29,7,27
"4",6,25,5,16,33,35,13,18,34,28,19,17,35,35,20,33,9,34,29,19,25,19,6,8,7,24,27,14,9,12,21,16,6,27,24,14,15,11,24,10,33,22,10,6,12,30,22,11,31,18,29,33,18,33,10,27,28,35,9,31,13,18,31,16,13,26,14,25,26,16,22,19,17,9,33,13,10,9,31,22
"5",5,32,35,18,20,34,13,9,31,35,29,7,27,16,27,28,20,6,23,33,5,17,14,28,8,27,35,5,14,35,18,5,16,35,10,32,17,11,8,25,28,9,5,30,24,23,25,24,6,15,18,6,29,26,7,32,28,7,16,34,5,8,15,32,35,35,28,32,6,26,29,15,31,15,29,29,28,23,20,28
"6",30,19,35,30,32,10,24,10,14,25,24,29,26,29,35,18,16,30,8,20,27,8,6,19,27,5,12,17,10,35,14,5,32,31,7,6,13,8,13,18,17,9,20,8,35,22,12,21,5,29,5,32,9,20,21,25,13,12,11,34,20,35,31,7,22,18,9,13,6,24,28,25,33,11,9,6,35,35,21,19
"7",9,13,34,9,14,11,32,35,33,23,19,8,22,13,23,17,29,12,12,28,31,7,26,24,18,15,5,20,24,27,18,25,24,22,15,12,7,29,13,15,7,20,24,11,6,8,5,35,28,18,28,18,28,25,17,21,13,11,31,19,31,34,21,33,15,16,12,14,34,13,33,18,22,27,22,23,9,11,16,10
"8",18,33,13,19,28,35,34,5,25,32,20,31,15,28,29,35,23,16,17,35,25,23,16,18,8,17,14,5,28,18,30,31,10,5,31,26,22,19,10,9,17,30,17,7,5,27,34,18,6,21,24,28,15,33,32,33,35,16,5,21,6,28,33,27,10,17,6,30,11,34,35,14,28,26,14,34,35,31,25,17
"9",26,28,17,29,18,33,31,7,15,32,24,19,21,28,14,24,30,30,35,8,18,10,7,29,14,11,13,5,5,32,23,29,28,18,21,30,10,6,16,11,26,17,12,9,27,19,35,21,17,22,31,14,31,9,30,6,30,32,27,8,30,27,5,33,35,5,5,6,21,18,5,19,7,33,13,31,10,22,19,13
"10",24,24,10,27,35,30,15,8,12,9,34,20,17,32,20,35,25,11,34,15,14,9,25,21,9,11,34,32,7,18,7,12,28,33,8,7,12,22,30,27,5,15,5,29,19,11,13,33,13,24,25,18,34,29,26,8,25,8,32,7,32,13,8,31,29,33,26,24,9,26,21,10,21,15,20,22,23,32,17,8
