"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1",31,19,25,12,17,16,32,14,21,12,15,11,27,35,18,16,14,33,32,24,16,31,32,13,25,11,24,29,20,10,17,5,14,15,32,12,33,14,10,18
"2",19,7,34,28,10,30,35,9,5,19,10,34,7,16,34,31,18,9,14,19,15,21,34,13,12,18,9,24,16,14,11,15,16,18,26,20,24,10,6,7
"3",18,33,16,12,27,22,9,11,21,11,17,28,35,15,28,25,29,7,30,5,11,19,23,20,23,23,31,29,10,16,11,21,33,14,13,25,5,10,33,11
"4",34,26,6,25,11,12,5,19,25,13,32,14,25,27,28,21,10,26,24,22,27,12,16,28,28,31,21,6,23,35,29,12,32,28,29,20,23,6,8,20
"5",9,30,18,28,24,22,26,32,15,5,25,11,9,17,16,9,30,7,34,24,19,11,8,30,23,26,24,24,25,18,10,25,27,19,25,23,29,13,21,10
"6",12,10,28,16,32,27,11,7,25,20,14,16,33,20,25,18,17,31,25,12,11,34,32,11,33,29,5,19,19,34,15,15,32,12,12,22,15,15,17,13
"7",34,14,24,16,35,26,26,13,10,21,33,13,23,26,30,28,17,10,11,25,23,9,17,8,6,23,13,35,13,27,16,19,16,18,16,6,11,7,29,29
"8",34,16,33,20,27,6,24,10,17,12,6,32,11,25,28,7,35,11,18,35,16,17,5,34,35,10,18,24,32,27,32,30,11,7,9,9,27,27,15,17
"9",28,13,6,35,34,30,9,30,28,34,12,11,27,10,10,33,9,24,9,20,7,23,15,13,7,13,23,15,7,27,12,34,26,29,30,20,33,18,7,33
"10",10,27,7,24,5,8,13,8,23,19,30,5,31,17,6,29,35,7,31,12,23,21,31,8,31,8,22,14,32,22,15,8,25,31,16,20,29,8,17,30
"11",27,30,34,19,15,29,26,32,27,30,35,33,21,13,24,31,10,20,6,14,33,16,29,18,13,31,32,28,9,29,7,32,21,29,24,28,24,15,32,24
"12",27,8,14,12,19,31,24,32,31,7,18,32,12,8,5,12,13,27,33,18,17,32,28,32,23,35,21,22,18,23,18,8,25,19,13,7,15,26,15,7
"13",5,22,29,7,7,29,22,17,16,20,27,8,11,32,12,8,28,10,12,10,28,7,17,5,29,11,32,10,25,26,12,20,23,12,30,33,35,21,13,25
