"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",5,10,9,10,8,5,11,5,11,9,6,5,7,4,4,3,3,9,4,6
"2",5,8,7,7,6,3,5,5,10,11,6,6,7,11,7,7,6,4,3,5
"3",7,9,7,3,7,6,7,4,3,9,6,5,8,6,10,4,11,5,5,3
"4",9,9,4,4,3,6,6,10,3,8,11,11,6,11,11,7,3,5,7,6
"5",10,6,12,9,8,11,9,6,7,3,4,4,6,9,9,11,6,10,9,3
"6",10,10,5,8,5,9,11,11,6,7,9,4,3,9,11,8,3,10,7,12
"7",6,7,6,11,10,6,3,7,6,10,10,5,8,11,6,6,10,4,11,8
"8",11,9,9,11,5,6,6,9,7,9,4,5,10,11,11,7,6,4,7,7
"9",5,11,7,10,7,4,11,6,10,8,7,9,8,11,9,11,6,10,7,3
"10",7,5,3,6,11,4,8,7,5,5,5,9,11,10,4,7,3,7,5,3
"11",4,4,8,6,8,11,8,6,3,9,6,6,10,8,8,11,10,7,5,10
"12",11,10,3,9,5,6,5,11,4,11,9,4,4,8,3,9,10,5,4,9
"13",10,5,8,5,10,3,3,8,6,6,8,5,8,9,4,9,9,6,4,4
"14",5,3,7,6,10,5,9,10,3,7,3,7,6,9,3,7,8,8,4,6
"15",7,3,4,8,3,5,7,4,5,11,6,11,8,5,6,5,5,4,7,5
"16",11,10,6,12,5,11,9,11,10,10,4,6,9,11,9,3,7,10,3,9
"17",8,10,9,5,5,9,6,3,5,6,9,11,8,4,4,4,3,11,6,11
"18",4,7,7,7,4,10,4,10,4,11,11,3,10,10,9,3,4,11,4,10
"19",10,7,10,9,3,5,7,9,10,7,9,7,5,5,10,9,7,7,11,8
"20",9,9,5,6,7,11,6,5,6,4,5,3,10,9,4,8,10,8,4,3
