"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1",636,579,749,749,662,211,686,333,329,267,580,265,602,716,505,275,344,324,396,629,743,652,760,451,777,243,484,474,581,799,305,437,231,569,576,531,262,448,272,634
"2",274,274,404,212,795,344,775,398,260,430,698,358,628,209,603,409,680,366,793,431,368,516,204,598,388,223,323,755,389,652,556,504,709,241,475,377,553,240,284,234
"3",610,350,702,283,462,627,528,653,554,455,303,464,290,580,430,495,459,671,612,741,457,326,493,764,326,791,740,667,740,772,571,219,432,629,322,417,327,573,623,701
"4",765,733,475,415,237,767,543,276,658,389,674,277,589,649,729,514,509,258,303,282,292,209,736,790,231,704,458,613,676,505,573,642,717,311,460,334,257,470,622,404
"5",606,372,331,224,417,388,565,599,223,647,689,356,633,303,631,345,206,387,796,305,347,760,554,329,420,220,291,659,769,221,342,738,765,765,678,365,599,330,762,717
"6",784,759,517,712,630,647,332,518,793,780,519,570,639,461,655,791,723,613,410,547,553,797,758,273,687,626,764,381,749,281,452,560,484,661,797,389,750,484,407,330
"7",346,388,633,266,608,438,252,674,653,584,361,200,614,502,431,382,476,279,543,680,542,295,427,736,313,537,523,750,392,790,419,238,748,467,382,779,624,540,408,742
"8",443,777,650,548,235,582,531,656,217,739,382,653,725,357,536,334,611,321,221,544,295,673,710,460,571,589,598,361,273,290,301,240,253,441,335,326,380,383,623,714
"9",573,394,635,730,357,673,484,298,781,349,462,214,391,374,645,614,482,674,613,764,484,604,795,267,220,401,609,200,290,442,734,459,672,752,242,612,404,522,495,341
"10",207,734,396,702,460,355,679,602,471,473,434,234,463,269,555,694,202,345,332,704,232,285,231,420,534,667,273,465,454,262,676,514,654,792,369,619,366,725,266,350
"11",536,374,396,234,493,697,534,525,555,704,498,723,634,287,458,235,707,286,330,612,232,239,738,554,549,788,507,328,448,635,236,413,338,569,593,261,340,800,712,254
"12",779,430,629,501,492,757,269,745,255,445,396,331,486,705,276,222,700,217,670,292,528,376,732,739,407,764,586,257,219,366,614,399,274,682,345,777,453,759,782,695
"13",283,582,475,253,556,330,316,793,667,701,786,244,562,426,609,676,649,703,530,345,426,605,597,274,588,333,745,301,698,442,652,661,387,486,325,280,548,775,228,535
"14",302,712,800,696,617,367,699,484,350,532,363,515,533,257,328,707,478,380,336,408,604,254,511,300,430,661,350,752,361,573,525,745,637,248,704,201,293,258,520,762
"15",235,488,382,601,482,397,537,460,795,763,644,474,570,207,592,499,253,764,423,418,606,311,405,604,540,626,585,785,530,406,416,563,751,584,611,588,377,546,667,358
"16",281,571,238,367,245,615,725,650,250,563,724,530,253,246,756,229,690,249,207,709,232,792,621,510,462,323,206,332,717,730,359,389,320,497,445,373,273,469,316,748
"17",505,495,299,722,470,228,550,626,798,272,347,532,609,673,628,595,347,498,798,758,650,649,346,485,498,697,236,385,521,237,515,495,458,797,356,492,732,642,791,707
"18",587,767,570,629,210,783,496,521,734,764,454,228,319,510,359,657,327,243,712,397,704,291,526,221,752,569,632,698,678,629,250,641,328,692,225,381,750,561,408,330
"19",440,579,290,577,292,454,331,572,241,645,358,324,331,363,673,256,441,514,304,549,315,754,306,223,273,244,509,472,763,292,512,349,640,380,267,506,384,266,680,238
"20",625,239,678,498,537,406,249,611,731,515,399,324,727,624,422,245,627,365,256,306,406,509,789,301,370,693,387,670,491,580,252,261,613,744,215,518,792,303,292,461
"21",344,539,525,743,391,671,286,554,712,545,724,589,548,477,563,564,788,329,697,653,674,735,731,644,262,334,277,762,670,476,784,757,678,307,595,307,296,657,365,708
"22",662,676,264,750,390,253,531,284,547,570,427,560,787,602,475,527,468,279,437,540,201,386,736,357,413,596,590,359,678,589,408,604,619,400,533,602,730,797,704,435
"23",738,695,285,600,220,327,653,536,275,450,259,542,380,320,559,234,331,390,225,624,367,698,396,423,702,392,258,484,728,544,379,787,600,362,507,559,277,564,315,724
"24",564,495,320,698,277,208,238,470,219,307,457,640,447,571,481,660,697,473,323,261,225,294,543,533,238,519,712,409,591,381,745,537,312,437,586,234,561,516,273,259
"25",500,425,228,467,307,304,416,632,627,268,718,266,716,778,294,382,626,402,594,246,305,614,451,624,645,678,206,279,520,726,450,309,321,312,584,583,646,238,756,255
"26",236,381,612,676,511,258,420,726,625,512,778,324,789,223,546,483,496,219,464,682,779,281,757,434,637,541,238,415,211,648,454,645,735,302,424,357,722,218,421,780
"27",566,239,758,790,256,797,514,470,609,242,595,792,557,333,779,739,264,233,641,203,547,253,754,251,254,213,300,710,792,618,259,385,444,290,674,720,292,276,354,709
"28",791,530,769,480,727,479,305,776,663,428,307,601,646,684,383,501,249,360,431,599,616,690,722,554,519,207,680,256,270,688,553,663,799,302,626,321,778,561,212,669
"29",608,424,773,615,783,525,700,467,641,789,792,558,771,546,685,265,457,565,718,613,221,466,310,451,688,722,421,784,597,328,664,569,630,214,355,661,794,699,547,711
"30",697,412,460,678,767,515,426,239,739,771,743,756,334,618,200,216,487,273,484,376,522,405,247,337,610,479,678,657,625,230,743,302,584,369,700,600,252,286,421,651
"31",672,664,785,693,312,303,712,358,781,301,270,477,684,720,416,747,434,475,433,416,332,507,219,714,730,639,363,724,470,343,723,470,409,434,600,326,590,448,420,731
"32",329,356,511,531,751,534,761,768,542,464,759,503,393,762,221,464,315,687,515,429,399,213,408,496,363,386,306,288,512,654,213,268,562,734,464,427,239,244,705,281
"33",753,742,750,442,246,735,656,420,329,697,437,738,667,586,529,294,672,575,349,479,447,510,557,334,798,278,319,519,234,519,243,711,236,262,429,222,588,698,744,613
"34",511,316,653,424,757,569,253,686,766,573,646,664,585,714,599,201,596,640,651,404,785,392,716,732,569,701,781,561,502,597,504,471,264,481,245,534,655,692,434,374
"35",711,299,243,765,623,693,346,340,434,528,535,487,532,399,689,562,279,251,431,271,326,258,474,308,488,390,743,466,688,528,612,776,526,709,634,260,423,409,235,622
"36",403,258,349,389,370,382,704,442,247,771,736,722,279,380,735,776,517,247,686,401,774,500,241,617,208,699,666,294,528,700,334,652,626,234,458,483,387,401,302,300
"37",788,315,724,721,684,394,709,697,321,658,231,334,624,334,465,449,279,749,432,655,417,477,595,323,549,323,726,439,205,478,427,372,311,637,665,746,774,238,305,460
"38",367,777,724,469,347,605,539,510,722,565,383,708,591,733,284,467,514,796,430,368,785,252,735,608,549,233,276,227,203,726,524,425,242,764,577,536,213,646,493,749
