"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1",26,24,31,31,27,8,29,14,13,11,24,11,25,30,21,11,14,13,16,26,31,27,32,19,32,10,20,20,24,33,12,18,9,24,24,22,11,18,11,26
"2",11,11,17,8,33,14,32,16,10,18,29,15,26,8,25,17,28,15,33,18,15,21,8,25,16,9,13,31,16,27,23,21,29,10,20,15,23,10,12,9
"3",25,14,29,11,19,26,22,27,23,19,12,19,12,24,18,20,19,28,25,31,19,13,20,32,13,33,31,28,31,32,24,9,18,26,13,17,13,24,26,29
"4",32,30,20,17,10,32,22,11,27,16,28,11,24,27,30,21,21,10,12,11,12,8,31,33,9,29,19,25,28,21,24,27,30,13,19,14,10,19,26,17
"5",25,15,13,9,17,16,23,25,9,27,29,15,26,12,26,14,8,16,33,12,14,32,23,13,17,9,12,27,32,9,14,31,32,32,28,15,25,13,32,30
"6",33,32,21,30,26,27,14,21,33,32,21,24,27,19,27,33,30,25,17,23,23,33,32,11,29,26,32,16,31,11,19,23,20,27,33,16,31,20,17,13
"7",14,16,26,11,25,18,10,28,27,24,15,8,25,21,18,16,20,11,22,28,22,12,18,31,13,22,22,31,16,33,17,10,31,19,16,32,26,22,17,31
"8",18,32,27,23,9,24,22,27,9,31,16,27,30,15,22,14,25,13,9,23,12,28,30,19,24,24,25,15,11,12,12,10,10,18,14,13,16,16,26,30
"9",24,16,26,30,15,28,20,12,33,14,19,9,16,15,27,25,20,28,25,32,20,25,33,11,9,16,25,8,12,18,31,19,28,31,10,25,17,22,20,14
"10",8,31,16,29,19,15,28,25,19,20,18,9,19,11,23,29,8,14,14,29,9,12,9,17,22,28,11,19,19,11,28,21,27,33,15,26,15,30,11,14
"11",22,15,16,9,20,29,22,22,23,29,21,30,26,12,19,9,29,12,13,25,9,10,31,23,23,33,21,13,18,26,9,17,14,24,25,11,14,33,30,10
"12",32,18,26,21,20,32,11,31,10,18,16,13,20,29,11,9,29,9,28,12,22,15,30,31,17,32,24,10,9,15,25,16,11,28,14,32,19,32,33,29
"13",11,24,20,10,23,13,13,33,28,29,33,10,23,18,25,28,27,29,22,14,18,25,25,11,24,14,31,12,29,18,27,27,16,20,13,11,23,32,9,22
"14",12,30,33,29,26,15,29,20,14,22,15,21,22,10,13,29,20,16,14,17,25,10,21,12,18,27,14,31,15,24,22,31,26,10,29,8,12,10,21,32
"15",9,20,16,25,20,16,22,19,33,32,27,20,24,8,25,21,10,32,17,17,25,13,17,25,22,26,24,33,22,17,17,23,31,24,25,24,15,23,28,15
"16",11,24,10,15,10,26,30,27,10,23,30,22,10,10,31,9,29,10,8,29,9,33,26,21,19,13,8,14,30,30,15,16,13,21,18,15,11,19,13,31
"17",21,20,12,30,19,9,23,26,33,11,14,22,25,28,26,25,14,21,33,32,27,27,14,20,21,29,9,16,22,10,21,20,19,33,15,20,30,27,33,29
"18",24,32,24,26,8,33,20,22,31,32,19,9,13,21,15,27,13,10,30,16,29,12,22,9,31,24,26,29,28,26,10,27,13,29,9,16,31,23,17,13
"19",18,24,12,24,12,19,13,24,10,27,15,13,13,15,28,10,18,21,12,23,13,31,12,9,11,10,21,19,32,12,21,14,27,16,11,21,16,11,28,10
"20",26,10,28,21,22,17,10,25,30,21,16,13,30,26,17,10,26,15,10,12,17,21,33,12,15,29,16,28,20,24,10,11,25,31,9,21,33,12,12,19
"21",14,22,22,31,16,28,12,23,30,23,30,24,23,20,23,23,33,13,29,27,28,31,30,27,11,14,11,32,28,20,33,32,28,12,25,12,12,27,15,29
"22",27,28,11,31,16,10,22,12,23,24,18,23,33,25,20,22,19,11,18,22,8,16,31,15,17,25,24,15,28,24,17,25,26,16,22,25,30,33,29,18
"23",31,29,12,25,9,13,27,22,11,19,10,22,16,13,23,9,13,16,9,26,15,29,16,17,29,16,10,20,30,23,16,33,25,15,21,23,11,23,13,30
"24",23,20,13,29,11,8,10,19,9,12,19,27,18,24,20,27,29,20,13,11,9,12,22,22,10,21,30,17,24,16,31,22,13,18,24,9,23,21,11,10
"25",21,17,9,19,12,12,17,26,26,11,30,11,30,32,12,16,26,17,25,10,12,25,19,26,27,28,8,11,21,30,19,13,13,13,24,24,27,10,31,10
"26",9,16,25,28,21,10,17,30,26,21,32,13,33,9,23,20,20,9,19,28,32,11,32,18,26,22,10,17,8,27,19,27,31,12,17,15,30,9,17,32
"27",23,10,32,33,10,33,21,19,25,10,25,33,23,14,32,31,11,9,27,8,23,10,31,10,10,9,12,30,33,26,10,16,18,12,28,30,12,11,14,29
"28",33,22,32,20,30,20,12,32,28,18,12,25,27,28,16,21,10,15,18,25,26,29,30,23,21,8,28,10,11,29,23,28,33,12,26,13,32,23,8,28
"29",25,17,32,26,33,22,29,19,27,33,33,23,32,23,28,11,19,23,30,25,9,19,13,19,29,30,17,33,25,13,28,24,26,9,15,27,33,29,23,30
"30",29,17,19,28,32,21,18,10,31,32,31,31,14,26,8,9,20,11,20,15,22,17,10,14,25,20,28,27,26,9,31,12,24,15,29,25,10,12,17,27
"31",28,28,33,29,13,12,30,15,33,12,11,20,28,30,17,31,18,20,18,17,14,21,9,30,30,27,15,30,19,14,30,19,17,18,25,13,24,18,17,30
"32",13,15,21,22,31,22,32,32,22,19,32,21,16,32,9,19,13,29,21,18,16,9,17,20,15,16,12,12,21,27,9,11,23,31,19,18,10,10,29,11
"33",31,31,31,18,10,31,27,17,13,29,18,31,28,24,22,12,28,24,14,20,18,21,23,14,33,11,13,21,9,21,10,30,9,11,18,9,24,29,31,25
"34",21,13,27,17,32,24,10,29,32,24,27,28,24,30,25,8,25,27,27,17,33,16,30,30,24,29,33,23,21,25,21,19,11,20,10,22,27,29,18,15
"35",30,12,10,32,26,29,14,14,18,22,22,20,22,16,29,23,11,10,18,11,13,10,20,13,20,16,31,19,29,22,25,32,22,29,26,10,17,17,9,26
"36",17,10,14,16,15,16,29,18,10,32,31,30,11,16,31,32,21,10,29,16,32,21,10,26,8,29,28,12,22,29,14,27,26,9,19,20,16,16,12,12
"37",33,13,30,30,28,16,29,29,13,27,9,14,26,14,19,18,11,31,18,27,17,20,25,13,23,13,30,18,8,20,18,15,13,26,28,31,32,10,12,19
"38",15,32,30,19,14,25,22,21,30,23,16,29,24,30,12,19,21,33,18,15,33,10,31,25,23,9,11,9,8,30,22,17,10,32,24,22,9,27,20,31
"39",21,32,16,24,32,10,13,16,10,33,17,22,32,21,31,16,21,18,20,12,10,19,32,28,29,23,27,31,12,12,23,10,29,28,16,9,21,20,30,14
"40",25,18,26,32,31,18,21,23,12,33,10,15,10,17,26,14,25,32,27,9,20,9,11,33,12,31,27,29,15,31,27,10,27,23,10,18,23,17,23,21
