"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",426,567,258,564,671,490,215,255,591,720,729,765,634,515,204,426,793,228,655,497,621,577,229,730,596,690,498,219,439,335
"2",312,683,225,307,207,593,500,413,408,623,435,723,259,298,239,339,282,643,731,695,734,521,624,364,240,400,366,661,652,797
"3",523,612,790,205,603,412,458,769,478,214,480,353,477,379,765,613,709,241,668,416,473,295,725,308,642,792,478,209,239,275
"4",212,275,683,581,765,325,269,722,607,795,329,580,605,500,251,525,436,654,525,249,749,505,524,319,792,716,486,717,205,370
"5",530,432,439,711,586,767,333,800,613,661,702,363,525,368,624,722,250,660,573,444,537,412,464,241,549,410,264,501,742,222
"6",440,586,421,724,300,464,384,747,765,252,429,695,297,244,564,573,328,792,410,415,498,311,514,466,331,566,511,368,411,415
"7",708,616,664,648,627,556,386,231,458,727,312,710,308,242,573,569,459,416,404,206,451,514,582,746,794,799,535,389,448,461
"8",234,256,484,203,677,725,394,433,795,380,734,336,518,371,622,420,755,200,397,574,628,380,370,610,392,713,345,254,350,203
"9",468,484,645,641,344,576,493,476,552,697,274,558,481,402,764,531,586,358,439,337,739,577,703,731,263,536,204,623,483,731
"10",780,588,696,441,290,633,477,662,731,222,432,646,368,399,628,552,411,770,633,566,297,308,298,238,623,737,581,283,456,480
"11",318,207,743,412,387,463,613,455,382,300,475,716,668,360,670,332,530,721,314,419,696,222,485,578,726,627,677,254,566,594
"12",781,562,311,606,313,724,407,551,505,210,309,532,275,657,679,648,253,430,318,585,364,754,408,751,716,340,321,637,504,431
"13",473,567,322,453,260,216,430,257,387,546,453,275,449,591,662,324,584,410,756,728,348,705,774,684,362,438,476,240,564,472
"14",295,415,544,683,785,583,768,355,523,239,680,785,508,360,563,653,655,398,519,479,322,249,525,438,765,410,594,728,614,541
"15",388,252,563,619,208,349,354,429,494,563,288,760,431,531,200,393,644,577,689,450,377,668,523,698,407,394,481,251,324,532
"16",284,549,501,490,255,345,738,355,669,286,730,377,576,509,655,430,714,236,227,533,343,425,383,340,321,365,301,529,331,273
"17",562,404,267,395,552,440,389,472,733,446,472,673,248,536,727,670,325,371,307,599,595,432,609,650,543,508,643,216,739,273
"18",361,634,589,478,277,455,682,299,785,795,355,522,419,264,428,601,634,688,545,708,723,637,511,439,370,334,569,560,410,239
"19",655,232,624,691,357,732,710,722,683,572,302,258,722,635,727,669,734,732,795,696,347,751,781,298,716,487,603,297,244,326
"20",481,640,642,722,553,469,724,721,637,265,495,563,782,297,252,420,492,717,228,513,750,635,664,591,637,690,375,766,723,791
"21",594,421,621,381,637,567,703,395,526,445,701,720,259,201,753,349,466,557,751,370,577,413,614,503,616,737,271,481,319,316
"22",750,697,289,412,445,451,748,709,439,670,423,345,218,420,344,614,500,228,211,675,558,463,647,355,797,707,623,387,399,619
"23",429,578,344,476,757,595,252,254,369,308,301,674,541,470,675,607,692,527,285,700,782,275,594,799,390,202,747,512,207,700
"24",616,525,420,276,345,363,756,560,476,381,327,615,500,476,740,683,719,654,217,202,324,269,800,211,472,564,561,500,518,477
"25",764,585,367,752,550,272,396,370,600,338,798,391,705,788,279,233,634,427,593,782,205,790,550,796,760,319,490,682,313,563
"26",716,360,729,308,436,562,333,514,353,312,651,431,696,715,613,610,405,483,482,217,678,518,546,748,509,623,601,251,507,779
"27",489,303,412,587,672,604,513,373,743,399,707,355,711,607,670,230,250,780,396,649,303,695,288,549,210,675,667,276,590,466
"28",203,442,330,288,772,784,343,245,683,541,469,787,384,207,627,475,443,721,303,475,636,246,417,281,307,608,405,539,239,396
"29",467,349,230,366,794,452,509,324,400,304,281,751,573,783,693,211,604,400,473,305,772,703,285,653,355,268,321,622,474,335
"30",510,743,590,357,226,606,609,757,433,217,370,465,580,308,458,669,489,203,290,614,729,659,629,379,574,649,239,560,259,790
