"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",389,322,414,481,211,220,579,329,265,350,547,283,312,237,548,303,490,427,220,487
"2",563,586,293,315,305,338,589,329,555,447,402,273,537,550,359,405,598,471,292,506
"3",241,278,581,351,581,200,310,268,312,495,503,292,537,544,266,292,508,244,231,450
"4",441,246,598,595,326,467,582,327,477,337,492,290,332,402,466,425,588,600,440,484
"5",352,576,529,560,243,500,334,589,568,403,201,500,478,203,329,223,532,424,489,256
"6",433,469,376,214,366,480,520,358,365,477,297,462,266,458,360,361,274,535,375,277
"7",217,292,557,307,270,294,599,293,522,456,588,409,276,568,463,337,449,414,252,273
"8",359,406,582,301,215,351,527,510,257,317,385,406,435,579,345,532,228,223,544,346
"9",587,449,446,234,215,516,281,364,433,229,593,430,391,586,308,506,549,515,565,228
"10",326,567,216,225,441,344,581,201,545,550,399,218,520,530,360,296,379,380,564,586
"11",447,471,274,546,476,317,491,508,537,212,268,324,421,269,546,463,255,446,262,541
"12",382,500,323,200,366,426,228,585,281,595,592,319,504,464,491,599,519,550,441,440
"13",448,330,276,366,289,541,227,545,331,200,445,398,232,323,521,278,288,595,399,367
"14",408,368,457,580,406,418,346,453,533,452,595,575,407,330,355,328,258,412,268,399
"15",369,317,285,232,550,426,552,533,294,301,392,518,378,558,529,504,426,578,543,363
"16",272,495,290,356,491,370,364,494,330,415,482,428,554,264,385,251,551,477,279,243
"17",403,300,265,398,581,293,236,589,260,479,302,235,343,340,436,557,460,561,588,368
"18",228,201,535,328,246,556,573,577,382,381,310,323,450,579,514,296,563,200,472,241
"19",202,596,509,301,395,467,552,382,342,364,333,201,567,552,268,588,386,583,569,469
"20",402,434,417,276,553,352,584,217,339,596,558,569,330,244,525,294,261,291,275,475
