"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",33,18,25,14,12,15,29,7,11,29,21,12,18,23,33,34,5,23,17,15
"2",11,23,27,21,35,23,26,8,31,18,14,11,23,15,27,6,24,7,20,34
"3",29,10,14,35,8,25,26,19,14,12,22,9,23,13,24,12,29,24,34,9
"4",19,26,18,24,11,26,34,10,18,31,28,35,5,9,7,19,27,28,26,22
"5",28,24,18,32,26,12,35,9,28,6,22,17,34,29,31,24,7,26,22,22
"6",6,27,15,17,28,17,9,19,15,22,10,9,25,23,20,8,29,24,35,31
"7",13,24,34,21,8,32,19,24,17,13,35,30,32,33,9,8,27,15,30,31
"8",20,24,24,6,32,28,13,26,10,30,11,6,16,17,6,7,22,16,16,34
"9",34,14,11,28,28,30,29,8,33,11,30,28,35,35,20,8,18,27,32,15
"10",25,32,20,13,28,15,18,6,23,7,24,35,29,15,34,22,14,5,24,8
"11",13,8,22,27,19,24,12,28,6,29,6,18,18,14,32,30,11,17,15,30
"12",29,5,15,17,27,20,9,30,34,15,12,31,20,6,11,14,26,10,17,23
"13",22,13,27,23,7,22,6,18,6,23,24,34,12,10,25,24,12,10,24,14
"14",31,28,21,28,17,27,8,13,5,14,19,12,13,5,17,12,19,33,14,11
"15",30,20,23,33,27,33,27,24,19,12,9,20,24,10,22,9,31,18,19,21
"16",33,8,20,26,30,14,15,16,23,18,35,26,21,29,29,12,21,29,12,26
"17",30,25,35,15,16,9,13,33,6,16,25,30,24,25,13,5,17,29,32,32
"18",13,18,35,25,31,29,35,24,17,5,24,25,32,29,27,30,17,8,5,27
"19",6,27,20,26,8,29,24,30,28,9,9,19,11,10,15,31,23,34,12,34
"20",20,11,33,15,28,16,25,25,32,18,8,29,5,5,25,21,28,32,32,34
