"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",708,701,200,617,747,727,445,239,507,356,773,560,682,720,328,712,499,768,268,388
"2",390,351,669,608,294,701,222,492,595,391,304,726,591,276,389,761,750,705,609,377
"3",766,776,400,491,404,295,486,508,250,576,360,670,587,376,260,440,652,566,800,373
"4",403,690,279,375,384,233,666,310,681,538,461,658,662,460,607,728,551,508,424,220
"5",274,242,744,345,586,680,273,635,788,547,465,300,440,222,299,735,361,676,757,699
"6",455,569,551,783,350,210,775,474,624,539,680,762,385,211,232,316,482,756,437,719
"7",473,713,535,567,204,766,786,581,711,245,683,473,635,383,334,646,473,565,604,485
"8",483,560,384,547,544,296,335,379,388,619,537,381,621,560,215,302,490,363,493,398
"9",332,555,726,672,309,688,291,703,673,289,294,433,633,377,631,353,340,625,427,674
"10",799,415,233,214,517,780,781,294,624,504,715,342,676,558,525,283,440,776,696,713
"11",793,203,681,652,420,784,796,264,448,459,434,261,428,728,782,400,248,604,796,765
"12",577,741,764,450,445,689,635,211,519,438,499,711,563,609,745,679,440,697,391,636
"13",232,235,287,377,746,237,547,771,703,722,550,225,361,209,637,743,288,209,623,537
"14",682,217,534,635,229,549,339,715,439,645,265,216,482,728,759,547,581,752,456,489
"15",255,386,368,280,350,263,493,551,485,493,691,203,248,240,254,361,208,322,779,451
"16",211,741,774,430,650,594,510,359,577,689,633,765,794,625,471,534,358,661,312,651
"17",598,509,364,673,616,734,452,607,520,508,384,581,481,337,582,491,699,343,558,721
"18",565,651,395,313,494,686,541,628,243,688,471,522,394,455,661,781,306,646,252,226
"19",525,226,404,347,242,483,291,775,510,746,436,800,677,565,450,498,421,418,443,348
"20",511,387,282,235,726,523,778,313,516,253,351,405,615,682,291,625,308,239,351,390
