"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",25,25,7,22,27,26,16,8,18,13,28,20,24,26,12,26,18,28,9,14
"2",14,12,24,22,10,25,8,18,21,14,11,26,21,10,14,27,27,25,22,13
"3",28,28,14,17,14,10,17,18,9,21,13,24,21,13,9,16,23,20,29,13
"4",14,25,10,13,14,8,24,11,24,19,16,24,24,16,22,26,20,18,15,8
"5",10,8,27,12,21,24,9,23,28,20,17,10,16,8,10,26,13,24,27,25
"6",16,20,20,28,12,7,28,17,22,19,24,27,14,7,8,11,17,27,15,26
"7",17,26,19,20,7,28,28,21,26,8,24,17,23,14,12,23,17,20,22,17
"8",17,20,14,20,19,10,12,13,14,22,19,13,22,20,7,11,17,13,18,14
"9",12,20,26,24,11,25,10,25,24,10,10,15,23,13,23,12,12,22,15,24
"10",29,15,8,7,18,28,28,10,22,18,26,12,24,20,19,10,16,28,25,26
"11",29,7,24,23,15,28,29,9,16,16,15,9,15,26,28,14,9,22,29,27
"12",21,27,27,16,16,25,23,7,18,16,18,26,20,22,27,24,16,25,14,23
"13",8,8,10,13,27,8,20,28,25,26,20,8,13,7,23,27,10,7,22,19
"14",24,7,19,23,8,20,12,26,16,23,9,7,17,26,27,20,21,27,16,17
"15",9,14,13,10,12,9,18,20,17,18,25,7,9,8,9,13,7,11,28,16
"16",7,27,28,15,23,21,18,13,21,25,23,27,29,22,17,19,13,24,11,23
"17",21,18,13,24,22,26,16,22,19,18,14,21,17,12,21,17,25,12,20,26
"18",20,23,14,11,18,25,19,22,8,25,17,19,14,16,24,28,11,23,9,8
"19",19,8,14,12,8,17,10,28,18,27,15,29,24,20,16,18,15,15,16,12
"20",18,14,10,8,26,19,28,11,18,9,12,14,22,24,10,22,11,8,12,14
