"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250"
"1",7359,11156,5801,9385,10559,13543,11994,9371,5810,11829,12261,6819,13077,8449,14218,12295,6564,14959,12651,5277,9757,5747,11716,7686,9339,14969,12228,7149,13922,14469,13007,8326,6163,7063,6805,10256,6539,5034,10785,9221,10240,14937,13859,5671,5265,13724,12496,8719,8095,7289,13845,13809,8801,9562,13358,8138,8007,6235,12055,13206,11297,10797,13281,11119,14716,11539,14738,14204,13411,5954,8104,11496,6936,6104,7326,9170,8616,13695,6348,10821,14203,11615,7512,7646,5523,6227,6126,14146,7589,5584,7579,13947,13718,14434,12778,13333,9522,11105,11364,11144,10309,13345,8464,14004,10704,13890,9290,9641,7721,12222,5024,7382,5698,9449,5418,13963,6316,12359,11849,8010,10672,9580,6772,5428,10007,10218,7159,5920,11145,12956,10496,13935,14836,11099,5947,13712,8258,10332,9885,7657,13573,10919,14829,9503,8959,9538,11793,9485,6700,11316,5294,14260,9548,6686,13207,10184,13494,10511,8750,8547,5412,7248,8021,13621,9272,10819,9312,10216,14102,13786,10460,11567,9836,5041,6051,13116,11312,11981,12019,12305,10429,6228,5888,10036,14033,5082,11849,7737,8538,6634,14551,12127,7748,11505,10107,13165,14422,11656,14797,13991,6455,13671,5745,14658,5128,10189,11126,12086,5248,6247,12010,10983,10735,10462,5628,13750,11924,5226,9628,5597,12842,7336,10573,5839,14921,8377,6375,5018,9408,6812,10754,14716,11998,12664,10757,6343,8265,11334,7437,5400,13154,12234,13561,10417,7339,9427,9081,5930,14701,5768
"2",10827,12713,13613,7990,13132,8832,14809,14565,7244,12191,9008,5480,10088,5206,7958,5463,11181,11154,13074,8467,8479,9123,6668,9561,9140,7359,7937,14607,5601,10731,5305,12616,13373,6859,7047,7734,6293,8686,6015,6782,9212,10140,11559,12934,12006,9500,12659,14993,12529,12237,14187,13389,14376,10065,11299,5226,6140,8436,10469,8591,5465,5637,10170,9252,5788,14219,6776,11325,10948,9347,6316,7925,9022,7094,6200,10366,5937,9976,6515,14638,8711,9368,6718,12195,5163,14219,6814,13873,11294,14045,8894,13710,7760,9539,8615,10146,6173,14526,11676,7323,12902,9524,11024,8222,10831,9900,11790,5707,5585,13585,10963,6862,11280,10291,5225,13122,6817,11475,12855,8529,11131,7236,13374,14464,13831,5606,5924,11746,8977,9971,12584,14246,8684,9158,7609,13003,12576,11559,13419,5081,9717,6585,8652,10812,11706,10377,12634,7844,12200,8759,5200,6235,11334,9577,10486,6422,10007,13453,10532,12893,10278,8704,12503,11906,12174,13865,13650,8487,7630,13183,12904,10064,7094,13289,7160,13104,11595,6371,6609,10178,13126,14680,6632,9152,12518,14654,8345,14891,9567,6708,7252,13771,5366,11482,5786,14680,12618,13780,13848,5622,6043,14258,6675,13081,10519,7799,6659,11977,11602,10576,5364,6556,14288,13424,9702,6056,7888,12682,13488,10937,7395,11019,5650,9537,12243,12141,9779,13125,14932,11203,7024,9955,8208,8460,6166,6543,10860,14990,8625,7917,11547,12082,7585,10195,10483,12458,7295,7271,5699,10413
"3",6516,10449,7651,9873,8836,6491,12306,6952,13287,10702,10398,8108,11076,12773,6773,7980,9548,6933,5106,13803,10926,12432,8152,5206,10803,14708,11517,12705,13277,11785,12851,7366,6869,11294,14506,13892,11344,11716,11405,11743,8619,9656,13810,8445,13843,7361,10665,8742,6415,10122,12526,12578,8337,8679,11109,6858,11200,5215,10723,10785,14914,8071,6224,13247,10503,5116,9818,14972,7179,10392,7529,6152,9631,9996,6527,12781,5082,9525,13431,5410,9244,10725,12730,7239,7943,11125,5606,9123,11703,13758,13808,11279,12103,6713,10570,6466,9721,5210,12718,13002,12211,7564,11399,6812,6300,10921,7897,14507,13963,7356,7485,13860,13191,13990,10743,7538,11914,10063,8619,10502,8449,8227,5104,9506,9996,7209,9077,5650,9043,11812,13246,12124,11608,12000,5745,7640,5605,5919,13649,12881,7352,12188,13119,10259,5452,9942,7275,14479,10762,6823,9316,11944,10230,8808,5688,10900,12438,12251,14425,5145,14828,8496,7791,13576,14523,13942,8056,8933,11842,11418,13898,10402,9409,13976,12363,7690,13028,14485,9313,13212,10771,8271,9564,7476,12126,5513,14521,6929,9010,6330,13753,12216,12160,8902,14193,10857,10615,12587,6719,14432,10346,12604,8110,10995,6188,6833,9604,12528,7604,14979,10846,14166,12708,13713,13364,9945,7459,12234,9177,7926,5152,5096,14863,7933,8521,12920,7114,14879,7854,10640,10450,7131,14962,8368,7384,9763,8312,12776,6308,11020,13723,12438,12940,14148,13147,6113,9438,11828,10687,6963
"4",9873,6379,6267,13468,10775,14959,13025,12346,14020,14697,8094,13077,8709,11557,5563,6064,12006,10405,14418,12854,9024,5000,5054,14726,6547,5726,8928,6944,14701,14137,9423,11149,14828,14678,8831,11181,9463,13313,7976,12499,10353,11540,12235,13950,5771,10242,7029,10529,7477,13630,10110,12327,12139,13982,10877,12403,12180,13234,14459,8111,8224,7259,14246,9313,14158,12472,5627,10707,11549,12134,7089,10917,6542,11534,13599,12979,11995,13445,7531,9412,13035,9359,9739,6402,10905,10154,11710,13767,9623,12373,6847,7560,10332,8953,13269,9225,14743,8731,9887,14948,14070,10827,13220,11788,12916,14626,13538,12461,8373,14961,7011,11480,9072,10574,11109,6313,10455,10575,14976,7664,8082,8551,10072,6982,6461,11286,5343,6332,7697,8947,13185,12962,14783,6725,11145,7422,12090,11773,8882,10325,9555,9877,14324,11667,6301,14421,13028,5402,10717,7664,7568,14255,9062,6519,7165,6357,13895,11606,12383,8014,10717,11889,6130,9356,12306,14343,7312,6326,13232,8371,13187,5862,11060,6793,6502,14109,14938,7960,8949,8062,7868,9263,12431,7906,5477,7841,6244,13564,8116,6614,8830,14380,5665,13758,11437,7380,11884,14332,13737,11420,5438,7942,8190,13891,10886,10080,9859,13064,5902,13219,6081,7349,9272,7574,10450,6909,14745,15000,8488,10179,11683,5747,10339,13951,8794,12229,14906,11850,12898,14450,9527,6262,10337,11019,6696,14491,13809,13180,13833,9835,12548,9772,10115,14863,13117,7599,13660,14074,8959,14308
"5",12997,10483,13815,10547,13867,12104,5257,12811,9011,5170,7805,13570,14979,13929,5089,9278,8946,5611,9789,6316,7200,12913,5200,5387,5209,6220,8437,13526,7610,9834,6923,8397,13752,14073,13617,14188,13283,6746,5365,10349,10493,13339,11882,13412,6827,14062,12786,6369,13979,5467,11442,14741,8101,12101,10814,9099,13942,12244,9129,9697,7613,11590,11390,6762,7818,9354,8400,9047,14406,5186,5375,8939,14785,12777,6312,13821,9751,7260,7256,9588,7838,13763,7361,11304,8615,8139,5401,10376,8494,10079,14679,10214,6502,9582,7770,5725,7273,5430,7494,11663,6754,12323,12152,14678,13072,11802,5231,14016,14478,10993,6047,5549,7129,7878,5000,12606,14367,7807,14112,8503,5144,6253,14542,9096,6882,9202,7087,5788,9117,14946,14413,5586,6839,11788,10328,6869,6855,12099,12461,14310,10050,6696,14839,10851,7977,6718,10001,14557,8170,10223,14244,10430,6033,7516,12681,14998,8409,9443,13821,6103,7429,9234,11733,6503,8691,7128,9566,9615,13875,10798,11179,8095,13517,10712,5349,14975,7361,14337,12797,9606,9411,7001,11698,9243,10219,13025,6968,5600,7891,11038,10344,8232,12923,9677,5037,11055,12882,5325,14315,5412,14477,6860,6800,14869,11743,12279,13984,14469,8063,14567,10916,9947,7131,9278,5852,13012,7152,11004,12880,12261,5877,12695,14286,14045,10244,10724,13969,12896,8165,12242,10551,14339,5693,11842,10449,14637,8928,13741,12851,12660,6784,11547,7528,6678,6390,9651,8640,7659,14137,10103
"6",14080,10649,12949,7957,13666,14261,8457,9147,5953,9707,11951,9900,11036,9253,10991,7947,5465,8950,8385,5363,12909,5511,5085,8890,9926,12510,10809,13356,9155,5320,12876,11273,10287,13221,10587,10237,12199,9379,14898,12171,11814,12779,12120,8433,12355,5720,9760,13752,7537,5797,12769,10741,7279,9889,14921,5122,14409,9092,8348,5167,7913,7492,7525,13335,6621,10403,12498,11326,11053,12197,6948,6932,5515,10422,11214,14302,12949,6170,10350,12284,8430,9485,8538,13382,14325,6388,5247,11636,8985,7478,9885,12654,9031,12687,8155,6456,10430,10844,5047,9012,7203,9298,11939,12701,13635,9169,12073,14331,13434,9405,8428,7050,8827,6595,6525,9186,8171,10222,11722,12962,8858,6927,5269,7357,5327,7232,13629,13647,10551,6232,8623,5953,12054,10974,12076,11041,11275,13281,7243,6792,11149,11656,8799,6602,6203,13300,7849,8225,8717,12004,8944,6330,13713,11439,13507,12888,14979,5351,14101,7550,6789,6838,12117,14091,14844,9734,10698,7466,6157,13368,12329,13228,8071,9517,10987,14462,7334,14815,7320,9456,9018,5264,10564,14386,10430,10736,9462,10281,13130,12169,7982,13391,6470,12322,12435,13809,7200,7726,11562,7597,14434,7365,7527,13762,14557,9645,13445,9420,14724,9206,13954,6705,5504,11288,12495,8808,6604,13800,5604,11385,9383,9693,10072,12874,9607,13867,8145,14843,10395,9673,13591,7346,13289,13086,10230,10775,13956,14204,5951,8523,11465,8420,6691,14399,5710,6792,10299,7486,8458,8310
"7",5548,13025,6185,5789,11695,5737,9630,5109,6729,8183,9863,6628,10991,14806,9474,11549,14549,9132,6469,9924,12592,8499,5694,12176,12226,11001,11777,7483,10262,5103,13785,8872,10384,9204,8712,7512,6045,6902,8642,7636,12512,14783,6244,9323,6475,6248,12701,12381,13143,9976,11246,12773,11330,5641,12660,6087,10652,10376,14869,13608,8337,14260,13402,8976,10915,5287,11380,8566,14428,6998,6597,11896,7951,5250,8912,5156,10742,12307,8303,7892,14444,13229,8084,14046,6911,12183,10958,6420,13916,8363,6283,9737,6931,9074,14820,10478,7097,12748,6340,9625,13461,9022,10426,9326,13353,9307,6289,10318,6886,7391,12382,14713,9293,13349,14243,11399,13370,7988,13713,12661,7361,9385,7814,6235,5813,10805,10479,10261,8524,5944,7916,7577,11982,13718,12583,11779,8611,7348,8112,5518,13581,8581,8048,9948,13558,9116,14469,11681,12494,13929,5071,7078,11550,10195,8737,6675,9494,11493,8427,11031,9631,10159,12461,8159,7537,11248,11120,6817,10593,5889,9296,14539,8106,10310,5679,12620,11845,9748,11264,8249,7084,6488,12169,13685,8546,6662,14314,9955,5059,5477,9742,10303,7845,14060,12745,5281,9608,13852,7160,12902,7074,11696,14986,6662,6063,14058,11472,10023,11598,7396,8010,5446,14122,11178,10932,10272,8120,12255,10066,13271,14005,9764,7477,8798,7685,8535,13801,8824,5932,6806,8121,9957,14743,8325,7939,8793,8911,14558,7650,11362,10485,11079,13869,11529,7026,9750,10144,10448,13024,12571
"8",8220,13013,10133,12248,11740,5663,10984,12168,11694,14415,11559,8101,6988,14275,8093,13781,9503,6886,5568,8572,7658,13730,13964,7973,13409,11860,5038,9488,7862,12304,7640,9490,9468,9322,13288,6586,12969,6611,9422,13238,5922,11569,11089,12905,13125,9469,6932,14105,9382,14100,9098,5918,11724,11518,7615,11371,8058,10847,5233,12871,9782,6298,6240,5662,11792,12069,14540,8554,11031,6615,7655,5371,9261,14010,10812,14791,9637,8952,6808,11137,5958,5996,12799,10798,10280,6004,11606,12063,7935,12266,10423,8424,10264,13186,8610,10997,7348,14084,13046,8661,9845,7902,12036,5362,9006,11082,8622,7803,11934,7493,5956,9700,7422,12589,12305,5007,12517,13908,10831,9278,11878,9956,10328,7558,8610,12552,7575,14275,11102,7299,8464,9392,11502,9699,8605,12222,12226,11444,12071,5179,9109,13140,7425,13882,13018,13043,8682,14506,12474,5927,6668,7459,8420,7475,6880,10116,12170,10896,11262,11718,10655,7801,10747,9873,10105,8981,14644,5328,9779,14179,13364,6165,8446,8530,11714,6350,7872,9047,5284,9543,7142,6289,5657,9423,11387,5810,13205,9187,10949,12566,11361,13145,11821,9597,12668,6835,14639,14633,7034,9078,11006,5761,7468,12749,9578,14894,12470,7910,8261,12286,7627,14739,8524,8448,13192,12833,14650,7781,9938,7346,9947,8615,14920,14572,13851,5909,6885,13952,9037,11671,6567,11093,10249,5930,5571,10792,13119,9684,8826,5784,9031,5105,6778,12323,5068,5024,12213,12987,12863,8854
"9",8075,11465,6425,9182,11839,6008,14257,7953,14859,10105,12193,9697,8943,9611,9806,10107,12220,13843,11334,13109,11388,14904,12930,12272,14823,6696,9155,6401,9594,13093,13237,6797,12551,5314,5002,6233,6618,11757,14836,14456,9792,13916,10182,11908,6736,5387,5215,11694,11146,5301,10350,13223,6064,8345,6372,7297,6857,6086,11535,7367,8703,13662,6964,10880,7097,6623,6367,6872,12615,10191,10620,12933,11757,11639,8373,6046,8435,14844,14369,7216,6312,10942,13318,11777,5699,13821,9813,11341,13682,7031,13861,8076,5598,8860,8637,14639,13120,9708,12870,7766,11432,5054,8011,10442,6667,8419,5455,12450,9465,8773,14159,7947,7118,13809,10896,14146,6016,7952,6908,6252,12160,8784,10548,5475,8568,5681,8737,9015,7384,7382,10275,6644,7205,9616,5909,11938,10239,7253,6694,7566,12245,5852,12382,14071,7228,6289,11014,6527,14687,12450,10310,6876,9850,6008,8420,12388,13127,14986,14324,14601,10038,14852,10035,12962,13588,5749,7664,7981,12403,5850,6627,14109,8945,13536,14443,13336,7496,11417,14664,5975,10590,9480,6674,6486,6636,9561,11014,10811,12284,14488,11852,11410,7507,7780,5328,7229,13567,5473,13610,14249,6917,10384,9794,9129,5591,6365,13682,11767,7421,9973,14887,11466,14516,13323,13380,14885,7703,13758,13638,11841,11129,13807,12885,9333,11296,6982,5747,6521,14750,10946,8635,13139,10010,7648,5690,12415,7461,5641,9665,12930,6101,8982,9353,12360,14433,12590,13124,6374,14384,12974
"10",14165,11569,10691,14583,10905,12880,6872,5533,11925,7150,11958,10161,9155,14881,7894,8916,8055,13624,11835,12645,5944,5641,13570,9100,6691,6642,5234,13279,14968,5830,12586,6957,11217,7853,12762,11670,14401,9741,14318,12048,11676,11628,11042,5508,6253,8689,7324,6628,5318,7032,11995,5162,13760,9323,9233,9077,12571,14809,14190,13783,10812,10669,8449,13640,9089,13191,14564,12138,13924,5238,11716,6425,9341,8049,13933,10307,9033,5985,11092,7986,14092,10843,9858,5351,6232,6625,9164,8600,5321,11301,7105,11852,13172,10282,8400,8998,11016,13908,11284,12308,7522,10482,9580,5011,13939,10924,7332,12430,7854,12558,10269,14209,13226,5608,12080,6603,13360,8721,10003,8871,8615,14066,9031,5749,6354,10136,13212,13530,8257,13539,9133,10439,5426,14447,7914,8149,12980,14645,14342,6089,12215,13534,12843,6816,11228,13657,7238,11840,11343,7569,13639,10060,7151,5881,6871,7515,11527,10825,10589,13447,5309,12602,8156,7730,9273,10195,12939,12151,13624,12844,5269,10778,13594,13262,12152,8360,6354,12762,14912,5549,13534,10619,5245,9932,9307,6354,9854,5102,6336,7699,14754,5723,8846,5615,7885,12200,8942,8412,9181,5066,8414,12966,7510,14456,7987,10966,13546,5214,8532,9743,13229,9843,7535,7107,14806,5298,6572,12058,6567,12201,11205,13137,5322,10757,14986,5700,7027,12574,6738,7125,9936,6178,10167,13144,7341,6182,10343,5182,10481,10904,14869,7364,8823,12802,8651,9428,12767,6965,14071,9821
