"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
"1",11,19,8,15,19,11,13,24,17,17,21,15,26,19,8,20,18,13,16,10,9,25,24,18,21,16,12,23,20,24,27,26,14,29,11,12,18,13,7,15,24,17,11,18,14,18,21,29,14,12,15,11,19,11,22,16,23,11,24,20,27,27,18,11,25,20,15,21,26,11
"2",28,23,11,17,11,22,16,25,22,22,16,23,15,9,10,23,17,19,23,25,21,15,7,25,27,7,20,11,18,24,12,25,9,15,26,20,17,26,13,23,14,26,17,22,19,17,22,16,14,15,22,14,8,18,19,22,24,25,24,15,20,10,12,15,19,24,13,22,10,8
"3",20,13,13,13,10,14,29,11,19,16,26,18,28,16,20,15,11,9,9,10,25,29,24,21,18,12,13,10,9,11,12,24,9,19,9,13,20,29,22,18,20,21,23,21,19,17,13,8,10,7,13,10,18,17,23,25,10,8,11,11,24,17,24,15,16,9,12,25,11,14
"4",28,20,12,19,10,18,15,18,27,8,10,29,28,7,24,8,19,13,14,18,15,11,9,14,18,17,25,16,7,15,29,20,7,23,26,8,9,17,7,14,15,11,26,18,27,20,25,9,21,13,12,23,8,7,7,28,10,7,29,25,10,29,16,13,19,23,16,29,21,16
"5",15,27,24,19,7,16,20,22,22,12,26,7,29,14,11,22,25,11,27,25,11,13,22,27,19,21,20,9,25,11,29,26,8,18,11,21,16,21,7,14,11,12,15,15,14,13,25,10,18,19,11,28,23,9,13,14,26,8,28,24,7,15,28,26,29,17,8,11,26,15
"6",27,28,25,21,25,24,7,9,7,8,26,25,16,16,26,9,11,20,29,9,18,28,8,24,20,8,27,16,11,26,9,18,9,12,26,21,10,12,11,23,11,9,28,17,16,17,15,17,24,19,15,9,17,23,13,8,18,23,11,19,26,19,16,21,10,15,17,22,25,25
"7",21,8,13,8,11,8,12,12,19,16,22,22,23,20,27,16,26,26,17,21,19,7,11,8,22,18,7,8,27,24,19,12,10,16,25,23,19,28,9,20,24,20,18,9,29,24,23,23,22,11,27,22,17,16,10,17,10,23,20,22,25,26,8,10,28,20,9,9,27,25
"8",26,15,26,20,9,27,17,8,27,10,26,10,25,25,11,22,10,11,24,15,22,21,7,15,27,29,25,15,17,20,17,14,27,9,10,17,29,24,8,21,20,10,16,10,17,8,12,18,28,7,26,17,28,28,22,9,29,29,10,27,28,14,7,16,16,24,8,11,12,17
"9",9,23,18,25,16,10,11,8,14,19,25,18,13,17,17,11,12,17,11,25,22,16,22,7,24,13,20,19,17,13,9,28,9,16,10,12,27,19,15,7,7,17,13,20,16,25,9,17,13,8,12,26,24,29,18,13,9,26,27,7,23,9,29,9,27,28,28,12,19,21
"10",13,11,21,26,24,16,24,16,15,8,24,11,23,27,14,22,25,19,12,9,24,20,25,19,28,28,7,23,13,28,27,23,18,17,12,25,11,22,22,9,13,13,27,18,23,7,21,17,23,9,20,27,7,8,10,27,9,20,13,27,12,26,21,9,8,11,10,24,12,11
