"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",57,50,56,30,74,23,75,43,20,32,44,37,68,31,62,37,55,67,57,72,59,65,71,57,75,36,58,60,59,60
"2",26,38,74,20,22,43,26,74,31,44,48,59,23,25,61,69,48,49,48,64,70,49,31,40,73,60,59,47,72,30
"3",33,51,68,72,45,59,74,61,51,41,45,57,75,65,22,50,26,57,29,66,30,61,52,69,42,37,52,59,52,34
"4",72,58,23,63,54,73,54,38,64,56,68,55,75,50,30,36,33,29,49,57,21,46,72,21,60,29,63,33,67,69
"5",75,37,71,29,66,74,25,31,45,44,22,52,74,47,72,59,51,60,58,72,33,20,36,74,20,39,20,48,28,62
"6",53,55,63,21,62,48,20,62,51,63,25,35,23,63,27,67,71,37,49,68,29,56,44,69,59,66,69,54,68,68
"7",62,39,59,22,75,52,24,76,45,37,55,60,34,44,65,73,19,45,52,35,23,31,56,21,27,42,65,36,47,73
"8",63,53,23,30,47,36,54,67,61,35,65,36,42,40,58,29,74,56,43,63,42,53,66,30,66,57,54,62,62,59
"9",71,39,53,46,72,42,32,60,70,53,31,41,21,43,47,27,60,56,43,68,60,54,42,72,46,65,49,23,20,57
"10",52,22,35,21,65,58,47,53,24,32,45,62,63,64,46,40,69,54,65,55,35,70,42,43,22,49,35,43,41,26
"11",38,36,63,49,64,72,52,59,33,74,66,76,57,51,38,36,31,68,23,46,44,33,66,20,71,23,60,68,52,27
"12",27,54,40,42,63,39,35,68,38,21,49,24,46,62,67,50,49,54,34,55,46,51,60,41,22,38,46,19,33,76
"13",33,70,38,29,60,32,47,73,53,33,58,75,47,61,58,70,47,43,31,41,70,42,73,71,63,31,27,42,28,26
"14",74,53,38,34,54,70,69,49,65,69,30,71,70,61,23,51,44,71,54,32,41,25,60,47,40,52,69,51,21,54
"15",39,72,25,52,69,30,68,58,23,50,75,68,52,40,76,72,54,37,62,20,67,64,38,28,31,25,47,43,65,58
"16",68,34,61,40,70,70,50,39,31,41,48,25,66,31,71,44,29,23,62,57,22,21,38,27,47,66,26,27,51,34
"17",49,75,40,22,43,45,20,28,50,29,43,35,50,46,48,44,65,31,40,20,71,73,60,69,41,54,48,64,52,37
"18",63,60,72,27,53,23,61,56,51,30,30,71,21,72,46,49,32,26,52,76,28,22,42,66,53,57,67,35,61,25
"19",19,20,33,73,55,56,35,65,43,48,53,41,40,75,61,40,43,50,26,21,23,72,42,70,39,25,20,55,53,48
"20",31,33,27,21,55,63,59,64,37,53,74,50,57,36,50,55,72,47,62,70,60,55,28,65,26,50,29,25,59,27
"21",28,44,33,49,26,63,44,29,71,74,68,28,60,65,31,26,34,42,32,24,65,44,23,41,70,67,49,45,56,26
"22",67,31,27,73,33,58,36,23,29,65,48,19,29,61,43,40,60,30,27,20,74,37,23,23,27,76,36,69,49,48
"23",71,46,25,75,58,58,71,68,76,69,66,40,69,72,68,65,22,65,49,46,39,22,55,66,48,58,42,66,22,53
"24",63,43,38,76,55,64,76,49,24,53,31,19,33,63,45,21,53,65,73,61,74,24,59,34,45,46,38,30,60,36
"25",70,75,53,64,61,51,44,49,42,33,42,34,70,73,39,22,61,42,39,49,37,32,69,66,19,63,40,58,27,19
"26",43,20,55,54,21,57,56,49,23,65,38,32,52,58,63,25,73,42,68,38,33,60,26,45,73,21,61,69,19,58
"27",66,25,36,64,27,52,37,43,20,62,75,36,31,59,23,48,69,45,64,25,45,73,56,46,60,21,70,36,40,57
"28",30,25,22,42,54,71,70,48,71,69,52,29,24,44,53,27,56,68,25,45,53,55,66,51,23,34,60,26,40,63
"29",19,50,43,75,44,43,23,74,73,45,74,58,41,29,36,29,55,37,54,30,30,52,52,24,64,39,34,46,56,41
"30",45,62,37,26,47,59,66,54,66,24,69,56,35,46,68,33,42,56,76,32,54,68,56,65,66,60,61,57,31,70
