"1",302
"2",1793
"3",2192
"4",1558
"5",738
"6",1657
"7",797
"8",674
"9",686
"10",914
"11",325
"12",207
"13",1314
"14",2143
"15",1179
"16",402
"17",675
"18",3784
"19",1599
"20",576
"21",790
"22",49
"23",204
"24",1244
"25",879
"26",826
"27",246
"28",1146
"29",52
"30",203
"31",729
"32",607
"33",1666
"34",1108
"35",1918
"36",177
"37",277
"38",543
"39",1154
"40",528
"41",284
"42",384
"43",92
"44",1273
"45",2582
"46",1151
"47",973
"48",765
"49",650
"50",3985
